model,state,target,target_name,target_family,posthoc_identity,observed_family,own_object_match,same_family,assisted_fallback,crop_file,crop_sha256,response_file,elapsed_seconds,answer,logp_A,p_A,p_A_lower,p_A_upper,logp_B,p_B,p_B_lower,p_B_upper,logp_C,p_C,p_C_lower,p_C_upper
gemma4:12b,original,Gear_Large,Large gear,gear,Gear_Large,gear,True,True,False,../vlm_four_scene_20260925/input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,gemma4-12b/responses/original/Gear_Large/Gear_Large.json,9.890973400033545,A,-3.814704541582614e-06,0.9999961853027344,0.9999961853027344,0.9999961853027344,-14.444531440734863,5.331135261888831e-07,5.331135261888831e-07,5.331135261888831e-07,-15.242708206176758,2.3998049057563527e-07,2.3998049057563527e-07,2.3998049057563527e-07
gemma4:12b,original,Gear_Medium,Medium gear,gear,Gear_Large,gear,False,True,False,../vlm_four_scene_20260925/input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,gemma4-12b/responses/original/Gear_Medium/Gear_Large.json,0.47882250003749505,A,-2.7418175250204513e-06,0.9999972581862338,0.9999972581862338,0.9999972581862338,-14.459832191467285,5.250185763445791e-07,5.250185763445791e-07,5.250185763445791e-07,-15.461200714111328,1.9287939994395626e-07,1.9287939994395626e-07,1.9287939994395626e-07
gemma4:12b,original,Gear_Small,Small gear,gear,Gear_Large,gear,False,True,False,../vlm_four_scene_20260925/input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,gemma4-12b/responses/original/Gear_Small/Gear_Large.json,0.43858419999014586,A,-2.7418175250204513e-06,0.9999972581862338,0.9999972581862338,0.9999972581862338,-14.459832191467285,5.250185763445791e-07,5.250185763445791e-07,5.250185763445791e-07,-15.461200714111328,1.9287939994395626e-07,1.9287939994395626e-07,1.9287939994395626e-07
gemma4:12b,original,Waterproof_Male,Waterproof connector,Waterproof_Male,Gear_Large,gear,False,False,False,../vlm_four_scene_20260925/input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,gemma4-12b/responses/original/Waterproof_Male/Gear_Large.json,1.2319012999651022,B,-13.196645736694336,1.856819023555354e-06,1.856819023555354e-06,1.856819023555354e-06,-0.0007894770242273808,0.9992108345307646,0.9992108345307646,0.9992108345307646,-7.148506164550781,0.0007860374152641437,0.0007860374152641437,0.0007860374152641437
gemma4:12b,original,M12_Hex_Nut,M12 hex nut,hex_nut,Gear_Large,gear,False,False,False,../vlm_four_scene_20260925/input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,gemma4-12b/responses/original/M12_Hex_Nut/Gear_Large.json,1.1246958000119776,B,-16.312353134155273,8.234458534991162e-08,8.234458534991162e-08,8.234458534991162e-08,-9.536747711536009e-07,0.9999990463256836,0.9999990463256836,0.9999990463256836,-14.308238983154297,6.109571671145625e-07,6.109571671145625e-07,6.109571671145625e-07
gemma4:12b,original,M16_Hex_Nut,M16 hex nut,hex_nut,Gear_Large,gear,False,False,False,../vlm_four_scene_20260925/input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,gemma4-12b/responses/original/M16_Hex_Nut/Gear_Large.json,0.41555109998444095,B,-15.787223815917969,1.3921813520067376e-07,1.3921813520067376e-07,1.3921813520067376e-07,-1.3113030945532955e-06,0.9999986886977652,0.9999986886977652,0.9999986886977652,-13.821423530578613,9.941044746029857e-07,9.941044746029857e-07,9.941044746029857e-07
gemma4:12b,original,RGOCG16-50_16mm,16 mm round pin,round_pin,Gear_Large,gear,False,False,False,../vlm_four_scene_20260925/input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,gemma4-12b/responses/original/RGOCG16-50_16mm/Gear_Large.json,1.1782559999846853,B,-9.88609790802002,5.08770862322575e-05,5.08770862322575e-05,5.08770862322575e-05,-0.0032663585152477026,0.996738970230284,0.996738970230284,0.996738970230284,-5.742204666137695,0.003207688591586844,0.003207688591586844,0.003207688591586844
gemma4:12b,original,RGOCG12-50_12mm,12 mm round pin,round_pin,Gear_Large,gear,False,False,False,../vlm_four_scene_20260925/input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,gemma4-12b/responses/original/RGOCG12-50_12mm/Gear_Large.json,0.41445060004480183,B,-10.260255813598633,3.4996734053054725e-05,3.4996734053054725e-05,3.4996734053054725e-05,-0.0024157115258276463,0.9975872039571325,0.9975872039571325,0.9975872039571325,-6.042502403259277,0.0023756067433005263,0.0023756067433005263,0.0023756067433005263
gemma4:12b,original,RGOCG8-50_8mm,8 mm round pin,round_pin,Gear_Large,gear,False,False,False,../vlm_four_scene_20260925/input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,gemma4-12b/responses/original/RGOCG8-50_8mm/Gear_Large.json,0.403184000053443,B,-10.260255813598633,3.4996734053054725e-05,3.4996734053054725e-05,3.4996734053054725e-05,-0.0024157115258276463,0.9975872039571325,0.9975872039571325,0.9975872039571325,-6.042502403259277,0.0023756067433005263,0.0023756067433005263,0.0023756067433005263
gemma4:12b,original,USB_Male,USB connector + cable,USB_Male,Gear_Large,gear,False,False,False,../vlm_four_scene_20260925/input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,gemma4-12b/responses/original/USB_Male/Gear_Large.json,1.220245899981819,B,-15.845052719116211,1.313956654193467e-07,1.313956654193467e-07,1.313956654193467e-07,-3.0160405003698543e-05,0.9999698400498167,0.9999698400498167,0.9999698400498167,-10.417121887207031,2.991585689499699e-05,2.991585689499699e-05,2.991585689499699e-05
gemma4:12b,original,DSUB_Male,DSUB connector,DSUB_Male,Gear_Large,gear,False,False,False,../vlm_four_scene_20260925/input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,gemma4-12b/responses/original/DSUB_Male/Gear_Large.json,1.1227214999962598,B,-14.372984886169434,5.726535738815791e-07,5.726535738815791e-07,5.726535738815791e-07,-9.66834049904719e-05,0.9999033212686993,0.9999033212686993,0.9999033212686993,-9.25107192993164,9.600868230281344e-05,9.600868230281344e-05,9.600868230281344e-05
gemma4:12b,original,Gear_Large,Large gear,gear,Gear_Medium,gear,False,True,False,../vlm_four_scene_20260925/input_crops/original/Gear_Medium.png,32184c8966576de2b036c51d8d5e7cd940e019617b393dc6403bb6f08a234392,gemma4-12b/responses/original/Gear_Large/Gear_Medium.json,1.08936869999161,A,-2.622607780722319e-06,0.9999973773956583,0.9999973773956583,0.9999973773956583,-14.364591598510742,5.774802475507464e-07,5.774802475507464e-07,5.774802475507464e-07,-15.254558563232422,2.3715342005739394e-07,2.3715342005739394e-07,2.3715342005739394e-07
gemma4:12b,original,Gear_Medium,Medium gear,gear,Gear_Medium,gear,True,True,False,../vlm_four_scene_20260925/input_crops/original/Gear_Medium.png,32184c8966576de2b036c51d8d5e7cd940e019617b393dc6403bb6f08a234392,gemma4-12b/responses/original/Gear_Medium/Gear_Medium.json,0.41384509997442365,A,-3.814704541582614e-06,0.9999961853027344,0.9999961853027344,0.9999961853027344,-13.709123611450195,1.1122521753518716e-06,1.1122521753518716e-06,1.1122521753518716e-06,-14.826870918273926,3.6372384738313773e-07,3.6372384738313773e-07,3.6372384738313773e-07
gemma4:12b,original,Gear_Small,Small gear,gear,Gear_Medium,gear,False,True,False,../vlm_four_scene_20260925/input_crops/original/Gear_Medium.png,32184c8966576de2b036c51d8d5e7cd940e019617b393dc6403bb6f08a234392,gemma4-12b/responses/original/Gear_Small/Gear_Medium.json,0.46831299999030307,A,-3.814704541582614e-06,0.9999961853027344,0.9999961853027344,0.9999961853027344,-13.709123611450195,1.1122521753518716e-06,1.1122521753518716e-06,1.1122521753518716e-06,-14.826870918273926,3.6372384738313773e-07,3.6372384738313773e-07,3.6372384738313773e-07
gemma4:12b,original,Waterproof_Male,Waterproof connector,Waterproof_Male,Gear_Medium,gear,False,False,False,../vlm_four_scene_20260925/input_crops/original/Gear_Medium.png,32184c8966576de2b036c51d8d5e7cd940e019617b393dc6403bb6f08a234392,gemma4-12b/responses/original/Waterproof_Male/Gear_Medium.json,1.2194563000230119,B,-13.912230491638184,9.078102176060068e-07,9.078102176060068e-07,9.078102176060068e-07,-0.00023957976372912526,0.9997604489332107,0.9997604489332107,0.9997604489332107,-8.343289375305176,0.00023798822143052348,0.00023798822143052348,0.00023798822143052348
gemma4:12b,original,M12_Hex_Nut,M12 hex nut,hex_nut,Gear_Medium,gear,False,False,False,../vlm_four_scene_20260925/input_crops/original/Gear_Medium.png,32184c8966576de2b036c51d8d5e7cd940e019617b393dc6403bb6f08a234392,gemma4-12b/responses/original/M12_Hex_Nut/Gear_Medium.json,1.1598055000067689,B,-16.110883712768555,1.0072380068468244e-07,1.0072380068468244e-07,1.0072380068468244e-07,-1.1920935776288388e-06,0.9999988079071329,0.9999988079071329,0.9999988079071329,-13.95609188079834,8.688530044709508e-07,8.688530044709508e-07,8.688530044709508e-07
gemma4:12b,original,M16_Hex_Nut,M16 hex nut,hex_nut,Gear_Medium,gear,False,False,False,../vlm_four_scene_20260925/input_crops/original/Gear_Medium.png,32184c8966576de2b036c51d8d5e7cd940e019617b393dc6403bb6f08a234392,gemma4-12b/responses/original/M16_Hex_Nut/Gear_Medium.json,0.4119644000311382,B,-16.038915634155273,1.0823991545686524e-07,1.0823991545686524e-07,1.0823991545686524e-07,-1.4305124977909145e-06,0.9999985694885254,0.9999985694885254,0.9999985694885254,-13.909879684448242,9.099468147726926e-07,9.099468147726926e-07,9.099468147726926e-07
gemma4:12b,original,RGOCG16-50_16mm,16 mm round pin,round_pin,Gear_Medium,gear,False,False,False,../vlm_four_scene_20260925/input_crops/original/Gear_Medium.png,32184c8966576de2b036c51d8d5e7cd940e019617b393dc6403bb6f08a234392,gemma4-12b/responses/original/RGOCG16-50_16mm/Gear_Medium.json,1.1839250000193715,B,-10.805611610412598,2.0285349937388257e-05,2.0285349937388257e-05,2.0285349937388257e-05,-0.0004377727163955569,0.9995623230920988,0.9995623230920988,0.9995623230920988,-7.7831010818481445,0.00041671789251860263,0.00041671789251860263,0.00041671789251860263
