target,Gear_Large,Gear_Medium,Gear_Small,Waterproof_Male,M12_Hex_Nut,M16_Hex_Nut,RGOCG16-50_16mm,RGOCG12-50_12mm,RGOCG8-50_8mm,USB_Male,DSUB_Male
Gear_Large,1.000,1.000,1.000,0.000,0.065,0.000,0.000,0.000,0.000,0.000,0.000
Gear_Medium,1.000,1.000,1.000,0.000,0.055,0.000,0.000,0.000,0.000,0.000,0.000
Gear_Small,1.000,1.000,1.000,0.000,0.055,0.000,0.000,0.000,0.000,0.000,0.000
Waterproof_Male,0.000,0.000,0.000,1.000,0.288,0.681,0.000,0.000,0.000,0.198,1.000
M12_Hex_Nut,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000
M16_Hex_Nut,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000
RGOCG16-50_16mm,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,0.000,0.000
RGOCG12-50_12mm,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,0.000,0.000
RGOCG8-50_8mm,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,0.000,0.000
USB_Male,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000
DSUB_Male,0.000,0.000,0.000,0.998,0.000,0.000,0.000,0.000,0.000,1.000,1.000
