case,model,state,target,target_family,posthoc_identity,observed_family,same_family,own_object_match,assisted_fallback,baseline_answer,baseline_response_file,baseline_p_A,baseline_p_A_lower,baseline_p_A_upper,baseline_p_C,baseline_p_C_lower,baseline_p_C_upper,ablation_answer,ablation_response_file,ablation_p_A,ablation_p_A_lower,ablation_p_A_upper,ablation_p_C,ablation_p_C_lower,ablation_p_C_upper,p_A_change_lower,p_A_change_upper
Waterproof <- DSUB,qwen3.5:4b,original,Waterproof_Male,Waterproof_Male,DSUB_Male,DSUB_Male,False,False,False,A,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/Waterproof_Male/DSUB_Male.json,0.7652422212317157,0.7652422212317157,0.7652422212317157,0.124803994233674,0.124803994233674,0.124803994233674,A,qwen3.5-4b/responses/original/Waterproof_Male/DSUB_Male.json,0.8530514788479018,0.8530514788479018,0.8530514788479018,0.07108623708049751,0.07108623708049751,0.07108623708049751,0.08780925761618608,0.08780925761618608
Waterproof <- DSUB,qwen3.5:4b,state_101,Waterproof_Male,Waterproof_Male,DSUB_Male,DSUB_Male,False,False,False,A,../vlm_four_scene_20260925/raw/qwen3.5-4b/state_101/Waterproof_Male/DSUB_Male.json,0.7316230640955116,0.7316230640955116,0.7316230640955116,0.11419946960907298,0.11419946960907298,0.11419946960907298,A,qwen3.5-4b/responses/state_101/Waterproof_Male/DSUB_Male.json,0.5952584084071832,0.5952584084071832,0.5952584084071832,0.19208460094439772,0.19208460094439772,0.19208460094439772,-0.13636465568832834,-0.13636465568832834
Waterproof <- DSUB,qwen3.5:4b,state_202,Waterproof_Male,Waterproof_Male,DSUB_Male,DSUB_Male,False,False,False,A,../vlm_four_scene_20260925/raw/qwen3.5-4b/state_202/Waterproof_Male/DSUB_Male.json,0.826397303048004,0.826397303048004,0.826397303048004,0.06367401488332662,0.06367401488332662,0.06367401488332662,A,qwen3.5-4b/responses/state_202/Waterproof_Male/DSUB_Male.json,0.8989899178055725,0.8989899178055725,0.8989899178055725,0.04136398534120022,0.04136398534120022,0.04136398534120022,0.07259261475756851,0.07259261475756851
Waterproof <- DSUB,qwen3.5:4b,state_303,Waterproof_Male,Waterproof_Male,DSUB_Male,DSUB_Male,False,False,False,A,../vlm_four_scene_20260925/raw/qwen3.5-4b/state_303/Waterproof_Male/DSUB_Male.json,0.8831476579092841,0.8831476579092841,0.8831476579092841,0.05160606387217458,0.05160606387217458,0.05160606387217458,A,qwen3.5-4b/responses/state_303/Waterproof_Male/DSUB_Male.json,0.889072777923128,0.889072777923128,0.889072777923128,0.049129216887478566,0.049129216887478566,0.049129216887478566,0.005925120013843932,0.005925120013843932
Waterproof <- DSUB,qwen3.5:9b,original,Waterproof_Male,Waterproof_Male,DSUB_Male,DSUB_Male,False,False,False,A,../vlm_four_scene_20260925/raw/qwen3.5-9b/original/Waterproof_Male/DSUB_Male.json,0.9868854282735027,0.9868854282735027,0.9868854282735027,0.00938460702420268,0.00938460702420268,0.00938460702420268,A,qwen3.5-9b/responses/original/Waterproof_Male/DSUB_Male.json,0.9339820176644191,0.9339820176644191,0.9339820176644191,0.030012325063943652,0.030012325063943652,0.030012325063943652,-0.052903410609083545,-0.052903410609083545
Waterproof <- DSUB,qwen3.5:9b,state_101,Waterproof_Male,Waterproof_Male,DSUB_Male,DSUB_Male,False,False,False,A,../vlm_four_scene_20260925/raw/qwen3.5-9b/state_101/Waterproof_Male/DSUB_Male.json,0.9784728283900588,0.9784728283900588,0.9784728283900588,0.01623986162860237,0.01623986162860237,0.01623986162860237,B,qwen3.5-9b/responses/state_101/Waterproof_Male/DSUB_Male.json,0.020769816726140984,0.020769816726140984,0.020769816726140984,0.05790930544325697,0.05790930544325697,0.05790930544325697,-0.9577030116639178,-0.9577030116639178
Waterproof <- DSUB,qwen3.5:9b,state_202,Waterproof_Male,Waterproof_Male,DSUB_Male,DSUB_Male,False,False,False,A,../vlm_four_scene_20260925/raw/qwen3.5-9b/state_202/Waterproof_Male/DSUB_Male.json,0.9859501722088905,0.9859501722088905,0.9859501722088905,0.011560361668378457,0.011560361668378457,0.011560361668378457,A,qwen3.5-9b/responses/state_202/Waterproof_Male/DSUB_Male.json,0.9988397955685835,0.9988397955685835,0.9988397955685835,0.0009017091429573679,0.0009017091429573679,0.0009017091429573679,0.012889623359693014,0.012889623359693014
Waterproof <- DSUB,qwen3.5:9b,state_303,Waterproof_Male,Waterproof_Male,DSUB_Male,DSUB_Male,False,False,False,A,../vlm_four_scene_20260925/raw/qwen3.5-9b/state_303/Waterproof_Male/DSUB_Male.json,0.9892656799175347,0.9892656799175347,0.9892656799175347,0.008863247920827162,0.008863247920827162,0.008863247920827162,A,qwen3.5-9b/responses/state_303/Waterproof_Male/DSUB_Male.json,0.9960899951072237,0.9960899951072237,0.9960899951072237,0.003085751408128097,0.003085751408128097,0.003085751408128097,0.0068243151896890675,0.0068243151896890675
Waterproof <- DSUB,gemma4:12b,original,Waterproof_Male,Waterproof_Male,DSUB_Male,DSUB_Male,False,False,False,A,../vlm_four_scene_20260925/raw/gemma4-12b/original/Waterproof_Male/DSUB_Male.json,0.9999938011170572,0.9999938011170572,0.9999938011170572,1.4742691229348902e-08,1.4742691229348902e-08,1.4742691229348902e-08,A,gemma4-12b/responses/original/Waterproof_Male/DSUB_Male.json,0.9999954700467981,0.9999954700467981,0.9999954700467981,1.95778781798367e-07,1.95778781798367e-07,1.95778781798367e-07,1.6689297409611115e-06,1.6689297409611115e-06
Waterproof <- DSUB,gemma4:12b,state_101,Waterproof_Male,Waterproof_Male,DSUB_Male,DSUB_Male,False,False,False,A,../vlm_four_scene_20260925/raw/gemma4-12b/state_101/Waterproof_Male/DSUB_Male.json,0.9999897480009,0.9999897480009,0.9999897480009,2.3557495364946848e-08,2.3557495364946848e-08,2.3557495364946848e-08,A,gemma4-12b/responses/state_101/Waterproof_Male/DSUB_Male.json,0.9050822225074083,0.9050822225074083,0.9050822225074083,0.021258612822502396,0.021258612822502396,0.021258612822502396,-0.09490752549349168,-0.09490752549349168
