case,model,condition,pairs,C_count,mean_p_A_lower,mean_p_A_upper,mean_p_C_lower,mean_p_C_upper,pass_0.6_lower,pass_0.6_upper,pass_0.65_lower,pass_0.65_upper,pass_0.7_lower,pass_0.7_upper,pass_0.9_lower,pass_0.9_upper,pass_0.95_lower,pass_0.95_upper,pass_0.98_lower,pass_0.98_upper
Waterproof <- DSUB,qwen3.5:4b,baseline,4,0,0.8016025615711289,0.8016025615711289,0.08857088564956205,0.08857088564956205,4,4,4,4,4,4,0,0,0,0,0,0
Waterproof <- DSUB,qwen3.5:4b,family_ablation,4,0,0.8090931457459465,0.8090931457459465,0.0884160100633935,0.0884160100633935,3,3,3,3,3,3,0,0,0,0,0,0
Waterproof <- DSUB,qwen3.5:9b,baseline,4,0,0.9851435271974966,0.9851435271974966,0.011512019560502667,0.011512019560502667,4,4,4,4,4,4,4,4,4,4,3,3
Waterproof <- DSUB,qwen3.5:9b,family_ablation,4,0,0.7374204062665919,0.7374204062665919,0.02297727276457152,0.02297727276457152,3,3,3,3,3,3,3,3,2,2,2,2
Waterproof <- DSUB,gemma4:12b,baseline,4,0,0.9999946653842448,0.9999946653842448,1.4990355283680805e-08,1.4990355283680805e-08,4,4,4,4,4,4,4,4,4,4,4,4
Waterproof <- DSUB,gemma4:12b,family_ablation,4,0,0.9762667707318111,0.9762667707318111,0.005314767913917454,0.005314767913917454,4,4,4,4,4,4,4,4,3,3,3,3
DSUB <- USB,qwen3.5:4b,baseline,4,0,0.7231048991787992,0.7231048991787992,0.12034150801025753,0.12034150801025753,4,4,3,3,2,2,0,0,0,0,0,0
DSUB <- USB,qwen3.5:4b,family_ablation,4,0,0.7578359689558105,0.7578359689558105,0.08028716049268705,0.08028716049268705,4,4,4,4,4,4,0,0,0,0,0,0
DSUB <- USB,qwen3.5:9b,baseline,4,0,0.9758861057242492,0.9758861057242492,0.015507814722279363,0.015507814722279363,4,4,4,4,4,4,4,4,4,4,1,1
DSUB <- USB,qwen3.5:9b,family_ablation,4,0,0.8069514812861867,0.8069514812861867,0.08506597784805815,0.08506597784805815,4,4,4,4,4,4,0,0,0,0,0,0
DSUB <- USB,gemma4:12b,baseline,4,0,0.4446211380113243,0.4446211380113243,3.778521231511372e-05,3.778521231511372e-05,2,2,2,2,2,2,1,1,1,1,1,1
DSUB <- USB,gemma4:12b,family_ablation,4,0,0.9999755620955914,0.9999755620955914,3.1158242440381306e-06,3.1158242440381306e-06,4,4,4,4,4,4,4,4,4,4,4,4
Gear <- hex nut,qwen3.5:4b,baseline,24,13,0.44663070538047417,0.44663070538047417,0.4683646940917064,0.4683646940917064,3,3,2,2,0,0,0,0,0,0,0,0
Gear <- hex nut,qwen3.5:4b,family_ablation,24,3,0.6189798481036598,0.6189798481036598,0.24050669577964612,0.24050669577964612,15,15,15,15,9,9,0,0,0,0,0,0
Gear <- hex nut,qwen3.5:9b,baseline,24,0,0.9602156402586107,0.9602156402586107,0.0276070870173242,0.0276070870173242,24,24,24,24,24,24,24,24,19,19,1,1
Gear <- hex nut,qwen3.5:9b,family_ablation,24,6,0.5098553679436494,0.5098553679436494,0.31736006528019134,0.31736006528019134,12,12,9,9,9,9,3,3,0,0,0,0
Gear <- hex nut,gemma4:12b,baseline,24,0,0.9812247156137031,0.9812247156137031,5.092613275799328e-07,5.092613275799328e-07,24,24,24,24,24,24,22,22,21,21,21,21
Gear <- hex nut,gemma4:12b,family_ablation,24,0,0.11127935090487817,0.11127935090487817,0.05049208600350169,0.05049208600350169,3,3,3,3,3,3,0,0,0,0,0,0
True nut family crops,qwen3.5:4b,baseline,16,6,0.5287561682058574,0.5287561682058574,0.3885428986711317,0.3885428986711317,6,6,4,4,3,3,0,0,0,0,0,0
True nut family crops,qwen3.5:4b,family_ablation,16,0,0.6266561862608214,0.6266561862608214,0.20304244090351697,0.20304244090351697,10,10,10,10,8,8,0,0,0,0,0,0
True nut family crops,qwen3.5:9b,baseline,16,0,0.9599287995941526,0.9599287995941526,0.02711551185979437,0.02711551185979437,16,16,16,16,16,16,15,15,12,12,5,5
True nut family crops,qwen3.5:9b,family_ablation,16,0,0.8994232944049896,0.8994232944049896,0.07319365531493213,0.07319365531493213,16,16,16,16,16,16,6,6,2,2,0,0
True nut family crops,gemma4:12b,baseline,16,0,0.9898015522113264,0.9898015522113264,4.826455039285116e-07,4.826455039285116e-07,16,16,16,16,16,16,16,16,14,14,14,14
True nut family crops,gemma4:12b,family_ablation,16,0,0.9986058548023471,0.9986058548023471,8.539664291657922e-05,8.539664291657922e-05,16,16,16,16,16,16,16,16,16,16,16,16
