condition,model,scope,state,target_family,comparisons,family_pairs,unrelated_pairs,family_vs_unrelated_auc_lower,family_vs_unrelated_auc_upper,missing_exact_p_A,all_count,all_C_count,all_C_frequency,all_mean_p_A_lower,all_mean_p_A_upper,all_mean_p_C_lower,all_mean_p_C_upper,family_count,family_C_count,family_C_frequency,family_mean_p_A_lower,family_mean_p_A_upper,family_mean_p_C_lower,family_mean_p_C_upper,unrelated_count,unrelated_C_count,unrelated_C_frequency,unrelated_mean_p_A_lower,unrelated_mean_p_A_upper,unrelated_mean_p_C_lower,unrelated_mean_p_C_upper,own_count,own_C_count,own_C_frequency,own_mean_p_A_lower,own_mean_p_A_upper,own_mean_p_C_lower,own_mean_p_C_upper,macro_family_auc_lower,macro_family_auc_upper,macro_family_count
baseline,qwen3.5:4b,all_crops,original,all,121,25,96,0.9795833333333334,0.9795833333333334,0,121,85,0.7024793388429752,0.29651953630550887,0.29651953630550887,0.5439573340658118,0.5439573340658118,25,2,0.08,0.7138519593144345,0.7138519593144345,0.20449055530638252,0.20449055530638252,96,83,0.8645833333333334,0.18783921781360102,0.18783921781360102,0.6323601410344133,0.6323601410344133,11,1,0.09090909090909091,0.7190115085240585,0.7190115085240585,0.19945982901637438,0.19945982901637438,0.9945987654320988,0.9945987654320988,6
baseline,qwen3.5:4b,all_crops,state_101,all,121,25,96,0.97625,0.97625,0,121,82,0.6776859504132231,0.2887156374507548,0.2887156374507548,0.5280066346830856,0.5280066346830856,25,1,0.04,0.7195380341650072,0.7195380341650072,0.1999690356685007,0.1999690356685007,96,81,0.84375,0.17652230497308494,0.17652230497308494,0.6134330927598005,0.6134330927598005,11,0,0.0,0.7431880022519141,0.7431880022519141,0.17247314846567446,0.17247314846567446,0.9833333333333334,0.9833333333333334,6
baseline,qwen3.5:4b,all_crops,state_202,all,121,25,96,0.9875,0.9875,0,121,80,0.6611570247933884,0.3004752919433314,0.3004752919433314,0.5108399352760461,0.5108399352760461,25,0,0.0,0.7513521086215215,0.7513521086215215,0.1552328836639327,0.1552328836639327,96,80,0.8333333333333334,0.18305945426671946,0.18305945426671946,0.603445938300034,0.603445938300034,11,0,0.0,0.7540348396592548,0.7540348396592548,0.15663896264115576,0.15663896264115576,0.9825617283950617,0.9825617283950617,6
baseline,qwen3.5:4b,all_crops,state_303,all,121,25,96,0.9658333333333333,0.9658333333333333,0,121,78,0.6446280991735537,0.292992132789032,0.292992132789032,0.5220847376425971,0.5220847376425971,25,3,0.12,0.7104677698062726,0.7104677698062726,0.2024131874262345,0.2024131874262345,96,75,0.78125,0.18427451898245897,0.18427451898245897,0.6053325371781081,0.6053325371781081,11,2,0.18181818181818182,0.7067478349244729,0.7067478349244729,0.20961223322769768,0.20961223322769768,0.9833333333333334,0.9833333333333334,6
baseline,qwen3.5:4b,all_crops,all,all,484,100,384,0.9771354166666667,0.9771354166666667,0,484,325,0.6714876033057852,0.2946756496221567,0.2946756496221567,0.5262221604168852,0.5262221604168852,100,6,0.06,0.7238024679768089,0.7238024679768089,0.1905264155162626,0.1905264155162626,384,319,0.8307291666666666,0.18292387400896612,0.18292387400896612,0.613642927318089,0.613642927318089,44,3,0.06818181818181818,0.730745546339925,0.730745546339925,0.1845460433377256,0.1845460433377256,0.9835358796296295,0.9835358796296295,6
baseline,qwen3.5:4b,autonomous_depth_only,original,all,121,25,96,0.9795833333333334,0.9795833333333334,0,121,85,0.7024793388429752,0.29651953630550887,0.29651953630550887,0.5439573340658118,0.5439573340658118,25,2,0.08,0.7138519593144345,0.7138519593144345,0.20449055530638252,0.20449055530638252,96,83,0.8645833333333334,0.18783921781360102,0.18783921781360102,0.6323601410344133,0.6323601410344133,11,1,0.09090909090909091,0.7190115085240585,0.7190115085240585,0.19945982901637438,0.19945982901637438,0.9945987654320988,0.9945987654320988,6
baseline,qwen3.5:4b,autonomous_depth_only,state_101,all,110,24,86,0.9883720930232558,0.9883720930232558,0,110,78,0.7090909090909091,0.2911213257037825,0.2911213257037825,0.542995113116697,0.542995113116697,24,1,0.041666666666666664,0.7117285940054322,0.7117285940054322,0.20683360425081398,0.20683360425081398,86,77,0.8953488372093024,0.1737425531544849,0.1737425531544849,0.636807627218804,0.636807627218804,10,0,0.0,0.7268103426776245,0.7268103426776245,0.18619852434294373,0.18619852434294373,1.0,1.0,5
baseline,qwen3.5:4b,autonomous_depth_only,state_202,all,121,25,96,0.9875,0.9875,0,121,80,0.6611570247933884,0.3004752919433314,0.3004752919433314,0.5108399352760461,0.5108399352760461,25,0,0.0,0.7513521086215215,0.7513521086215215,0.1552328836639327,0.1552328836639327,96,80,0.8333333333333334,0.18305945426671946,0.18305945426671946,0.603445938300034,0.603445938300034,11,0,0.0,0.7540348396592548,0.7540348396592548,0.15663896264115576,0.15663896264115576,0.9825617283950617,0.9825617283950617,6
baseline,qwen3.5:4b,autonomous_depth_only,state_303,all,110,24,86,0.9728682170542635,0.9728682170542635,0,110,75,0.6818181818181818,0.2952113843458085,0.2952113843458085,0.5394560240704878,0.5394560240704878,24,3,0.125,0.7011966826063607,0.7011966826063607,0.20969699987010848,0.20969699987010848,86,72,0.8372093023255814,0.1819131615754218,0.1819131615754218,0.6314817982659424,0.6314817982659424,10,2,0.2,0.6841252321565043,0.6841252321565043,0.2278132876731415,0.2278132876731415,0.9777777777777779,0.9777777777777779,5
baseline,qwen3.5:4b,autonomous_depth_only,all,all,462,98,364,0.9811897286387082,0.9811897286387082,0,462,318,0.6883116883116883,0.2959588145531702,0.2959588145531702,0.5339828889198164,0.5339828889198164,98,6,0.061224489795918366,0.7197990646641013,0.7197990646641013,0.1937736782975512,0.1937736782975512,364,312,0.8571428571428571,0.1818479779848427,0.1818479779848427,0.6255776763950416,0.6255776763950416,42,3,0.07142857142857142,0.7217348947228032,0.7217348947228032,0.19183821019984965,0.19183821019984965,0.9870323190192257,0.9870323190192257,6
family_ablation,qwen3.5:4b,all_crops,original,all,121,25,96,0.9883333333333333,0.9883333333333333,0,121,76,0.628099173553719,0.2947927876303279,0.2947927876303279,0.5155602825986989,0.5155602825986989,25,0,0.0,0.8554058331009685,0.8554058331009685,0.07986549037281993,0.07986549037281993,96,76,0.7916666666666666,0.14879980703901527,0.14879980703901527,0.6290224680741882,0.6290224680741882,11,0,0.0,0.8490552901477098,0.8490552901477098,0.07892880805657197,0.07892880805657197,0.9930555555555557,0.9930555555555557,6
family_ablation,qwen3.5:4b,all_crops,state_101,all,121,25,96,0.98,0.98,0,121,72,0.5950413223140496,0.28932044679999885,0.28932044679999885,0.5138596748407738,0.5138596748407738,25,0,0.0,0.8372498183438197,0.8372498183438197,0.08645770534322601,0.08645770534322601,96,72,0.75,0.14663050629379556,0.14663050629379556,0.6251622710640937,0.6251622710640937,11,0,0.0,0.8277007972287059,0.8277007972287059,0.08789939539917474,0.08789939539917474,1.0,1.0,6
family_ablation,qwen3.5:4b,all_crops,state_202,all,121,25,96,0.99375,0.99375,0,121,77,0.6363636363636364,0.2917273955768141,0.2917273955768141,0.5012225519038848,0.5012225519038848,25,0,0.0,0.8629343079297523,0.8629343079297523,0.06727638463960506,0.06727638463960506,96,77,0.8020833333333334,0.14297559548490316,0.14297559548490316,0.6142293662956243,0.6142293662956243,11,0,0.0,0.858180246658392,0.858180246658392,0.0669549934068718,0.0669549934068718,0.9833333333333334,0.9833333333333334,6
family_ablation,qwen3.5:4b,all_crops,state_303,all,121,25,96,0.9804166666666667,0.9804166666666667,0,121,78,0.6446280991735537,0.2928772662730542,0.2928772662730542,0.5213042001998914,0.5213042001998914,25,0,0.0,0.8202700800195782,0.8202700800195782,0.10068129534017584,0.10068129534017584,96,78,0.8125,0.1555353876932303,0.1555353876932303,0.630841415007109,0.630841415007109,11,0,0.0,0.801876788175598,0.801876788175598,0.10738829414858603,0.10738829414858603,0.9833333333333334,0.9833333333333334,6
family_ablation,qwen3.5:4b,all_crops,all,all,484,100,384,0.986171875,0.986171875,0,484,303,0.6260330578512396,0.29217947407004874,0.29217947407004874,0.5129866773858123,0.5129866773858123,100,0,0.0,0.8439650098485297,0.8439650098485297,0.08357021892395672,0.08357021892395672,384,303,0.7890625,0.14848532412773607,0.14848532412773607,0.6248138801102537,0.6248138801102537,44,0,0.0,0.8342032805526013,0.8342032805526013,0.08529287275280113,0.08529287275280113,0.9878472222222223,0.9878472222222223,6
