condition,model,scope,state,target_family,comparisons,family_pairs,unrelated_pairs,family_vs_unrelated_auc_lower,family_vs_unrelated_auc_upper,missing_exact_p_A,all_count,all_C_count,all_C_frequency,all_mean_p_A_lower,all_mean_p_A_upper,all_mean_p_C_lower,all_mean_p_C_upper,family_count,family_C_count,family_C_frequency,family_mean_p_A_lower,family_mean_p_A_upper,family_mean_p_C_lower,family_mean_p_C_upper,unrelated_count,unrelated_C_count,unrelated_C_frequency,unrelated_mean_p_A_lower,unrelated_mean_p_A_upper,unrelated_mean_p_C_lower,unrelated_mean_p_C_upper,own_count,own_C_count,own_C_frequency,own_mean_p_A_lower,own_mean_p_A_upper,own_mean_p_C_lower,own_mean_p_C_upper
baseline,qwen3.5:4b,all_crops,original,gear,33,9,24,0.9814814814814815,0.9814814814814815,0,33,20,0.6060606060606061,0.3052672739184818,0.3052672739184818,0.5345876099693729,0.5345876099693729,9,0,0.0,0.714610382137955,0.714610382137955,0.16363999747626734,0.16363999747626734,24,20,0.8333333333333334,0.1517636083361793,0.1517636083361793,0.6736929646542879,0.6736929646542879,3,0,0.0,0.7456275788383828,0.7456275788383828,0.13827045692291076,0.13827045692291076
baseline,qwen3.5:4b,all_crops,original,hex_nut,22,4,18,0.9861111111111112,0.9861111111111112,0,22,20,0.9090909090909091,0.1691164796520629,0.1691164796520629,0.6655375005073748,0.6655375005073748,4,2,0.5,0.4406448311923014,0.4406448311923014,0.4952234779976039,0.4952234779976039,18,18,1.0,0.10877684597645432,0.10877684597645432,0.7033850610651018,0.7033850610651018,2,1,0.5,0.4473241966045919,0.4473241966045919,0.4835215250155992,0.4835215250155992
baseline,qwen3.5:4b,all_crops,original,round_pin,33,9,24,1.0,1.0,0,33,20,0.6060606060606061,0.40086980418262275,0.40086980418262275,0.4237599800369877,0.4237599800369877,9,0,0.0,0.7975725079284616,0.7975725079284616,0.15466956740018445,0.15466956740018445,24,20,0.8333333333333334,0.25210629027793313,0.25210629027793313,0.5246688847757889,0.5246688847757889,3,0,0.0,0.7678406055154671,0.7678406055154671,0.18187327053303595,0.18187327053303595
baseline,qwen3.5:4b,all_crops,original,Waterproof_Male,11,1,10,1.0,1.0,0,11,8,0.7272727272727273,0.3259642330348468,0.3259642330348468,0.5206496962885382,0.5206496962885382,1,0,0.0,0.8100212196257536,0.8100212196257536,0.09020523807363821,0.09020523807363821,10,8,0.8,0.27755853437575606,0.27755853437575606,0.5636941421100283,0.5636941421100283,1,0,0.0,0.8100212196257536,0.8100212196257536,0.09020523807363821,0.09020523807363821
baseline,qwen3.5:4b,all_crops,original,USB_Male,11,1,10,1.0,1.0,0,11,9,0.8181818181818182,0.1994028304441171,0.1994028304441171,0.6818487420038671,0.6818487420038671,1,0,0.0,0.8700935810351655,0.8700935810351655,0.0582566275596112,0.0582566275596112,10,9,0.9,0.13233375538501224,0.13233375538501224,0.7442079534482927,0.7442079534482927,1,0,0.0,0.8700935810351655,0.8700935810351655,0.0582566275596112,0.0582566275596112
baseline,qwen3.5:4b,all_crops,original,DSUB_Male,11,1,10,1.0,1.0,0,11,8,0.7272727272727273,0.2797036422741938,0.2797036422741938,0.5749144653976929,0.5749144653976929,1,0,0.0,0.7939588468329908,0.7939588468329908,0.11812202114783044,0.11812202114783044,10,8,0.8,0.22827812181831408,0.22827812181831408,0.620593709822679,0.620593709822679,1,0,0.0,0.7939588468329908,0.7939588468329908,0.11812202114783044,0.11812202114783044
baseline,qwen3.5:4b,all_crops,state_101,gear,33,9,24,1.0,1.0,0,33,20,0.6060606060606061,0.33622844199835006,0.33622844199835006,0.5200258090235377,0.5200258090235377,9,0,0.0,0.7954994367891368,0.7954994367891368,0.10214365593672303,0.10214365593672303,24,20,0.8333333333333334,0.16400181895180507,0.16400181895180507,0.6767316164310931,0.6767316164310931,3,0,0.0,0.7968679052934569,0.7968679052934569,0.10452019827623267,0.10452019827623267
baseline,qwen3.5:4b,all_crops,state_101,hex_nut,22,4,18,1.0,1.0,0,22,17,0.7727272727272727,0.1761677581232842,0.1761677581232842,0.5918355960616609,0.5918355960616609,4,1,0.25,0.5597760214824332,0.5597760214824332,0.3645086237752545,0.3645086237752545,18,16,0.8888888888888888,0.0909214773768066,0.0909214773768066,0.6423527010141956,0.6423527010141956,2,0,0.0,0.6117956095713275,0.6117956095713275,0.3075552212986564,0.3075552212986564
baseline,qwen3.5:4b,all_crops,state_101,round_pin,33,9,24,1.0,1.0,0,33,22,0.6666666666666666,0.34845608255717925,0.34845608255717925,0.46078109668958817,0.46078109668958817,9,0,0.0,0.6860773804744817,0.6860773804744817,0.26209408327616895,0.26209408327616895,24,22,0.9166666666666666,0.2218480958381908,0.2218480958381908,0.5352887267196205,0.5352887267196205,3,0,0.0,0.7152392256417159,0.7152392256417159,0.23516061733364535,0.23516061733364535
baseline,qwen3.5:4b,all_crops,state_101,Waterproof_Male,11,1,10,1.0,1.0,0,11,6,0.5454545454545454,0.3222847057496034,0.3222847057496034,0.46737963498017604,0.46737963498017604,1,0,0.0,0.7830064248338079,0.7830064248338079,0.09481695211170849,0.09481695211170849,10,6,0.6,0.276212533841183,0.276212533841183,0.5046359032670228,0.5046359032670228,1,0,0.0,0.7830064248338079,0.7830064248338079,0.09481695211170849,0.09481695211170849
