condition,model,scope,state,target_family,threshold,family_total,family_retained_lower,family_retained_upper,family_rate_lower,family_rate_upper,unrelated_total,unrelated_retained_lower,unrelated_retained_upper,unrelated_rate_lower,unrelated_rate_upper,own_total,own_retained_lower,own_retained_upper,own_rate_lower,own_rate_upper
baseline,qwen3.5:4b,all_crops,original,gear,0.4,9,9,9,1.0,1.0,24,3,3,0.125,0.125,3,3,3,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,gear,0.5,9,7,7,0.7777777777777778,0.7777777777777778,24,2,2,0.08333333333333333,0.08333333333333333,3,3,3,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,gear,0.6,9,7,7,0.7777777777777778,0.7777777777777778,24,0,0,0.0,0.0,3,3,3,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,gear,0.65,9,6,6,0.6666666666666666,0.6666666666666666,24,0,0,0.0,0.0,3,2,2,0.6666666666666666,0.6666666666666666
baseline,qwen3.5:4b,all_crops,original,gear,0.7,9,6,6,0.6666666666666666,0.6666666666666666,24,0,0,0.0,0.0,3,2,2,0.6666666666666666,0.6666666666666666
baseline,qwen3.5:4b,all_crops,original,gear,0.8,9,4,4,0.4444444444444444,0.4444444444444444,24,0,0,0.0,0.0,3,1,1,0.3333333333333333,0.3333333333333333
baseline,qwen3.5:4b,all_crops,original,gear,0.9,9,0,0,0.0,0.0,24,0,0,0.0,0.0,3,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,gear,0.95,9,0,0,0.0,0.0,24,0,0,0.0,0.0,3,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,gear,0.97,9,0,0,0.0,0.0,24,0,0,0.0,0.0,3,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,gear,0.98,9,0,0,0.0,0.0,24,0,0,0.0,0.0,3,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,gear,0.99,9,0,0,0.0,0.0,24,0,0,0.0,0.0,3,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,gear,0.995,9,0,0,0.0,0.0,24,0,0,0.0,0.0,3,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,gear,0.999,9,0,0,0.0,0.0,24,0,0,0.0,0.0,3,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,gear,0.9999,9,0,0,0.0,0.0,24,0,0,0.0,0.0,3,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,gear,0.99999,9,0,0,0.0,0.0,24,0,0,0.0,0.0,3,0,0,0.0,0.0
