target,Gear_Large,Gear_Medium,Gear_Small,Waterproof_Male,M12_Hex_Nut,M16_Hex_Nut,RGOCG16-50_16mm,RGOCG12-50_12mm,RGOCG8-50_8mm,USB_Male,DSUB_Male
Gear_Large,0.717,0.919,0.939,0.039,0.733,0.455,0.040,0.033,0.039,0.031,0.052
Gear_Medium,0.717,0.919,0.939,0.039,0.733,0.455,0.040,0.033,0.039,0.031,0.052
Gear_Small,0.717,0.919,0.939,0.039,0.733,0.455,0.040,0.033,0.039,0.031,0.052
Waterproof_Male,0.074,0.069,0.424,0.873,0.601,0.517,0.071,0.063,0.048,0.289,0.853
M12_Hex_Nut,0.035,0.054,0.142,0.079,0.699,0.757,0.026,0.030,0.036,0.037,0.063
M16_Hex_Nut,0.035,0.054,0.142,0.079,0.699,0.757,0.026,0.030,0.036,0.037,0.063
RGOCG16-50_16mm,0.039,0.065,0.147,0.110,0.277,0.255,0.912,0.883,0.926,0.209,0.165
RGOCG12-50_12mm,0.039,0.065,0.147,0.110,0.277,0.255,0.912,0.883,0.926,0.209,0.165
RGOCG8-50_8mm,0.039,0.065,0.147,0.110,0.277,0.255,0.912,0.883,0.926,0.209,0.165
USB_Male,0.016,0.020,0.037,0.067,0.064,0.058,0.033,0.050,0.053,0.877,0.326
DSUB_Male,0.022,0.027,0.053,0.256,0.142,0.129,0.028,0.031,0.042,0.753,0.839
