target,Gear_Large,Gear_Medium,Gear_Small,Waterproof_Male,M12_Hex_Nut,M16_Hex_Nut,RGOCG16-50_16mm,RGOCG12-50_12mm,RGOCG8-50_8mm,USB_Male,DSUB_Male
Gear_Large,0.901,0.910,0.905,0.068,0.778,0.678,0.044,0.041,0.026,0.023,0.019
Gear_Medium,0.901,0.910,0.905,0.068,0.778,0.678,0.044,0.041,0.026,0.023,0.019
Gear_Small,0.901,0.910,0.905,0.068,0.778,0.678,0.044,0.041,0.026,0.023,0.019
Waterproof_Male,0.074,0.093,0.407,0.790,0.675,0.384,0.098,0.050,0.084,0.429,0.889
M12_Hex_Nut,0.046,0.035,0.099,0.050,0.408,0.429,0.043,0.035,0.051,0.044,0.050
M16_Hex_Nut,0.046,0.035,0.099,0.050,0.408,0.429,0.043,0.035,0.051,0.044,0.050
RGOCG16-50_16mm,0.043,0.049,0.091,0.050,0.380,0.193,0.911,0.869,0.928,0.174,0.074
RGOCG12-50_12mm,0.043,0.049,0.091,0.050,0.380,0.193,0.911,0.869,0.928,0.174,0.074
RGOCG8-50_8mm,0.043,0.049,0.091,0.050,0.380,0.193,0.911,0.869,0.928,0.174,0.074
USB_Male,0.018,0.011,0.030,0.105,0.119,0.056,0.048,0.043,0.064,0.896,0.196
DSUB_Male,0.028,0.026,0.069,0.256,0.509,0.193,0.033,0.033,0.052,0.766,0.873
