model,state,target,target_name,target_family,posthoc_identity,observed_family,own_object_match,same_family,assisted_fallback,crop_file,crop_sha256,response_file,elapsed_seconds,answer,logp_A,p_A,p_A_lower,p_A_upper,logp_B,p_B,p_B_lower,p_B_upper,logp_C,p_C,p_C_lower,p_C_upper
qwen3.5:9b,original,Gear_Large,Large gear,gear,Gear_Large,gear,True,True,False,../vlm_four_scene_20260925/input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,qwen3.5-9b/responses/original/Gear_Large/Gear_Large.json,5.581010999972932,A,-0.027331450954079628,0.9730386734728668,0.9730386734728668,0.9730386734728668,-5.209752082824707,0.005463027898212884,0.005463027898212884,0.005463027898212884,-3.866847276687622,0.020924233864380335,0.020924233864380335,0.020924233864380335
qwen3.5:9b,original,Gear_Medium,Medium gear,gear,Gear_Large,gear,False,True,False,../vlm_four_scene_20260925/input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,qwen3.5-9b/responses/original/Gear_Medium/Gear_Large.json,0.07458439999027178,A,-0.027331450954079628,0.9730386734728668,0.9730386734728668,0.9730386734728668,-5.209752082824707,0.005463027898212884,0.005463027898212884,0.005463027898212884,-3.866847276687622,0.020924233864380335,0.020924233864380335,0.020924233864380335
qwen3.5:9b,original,Gear_Small,Small gear,gear,Gear_Large,gear,False,True,False,../vlm_four_scene_20260925/input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,qwen3.5-9b/responses/original/Gear_Small/Gear_Large.json,0.05677470000227913,A,-0.027331450954079628,0.9730386734728668,0.9730386734728668,0.9730386734728668,-5.209752082824707,0.005463027898212884,0.005463027898212884,0.005463027898212884,-3.866847276687622,0.020924233864380335,0.020924233864380335,0.020924233864380335
qwen3.5:9b,original,Waterproof_Male,Waterproof connector,Waterproof_Male,Gear_Large,gear,False,False,False,../vlm_four_scene_20260925/input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,qwen3.5-9b/responses/original/Waterproof_Male/Gear_Large.json,0.41332859999965876,B,-4.5976881980896,0.010075100479078433,0.010075100479078433,0.010075100479078433,-0.27666589617729187,0.758307808329581,0.758307808329581,0.758307808329581,-1.4660923480987549,0.23082571168643634,0.23082571168643634,0.23082571168643634
qwen3.5:9b,original,M12_Hex_Nut,M12 hex nut,hex_nut,Gear_Large,gear,False,False,False,../vlm_four_scene_20260925/input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,qwen3.5-9b/responses/original/M12_Hex_Nut/Gear_Large.json,0.40429109998513013,B,-5.143418788909912,0.0058376977024109915,0.0058376977024109915,0.0058376977024109915,-0.032382261008024216,0.9681364305286136,0.9681364305286136,0.9681364305286136,-3.674809694290161,0.025354230118396427,0.025354230118396427,0.025354230118396427
qwen3.5:9b,original,M16_Hex_Nut,M16 hex nut,hex_nut,Gear_Large,gear,False,False,False,../vlm_four_scene_20260925/input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,qwen3.5-9b/responses/original/M16_Hex_Nut/Gear_Large.json,0.05792470002779737,B,-5.143418788909912,0.0058376977024109915,0.0058376977024109915,0.0058376977024109915,-0.032382261008024216,0.9681364305286136,0.9681364305286136,0.9681364305286136,-3.674809694290161,0.025354230118396427,0.025354230118396427,0.025354230118396427
qwen3.5:9b,original,RGOCG16-50_16mm,16 mm round pin,round_pin,Gear_Large,gear,False,False,False,../vlm_four_scene_20260925/input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,qwen3.5-9b/responses/original/RGOCG16-50_16mm/Gear_Large.json,0.4074826000141911,B,-4.146862983703613,0.01581394736524107,0.01581394736524107,0.01581394736524107,-0.22404934465885162,0.799275693409853,0.799275693409853,0.799275693409853,-1.6907488107681274,0.1843814055052528,0.1843814055052528,0.1843814055052528
qwen3.5:9b,original,RGOCG12-50_12mm,12 mm round pin,round_pin,Gear_Large,gear,False,False,False,../vlm_four_scene_20260925/input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,qwen3.5-9b/responses/original/RGOCG12-50_12mm/Gear_Large.json,0.061570099962409586,B,-4.146862983703613,0.01581394736524107,0.01581394736524107,0.01581394736524107,-0.22404934465885162,0.799275693409853,0.799275693409853,0.799275693409853,-1.6907488107681274,0.1843814055052528,0.1843814055052528,0.1843814055052528
qwen3.5:9b,original,RGOCG8-50_8mm,8 mm round pin,round_pin,Gear_Large,gear,False,False,False,../vlm_four_scene_20260925/input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,qwen3.5-9b/responses/original/RGOCG8-50_8mm/Gear_Large.json,0.05952619999879971,B,-4.146862983703613,0.01581394736524107,0.01581394736524107,0.01581394736524107,-0.22404934465885162,0.799275693409853,0.799275693409853,0.799275693409853,-1.6907488107681274,0.1843814055052528,0.1843814055052528,0.1843814055052528
qwen3.5:9b,original,USB_Male,USB connector + cable,USB_Male,Gear_Large,gear,False,False,False,../vlm_four_scene_20260925/input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,qwen3.5-9b/responses/original/USB_Male/Gear_Large.json,0.41162899998016655,B,-4.969284534454346,0.006948117395434548,0.006948117395434548,0.006948117395434548,-0.5711710453033447,0.5648635704051425,0.5648635704051425,0.5648635704051425,-0.8493807315826416,0.4276796984895069,0.4276796984895069,0.4276796984895069
