model,state,observed,target_family,repeated_queries,p_A_range_upper,answer_agreement
qwen3.5:4b,original,Gear_Large,gear,3,0.0,True
qwen3.5:4b,original,Gear_Large,hex_nut,2,0.0,True
qwen3.5:4b,original,Gear_Large,round_pin,3,0.0,True
qwen3.5:4b,original,Gear_Medium,gear,3,0.0,True
qwen3.5:4b,original,Gear_Medium,hex_nut,2,0.0,True
qwen3.5:4b,original,Gear_Medium,round_pin,3,0.0,True
qwen3.5:4b,original,Gear_Small,gear,3,0.0,True
qwen3.5:4b,original,Gear_Small,hex_nut,2,0.0,True
qwen3.5:4b,original,Gear_Small,round_pin,3,0.0,True
qwen3.5:4b,original,Waterproof_Male,gear,3,0.0,True
qwen3.5:4b,original,Waterproof_Male,hex_nut,2,0.0,True
qwen3.5:4b,original,Waterproof_Male,round_pin,3,0.0,True
qwen3.5:4b,original,M12_Hex_Nut,gear,3,0.0,True
qwen3.5:4b,original,M12_Hex_Nut,hex_nut,2,0.0,True
qwen3.5:4b,original,M12_Hex_Nut,round_pin,3,0.0,True
qwen3.5:4b,original,M16_Hex_Nut,gear,3,0.0,True
qwen3.5:4b,original,M16_Hex_Nut,hex_nut,2,0.0,True
qwen3.5:4b,original,M16_Hex_Nut,round_pin,3,0.0,True
qwen3.5:4b,original,RGOCG16-50_16mm,gear,3,0.0,True
qwen3.5:4b,original,RGOCG16-50_16mm,hex_nut,2,0.0,True
qwen3.5:4b,original,RGOCG16-50_16mm,round_pin,3,0.0,True
qwen3.5:4b,original,RGOCG12-50_12mm,gear,3,0.0,True
qwen3.5:4b,original,RGOCG12-50_12mm,hex_nut,2,0.0,True
qwen3.5:4b,original,RGOCG12-50_12mm,round_pin,3,0.0,True
qwen3.5:4b,original,RGOCG8-50_8mm,gear,3,0.0,True
qwen3.5:4b,original,RGOCG8-50_8mm,hex_nut,2,0.0,True
qwen3.5:4b,original,RGOCG8-50_8mm,round_pin,3,0.0,True
qwen3.5:4b,original,USB_Male,gear,3,0.0,True
qwen3.5:4b,original,USB_Male,hex_nut,2,0.0,True
qwen3.5:4b,original,USB_Male,round_pin,3,0.0,True
qwen3.5:4b,original,DSUB_Male,gear,3,0.0,True
qwen3.5:4b,original,DSUB_Male,hex_nut,2,0.0,True
qwen3.5:4b,original,DSUB_Male,round_pin,3,0.0,True
qwen3.5:4b,state_101,Gear_Large,gear,3,0.0,True
qwen3.5:4b,state_101,Gear_Large,hex_nut,2,0.0,True
qwen3.5:4b,state_101,Gear_Large,round_pin,3,0.0,True
qwen3.5:4b,state_101,Gear_Medium,gear,3,0.0,True
qwen3.5:4b,state_101,Gear_Medium,hex_nut,2,0.0,True
qwen3.5:4b,state_101,Gear_Medium,round_pin,3,0.0,True
qwen3.5:4b,state_101,Gear_Small,gear,3,0.0,True
qwen3.5:4b,state_101,Gear_Small,hex_nut,2,0.0,True
qwen3.5:4b,state_101,Gear_Small,round_pin,3,0.0,True
qwen3.5:4b,state_101,Waterproof_Male,gear,3,0.0,True
qwen3.5:4b,state_101,Waterproof_Male,hex_nut,2,0.0,True
qwen3.5:4b,state_101,Waterproof_Male,round_pin,3,0.0,True
qwen3.5:4b,state_101,M12_Hex_Nut,gear,3,0.0,True
qwen3.5:4b,state_101,M12_Hex_Nut,hex_nut,2,0.0,True
qwen3.5:4b,state_101,M12_Hex_Nut,round_pin,3,0.0,True
qwen3.5:4b,state_101,M16_Hex_Nut,gear,3,0.0,True
qwen3.5:4b,state_101,M16_Hex_Nut,hex_nut,2,0.0,True
qwen3.5:4b,state_101,M16_Hex_Nut,round_pin,3,0.0,True
qwen3.5:4b,state_101,RGOCG16-50_16mm,gear,3,0.0,True
qwen3.5:4b,state_101,RGOCG16-50_16mm,hex_nut,2,0.0,True
qwen3.5:4b,state_101,RGOCG16-50_16mm,round_pin,3,0.0,True
qwen3.5:4b,state_101,RGOCG12-50_12mm,gear,3,0.0,True
qwen3.5:4b,state_101,RGOCG12-50_12mm,hex_nut,2,0.0,True
qwen3.5:4b,state_101,RGOCG12-50_12mm,round_pin,3,0.0,True
qwen3.5:4b,state_101,RGOCG8-50_8mm,gear,3,0.0,True
qwen3.5:4b,state_101,RGOCG8-50_8mm,hex_nut,2,0.0,True
qwen3.5:4b,state_101,RGOCG8-50_8mm,round_pin,3,0.0,True
qwen3.5:4b,state_101,USB_Male,gear,3,0.0,True
qwen3.5:4b,state_101,USB_Male,hex_nut,2,0.0,True
qwen3.5:4b,state_101,USB_Male,round_pin,3,0.0,True
qwen3.5:4b,state_101,DSUB_Male,gear,3,0.0,True
qwen3.5:4b,state_101,DSUB_Male,hex_nut,2,0.0,True
qwen3.5:4b,state_101,DSUB_Male,round_pin,3,0.0,True
qwen3.5:4b,state_202,Gear_Large,gear,3,0.0,True
qwen3.5:4b,state_202,Gear_Large,hex_nut,2,0.0,True
qwen3.5:4b,state_202,Gear_Large,round_pin,3,0.0,True
qwen3.5:4b,state_202,Gear_Medium,gear,3,0.0,True
qwen3.5:4b,state_202,Gear_Medium,hex_nut,2,0.0,True
qwen3.5:4b,state_202,Gear_Medium,round_pin,3,0.0,True
qwen3.5:4b,state_202,Gear_Small,gear,3,0.0,True
qwen3.5:4b,state_202,Gear_Small,hex_nut,2,0.0,True
qwen3.5:4b,state_202,Gear_Small,round_pin,3,0.0,True
qwen3.5:4b,state_202,Waterproof_Male,gear,3,0.0,True
qwen3.5:4b,state_202,Waterproof_Male,hex_nut,2,0.0,True
qwen3.5:4b,state_202,Waterproof_Male,round_pin,3,0.0,True
qwen3.5:4b,state_202,M12_Hex_Nut,gear,3,0.0,True
qwen3.5:4b,state_202,M12_Hex_Nut,hex_nut,2,0.0,True
qwen3.5:4b,state_202,M12_Hex_Nut,round_pin,3,0.0,True
qwen3.5:4b,state_202,M16_Hex_Nut,gear,3,0.0,True
qwen3.5:4b,state_202,M16_Hex_Nut,hex_nut,2,0.0,True
qwen3.5:4b,state_202,M16_Hex_Nut,round_pin,3,0.0,True
qwen3.5:4b,state_202,RGOCG16-50_16mm,gear,3,0.0,True
qwen3.5:4b,state_202,RGOCG16-50_16mm,hex_nut,2,0.0,True
qwen3.5:4b,state_202,RGOCG16-50_16mm,round_pin,3,0.0,True
qwen3.5:4b,state_202,RGOCG12-50_12mm,gear,3,0.0,True
qwen3.5:4b,state_202,RGOCG12-50_12mm,hex_nut,2,0.0,True
qwen3.5:4b,state_202,RGOCG12-50_12mm,round_pin,3,0.0,True
qwen3.5:4b,state_202,RGOCG8-50_8mm,gear,3,0.0,True
qwen3.5:4b,state_202,RGOCG8-50_8mm,hex_nut,2,0.0,True
qwen3.5:4b,state_202,RGOCG8-50_8mm,round_pin,3,0.0,True
qwen3.5:4b,state_202,USB_Male,gear,3,0.0,True
qwen3.5:4b,state_202,USB_Male,hex_nut,2,0.0,True
qwen3.5:4b,state_202,USB_Male,round_pin,3,0.0,True
qwen3.5:4b,state_202,DSUB_Male,gear,3,0.0,True
qwen3.5:4b,state_202,DSUB_Male,hex_nut,2,0.0,True
