condition,model,scope,state,target_family,threshold,family_total,family_retained_lower,family_retained_upper,family_rate_lower,family_rate_upper,unrelated_total,unrelated_retained_lower,unrelated_retained_upper,unrelated_rate_lower,unrelated_rate_upper,own_total,own_retained_lower,own_retained_upper,own_rate_lower,own_rate_upper
baseline,qwen3.5:4b,all_crops,original,all,0.4,25,24,24,0.96,0.96,96,10,10,0.10416666666666667,0.10416666666666667,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.5,25,20,20,0.8,0.8,96,5,5,0.052083333333333336,0.052083333333333336,11,9,9,0.8181818181818182,0.8181818181818182
baseline,qwen3.5:4b,all_crops,original,all,0.6,25,19,19,0.76,0.76,96,2,2,0.020833333333333332,0.020833333333333332,11,9,9,0.8181818181818182,0.8181818181818182
baseline,qwen3.5:4b,all_crops,original,all,0.65,25,18,18,0.72,0.72,96,2,2,0.020833333333333332,0.020833333333333332,11,8,8,0.7272727272727273,0.7272727272727273
baseline,qwen3.5:4b,all_crops,original,all,0.7,25,17,17,0.68,0.68,96,1,1,0.010416666666666666,0.010416666666666666,11,7,7,0.6363636363636364,0.6363636363636364
baseline,qwen3.5:4b,all_crops,original,all,0.8,25,11,11,0.44,0.44,96,0,0,0.0,0.0,11,4,4,0.36363636363636365,0.36363636363636365
baseline,qwen3.5:4b,all_crops,original,all,0.9,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,all,0.95,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,all,0.97,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,all,0.98,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,all,0.99,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,all,0.995,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,all,0.999,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,all,0.9999,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,all,0.99999,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,all,0.999999,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.4,25,24,24,0.96,0.96,96,7,7,0.07291666666666667,0.07291666666666667,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.5,25,24,24,0.96,0.96,96,5,5,0.052083333333333336,0.052083333333333336,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.6,25,24,24,0.96,0.96,96,3,3,0.03125,0.03125,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.65,25,19,19,0.76,0.76,96,3,3,0.03125,0.03125,11,9,9,0.8181818181818182,0.8181818181818182
baseline,qwen3.5:4b,all_crops,state_101,all,0.7,25,15,15,0.6,0.6,96,3,3,0.03125,0.03125,11,7,7,0.6363636363636364,0.6363636363636364
baseline,qwen3.5:4b,all_crops,state_101,all,0.8,25,6,6,0.24,0.24,96,0,0,0.0,0.0,11,3,3,0.2727272727272727,0.2727272727272727
baseline,qwen3.5:4b,all_crops,state_101,all,0.9,25,1,1,0.04,0.04,96,0,0,0.0,0.0,11,1,1,0.09090909090909091,0.09090909090909091
baseline,qwen3.5:4b,all_crops,state_101,all,0.95,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.97,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.98,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.99,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.995,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.999,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.9999,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.99999,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.999999,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,state_202,all,0.4,25,25,25,1.0,1.0,96,8,8,0.08333333333333333,0.08333333333333333,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_202,all,0.5,25,25,25,1.0,1.0,96,7,7,0.07291666666666667,0.07291666666666667,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_202,all,0.6,25,24,24,0.96,0.96,96,6,6,0.0625,0.0625,11,10,10,0.9090909090909091,0.9090909090909091
baseline,qwen3.5:4b,all_crops,state_202,all,0.65,25,24,24,0.96,0.96,96,4,4,0.041666666666666664,0.041666666666666664,11,10,10,0.9090909090909091,0.9090909090909091
baseline,qwen3.5:4b,all_crops,state_202,all,0.7,25,17,17,0.68,0.68,96,1,1,0.010416666666666666,0.010416666666666666,11,8,8,0.7272727272727273,0.7272727272727273
baseline,qwen3.5:4b,all_crops,state_202,all,0.8,25,9,9,0.36,0.36,96,1,1,0.010416666666666666,0.010416666666666666,11,4,4,0.36363636363636365,0.36363636363636365
baseline,qwen3.5:4b,all_crops,state_202,all,0.9,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,state_202,all,0.95,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,state_202,all,0.97,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,state_202,all,0.98,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,state_202,all,0.99,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,state_202,all,0.995,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,state_202,all,0.999,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,state_202,all,0.9999,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,state_202,all,0.99999,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,state_202,all,0.999999,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,state_303,all,0.4,25,22,22,0.88,0.88,96,13,13,0.13541666666666666,0.13541666666666666,11,9,9,0.8181818181818182,0.8181818181818182
baseline,qwen3.5:4b,all_crops,state_303,all,0.5,25,22,22,0.88,0.88,96,7,7,0.07291666666666667,0.07291666666666667,11,9,9,0.8181818181818182,0.8181818181818182
baseline,qwen3.5:4b,all_crops,state_303,all,0.6,25,21,21,0.84,0.84,96,3,3,0.03125,0.03125,11,9,9,0.8181818181818182,0.8181818181818182
baseline,qwen3.5:4b,all_crops,state_303,all,0.65,25,18,18,0.72,0.72,96,3,3,0.03125,0.03125,11,8,8,0.7272727272727273,0.7272727272727273
baseline,qwen3.5:4b,all_crops,state_303,all,0.7,25,15,15,0.6,0.6,96,3,3,0.03125,0.03125,11,7,7,0.6363636363636364,0.6363636363636364
baseline,qwen3.5:4b,all_crops,state_303,all,0.8,25,8,8,0.32,0.32,96,1,1,0.010416666666666666,0.010416666666666666,11,4,4,0.36363636363636365,0.36363636363636365
baseline,qwen3.5:4b,all_crops,state_303,all,0.9,25,2,2,0.08,0.08,96,0,0,0.0,0.0,11,1,1,0.09090909090909091,0.09090909090909091
baseline,qwen3.5:4b,all_crops,state_303,all,0.95,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,state_303,all,0.97,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,state_303,all,0.98,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,state_303,all,0.99,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,state_303,all,0.995,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,state_303,all,0.999,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,state_303,all,0.9999,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,state_303,all,0.99999,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,state_303,all,0.999999,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,all,all,0.4,100,95,95,0.95,0.95,384,38,38,0.09895833333333333,0.09895833333333333,44,42,42,0.9545454545454546,0.9545454545454546
baseline,qwen3.5:4b,all_crops,all,all,0.5,100,91,91,0.91,0.91,384,24,24,0.0625,0.0625,44,40,40,0.9090909090909091,0.9090909090909091
baseline,qwen3.5:4b,all_crops,all,all,0.6,100,88,88,0.88,0.88,384,14,14,0.036458333333333336,0.036458333333333336,44,39,39,0.8863636363636364,0.8863636363636364
baseline,qwen3.5:4b,all_crops,all,all,0.65,100,79,79,0.79,0.79,384,12,12,0.03125,0.03125,44,35,35,0.7954545454545454,0.7954545454545454
baseline,qwen3.5:4b,all_crops,all,all,0.7,100,64,64,0.64,0.64,384,8,8,0.020833333333333332,0.020833333333333332,44,29,29,0.6590909090909091,0.6590909090909091
baseline,qwen3.5:4b,all_crops,all,all,0.8,100,34,34,0.34,0.34,384,2,2,0.005208333333333333,0.005208333333333333,44,15,15,0.3409090909090909,0.3409090909090909
baseline,qwen3.5:4b,all_crops,all,all,0.9,100,3,3,0.03,0.03,384,0,0,0.0,0.0,44,2,2,0.045454545454545456,0.045454545454545456
baseline,qwen3.5:4b,all_crops,all,all,0.95,100,0,0,0.0,0.0,384,0,0,0.0,0.0,44,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,all,all,0.97,100,0,0,0.0,0.0,384,0,0,0.0,0.0,44,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,all,all,0.98,100,0,0,0.0,0.0,384,0,0,0.0,0.0,44,0,0,0.0,0.0
