condition,model,scope,state,target_family,threshold,family_total,family_retained_lower,family_retained_upper,family_rate_lower,family_rate_upper,unrelated_total,unrelated_retained_lower,unrelated_retained_upper,unrelated_rate_lower,unrelated_rate_upper,own_total,own_retained_lower,own_retained_upper,own_rate_lower,own_rate_upper
baseline,qwen3.5:4b,all_crops,original,all,0.0,25,25,25,1.0,1.0,96,96,96,1.0,1.0,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.01,25,25,25,1.0,1.0,96,96,96,1.0,1.0,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.02,25,25,25,1.0,1.0,96,94,94,0.9791666666666666,0.9791666666666666,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.03,25,25,25,1.0,1.0,96,93,93,0.96875,0.96875,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.04,25,25,25,1.0,1.0,96,92,92,0.9583333333333334,0.9583333333333334,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.05,25,25,25,1.0,1.0,96,84,84,0.875,0.875,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.06,25,25,25,1.0,1.0,96,79,79,0.8229166666666666,0.8229166666666666,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.07,25,25,25,1.0,1.0,96,71,71,0.7395833333333334,0.7395833333333334,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.08,25,25,25,1.0,1.0,96,65,65,0.6770833333333334,0.6770833333333334,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.09,25,25,25,1.0,1.0,96,61,61,0.6354166666666666,0.6354166666666666,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.1,25,25,25,1.0,1.0,96,57,57,0.59375,0.59375,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.11,25,25,25,1.0,1.0,96,56,56,0.5833333333333334,0.5833333333333334,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.12,25,25,25,1.0,1.0,96,53,53,0.5520833333333334,0.5520833333333334,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.13,25,25,25,1.0,1.0,96,50,50,0.5208333333333334,0.5208333333333334,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.14,25,25,25,1.0,1.0,96,43,43,0.4479166666666667,0.4479166666666667,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.15,25,25,25,1.0,1.0,96,41,41,0.4270833333333333,0.4270833333333333,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.16,25,25,25,1.0,1.0,96,39,39,0.40625,0.40625,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.17,25,25,25,1.0,1.0,96,37,37,0.3854166666666667,0.3854166666666667,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.18,25,25,25,1.0,1.0,96,35,35,0.3645833333333333,0.3645833333333333,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.19,25,25,25,1.0,1.0,96,33,33,0.34375,0.34375,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.2,25,25,25,1.0,1.0,96,32,32,0.3333333333333333,0.3333333333333333,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.21,25,25,25,1.0,1.0,96,31,31,0.3229166666666667,0.3229166666666667,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.22,25,25,25,1.0,1.0,96,30,30,0.3125,0.3125,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.23,25,25,25,1.0,1.0,96,30,30,0.3125,0.3125,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.24,25,25,25,1.0,1.0,96,28,28,0.2916666666666667,0.2916666666666667,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.25,25,25,25,1.0,1.0,96,28,28,0.2916666666666667,0.2916666666666667,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.26,25,25,25,1.0,1.0,96,25,25,0.2604166666666667,0.2604166666666667,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.27,25,25,25,1.0,1.0,96,25,25,0.2604166666666667,0.2604166666666667,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.28,25,25,25,1.0,1.0,96,25,25,0.2604166666666667,0.2604166666666667,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.29,25,25,25,1.0,1.0,96,25,25,0.2604166666666667,0.2604166666666667,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.3,25,25,25,1.0,1.0,96,23,23,0.23958333333333334,0.23958333333333334,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.31,25,25,25,1.0,1.0,96,22,22,0.22916666666666666,0.22916666666666666,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.32,25,25,25,1.0,1.0,96,20,20,0.20833333333333334,0.20833333333333334,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.33,25,25,25,1.0,1.0,96,17,17,0.17708333333333334,0.17708333333333334,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.34,25,25,25,1.0,1.0,96,16,16,0.16666666666666666,0.16666666666666666,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.35,25,25,25,1.0,1.0,96,15,15,0.15625,0.15625,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.36,25,24,24,0.96,0.96,96,14,14,0.14583333333333334,0.14583333333333334,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.37,25,24,24,0.96,0.96,96,14,14,0.14583333333333334,0.14583333333333334,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.38,25,24,24,0.96,0.96,96,12,12,0.125,0.125,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.39,25,24,24,0.96,0.96,96,10,10,0.10416666666666667,0.10416666666666667,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.4,25,24,24,0.96,0.96,96,10,10,0.10416666666666667,0.10416666666666667,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,all,0.41,25,23,23,0.92,0.92,96,8,8,0.08333333333333333,0.08333333333333333,11,10,10,0.9090909090909091,0.9090909090909091
baseline,qwen3.5:4b,all_crops,original,all,0.42,25,23,23,0.92,0.92,96,8,8,0.08333333333333333,0.08333333333333333,11,10,10,0.9090909090909091,0.9090909090909091
baseline,qwen3.5:4b,all_crops,original,all,0.43,25,23,23,0.92,0.92,96,8,8,0.08333333333333333,0.08333333333333333,11,10,10,0.9090909090909091,0.9090909090909091
baseline,qwen3.5:4b,all_crops,original,all,0.44,25,23,23,0.92,0.92,96,8,8,0.08333333333333333,0.08333333333333333,11,10,10,0.9090909090909091,0.9090909090909091
baseline,qwen3.5:4b,all_crops,original,all,0.45,25,23,23,0.92,0.92,96,6,6,0.0625,0.0625,11,10,10,0.9090909090909091,0.9090909090909091
