cohort,accepted_count,coverage,human_intervention_rate,old_threshold,new_threshold,old_accuracy,new_accuracy,old_false_accepts,new_false_accepts,old_false_accept_rate_all,new_false_accept_rate_all,old_false_accept_rate_accepted,new_false_accept_rate_accepted
additional_states,75,0.75,0.25,0.9999998063873693,0.999999448776502,0.9333333333333333,0.9466666666666667,5,4,0.05,0.04,0.06666666666666667,0.05333333333333334
additional_states,81,0.81,0.18999999999999995,0.9999996871837232,0.9999770387510999,0.9135802469135802,0.9506172839506173,7,4,0.07,0.04,0.08641975308641975,0.04938271604938271
additional_states,82,0.82,0.18000000000000005,0.9999995679801056,0.9999038520641101,0.9146341463414634,0.9390243902439024,7,5,0.07,0.05,0.08536585365853659,0.06097560975609756
additional_states,84,0.84,0.16000000000000003,0.999999448776502,0.9997795606600332,0.9166666666666666,0.9404761904761905,7,5,0.07,0.05,0.08333333333333333,0.05952380952380952
additional_states,85,0.85,0.15000000000000002,0.9999993295729128,0.9996972344566767,0.9176470588235294,0.9411764705882353,7,5,0.07,0.05,0.08235294117647059,0.058823529411764705
additional_states,86,0.86,0.14,0.9999987335551229,0.99966459043674,0.9186046511627907,0.9418604651162791,7,5,0.07,0.05,0.08139534883720931,0.05813953488372093
additional_states,87,0.87,0.13,0.9999974223173038,0.9995647765505681,0.9195402298850575,0.9310344827586207,7,6,0.07,0.06,0.08045977011494253,0.06896551724137931
additional_states,88,0.88,0.12,0.9999944422379315,0.9975274032511579,0.9090909090909091,0.9318181818181818,8,6,0.08,0.06,0.09090909090909091,0.06818181818181818
additional_states,89,0.89,0.10999999999999999,0.9999832372181827,0.9934685218541628,0.898876404494382,0.9213483146067416,9,7,0.09,0.07,0.10112359550561797,0.07865168539325842
additional_states,90,0.9,0.09999999999999998,0.9999545100305701,0.9839060437740345,0.9,0.9111111111111111,9,8,0.09,0.08,0.1,0.08888888888888889
additional_states,91,0.91,0.08999999999999997,0.9996986644778745,0.9808074988666632,0.8901098901098901,0.9010989010989011,10,9,0.1,0.09,0.10989010989010989,0.0989010989010989
additional_states,92,0.92,0.07999999999999996,0.9994703412904241,0.9731362031783409,0.8804347826086957,0.9021739130434783,11,9,0.11,0.09,0.11956521739130435,0.09782608695652174
additional_states,93,0.93,0.06999999999999995,0.9987995393411512,0.9492250603272814,0.8817204301075269,0.9032258064516129,11,9,0.11,0.09,0.11827956989247312,0.0967741935483871
additional_states,94,0.94,0.06000000000000005,0.9984987679933719,0.9399116796753325,0.8723404255319149,0.8936170212765957,12,10,0.12,0.1,0.1276595744680851,0.10638297872340426
additional_states,95,0.95,0.050000000000000044,0.9975274032511579,0.9341307649391867,0.8631578947368421,0.8947368421052632,13,10,0.13,0.1,0.1368421052631579,0.10526315789473684
additional_states,96,0.96,0.040000000000000036,0.9975182728864525,0.8654411373220887,0.8645833333333334,0.8958333333333334,13,10,0.13,0.1,0.13541666666666666,0.10416666666666667
additional_states,97,0.97,0.030000000000000027,0.996768933183916,0.8516139578145572,0.865979381443299,0.8969072164948454,13,10,0.13,0.1,0.13402061855670103,0.10309278350515463
additional_states,98,0.98,0.020000000000000018,0.9698038746272593,0.7945043207104379,0.8673469387755102,0.8979591836734694,13,10,0.13,0.1,0.1326530612244898,0.10204081632653061
additional_states,99,0.99,0.010000000000000009,0.9525726998385136,0.6234615786952638,0.8585858585858586,0.8888888888888888,14,11,0.14,0.11,0.1414141414141414,0.1111111111111111
additional_states,100,1.0,0.0,0.6384734695161306,0.4563314701779981,0.86,0.88,14,12,0.14,0.12,0.14,0.12
additional_objects,9,0.75,0.25,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0.0,0.0
additional_objects,10,0.8333333333333334,0.16666666666666663,0.9999995679801056,0.9999998063873693,1.0,1.0,0,0,0.0,0.0,0.0,0.0
additional_objects,11,0.9166666666666666,0.08333333333333337,0.9999920581810099,0.999999091165777,1.0,1.0,0,0,0.0,0.0,0.0,0.0
additional_objects,12,1.0,0.0,0.9980728690648153,0.9992903233093213,1.0,1.0,0,0,0.0,0.0,0.0,0.0
pooled,84,0.75,0.25,0.9999998063873693,0.9999995679801056,0.9404761904761905,0.9642857142857143,5,3,0.044642857142857144,0.026785714285714284,0.05952380952380952,0.03571428571428571
pooled,90,0.8035714285714286,0.1964285714285714,0.9999996871837232,0.999997064707474,0.9222222222222223,0.9555555555555556,7,4,0.0625,0.03571428571428571,0.07777777777777778,0.044444444444444446
pooled,92,0.8214285714285714,0.1785714285714286,0.9999995679801056,0.9999770387510999,0.9239130434782609,0.9565217391304348,7,4,0.0625,0.03571428571428571,0.07608695652173914,0.043478260869565216
pooled,94,0.8392857142857143,0.1607142857142857,0.999999448776502,0.9998909793854133,0.925531914893617,0.9468085106382979,7,5,0.0625,0.044642857142857144,0.07446808510638298,0.05319148936170213
pooled,95,0.8482142857142857,0.1517857142857143,0.9999993295729128,0.9997795606600332,0.9263157894736842,0.9473684210526315,7,5,0.0625,0.044642857142857144,0.07368421052631578,0.05263157894736842
pooled,96,0.8571428571428571,0.1428571428571429,0.9999987335551229,0.9996972344566767,0.9270833333333334,0.9479166666666666,7,5,0.0625,0.044642857142857144,0.07291666666666667,0.052083333333333336
pooled,97,0.8660714285714286,0.1339285714285714,0.9999974223173038,0.99966459043674,0.9278350515463918,0.9484536082474226,7,5,0.0625,0.044642857142857144,0.07216494845360824,0.05154639175257732
pooled,98,0.875,0.125,0.9999944422379315,0.9995647765505681,0.9183673469387755,0.9387755102040817,8,6,0.07142857142857142,0.05357142857142857,0.08163265306122448,0.061224489795918366
pooled,99,0.8839285714285714,0.1160714285714286,0.9999920581810099,0.9992903233093213,0.9191919191919192,0.9393939393939394,8,6,0.07142857142857142,0.05357142857142857,0.08080808080808081,0.06060606060606061
pooled,100,0.8928571428571429,0.1071428571428571,0.9999832372181827,0.9975274032511579,0.91,0.94,9,6,0.08035714285714286,0.05357142857142857,0.09,0.06
pooled,101,0.9017857142857143,0.0982142857142857,0.9999545100305701,0.9934685218541628,0.9108910891089109,0.9306930693069307,9,7,0.08035714285714286,0.0625,0.0891089108910891,0.06930693069306931
pooled,102,0.9107142857142857,0.0892857142857143,0.9996986644778745,0.9839060437740345,0.9019607843137255,0.9215686274509803,10,8,0.08928571428571429,0.07142857142857142,0.09803921568627451,0.0784313725490196
pooled,103,0.9196428571428571,0.0803571428571429,0.9994703412904241,0.9808074988666632,0.8932038834951457,0.912621359223301,11,9,0.09821428571428571,0.08035714285714286,0.10679611650485436,0.08737864077669903
pooled,104,0.9285714285714286,0.0714285714285714,0.9987995393411512,0.9731362031783409,0.8942307692307693,0.9134615384615384,11,9,0.09821428571428571,0.08035714285714286,0.10576923076923077,0.08653846153846154
pooled,105,0.9375,0.0625,0.9984987679933719,0.9492250603272814,0.8857142857142857,0.9142857142857143,12,9,0.10714285714285714,0.08035714285714286,0.11428571428571428,0.08571428571428572
pooled,106,0.9464285714285714,0.0535714285714286,0.9980728690648153,0.9399116796753325,0.8867924528301887,0.9056603773584906,12,10,0.10714285714285714,0.08928571428571429,0.11320754716981132,0.09433962264150944
pooled,107,0.9553571428571429,0.044642857142857095,0.9975274032511579,0.9341307649391867,0.8785046728971962,0.9065420560747663,13,10,0.11607142857142858,0.08928571428571429,0.12149532710280374,0.09345794392523364
pooled,108,0.9642857142857143,0.0357142857142857,0.9975182728864525,0.8654411373220887,0.8796296296296297,0.9074074074074074,13,10,0.11607142857142858,0.08928571428571429,0.12037037037037036,0.09259259259259259
pooled,109,0.9732142857142857,0.0267857142857143,0.996768933183916,0.8516139578145572,0.8807339449541285,0.908256880733945,13,10,0.11607142857142858,0.08928571428571429,0.11926605504587157,0.09174311926605505
pooled,110,0.9821428571428571,0.017857142857142905,0.9698038746272593,0.7945043207104379,0.8818181818181818,0.9090909090909091,13,10,0.11607142857142858,0.08928571428571429,0.11818181818181818,0.09090909090909091
pooled,111,0.9910714285714286,0.008928571428571397,0.9525726998385136,0.6234615786952638,0.8738738738738738,0.9009009009009009,14,11,0.125,0.09821428571428571,0.12612612612612611,0.0990990990990991
pooled,112,1.0,0.0,0.6384734695161306,0.4563314701779981,0.875,0.8928571428571429,14,12,0.125,0.10714285714285714,0.125,0.10714285714285714
