cohort,condition,threshold,total_trials,score_available_trials,score_unavailable_trials,autonomous_decisions,deferred_decisions,autonomous_coverage,autonomous_accuracy,selective_risk,false_autonomous_acceptance_count,false_autonomous_acceptance_rate_all_trials,false_autonomous_acceptance_rate_autonomous
additional_states,label_only,1.0,100,100,0,65,35,0.65,0.9230769230769231,0.07692307692307693,5,0.05,0.07692307692307693
additional_states,label_only,0.9999998063873693,100,100,0,75,25,0.75,0.9333333333333333,0.06666666666666667,5,0.05,0.06666666666666667
additional_states,label_only,0.9999996871837232,100,100,0,81,19,0.81,0.9135802469135802,0.08641975308641975,7,0.07,0.08641975308641975
additional_states,label_only,0.9999995679801056,100,100,0,82,18,0.82,0.9146341463414634,0.08536585365853659,7,0.07,0.08536585365853659
additional_states,label_only,0.999999448776502,100,100,0,84,16,0.84,0.9166666666666666,0.08333333333333333,7,0.07,0.08333333333333333
additional_states,label_only,0.9999993295729128,100,100,0,85,15,0.85,0.9176470588235294,0.08235294117647059,7,0.07,0.08235294117647059
additional_states,label_only,0.9999987335551229,100,100,0,86,14,0.86,0.9186046511627907,0.08139534883720931,7,0.07,0.08139534883720931
additional_states,label_only,0.9999974223173038,100,100,0,87,13,0.87,0.9195402298850575,0.08045977011494253,7,0.07,0.08045977011494253
additional_states,label_only,0.9999944422379315,100,100,0,88,12,0.88,0.9090909090909091,0.09090909090909091,8,0.08,0.09090909090909091
additional_states,label_only,0.9999832372181827,100,100,0,89,11,0.89,0.898876404494382,0.10112359550561797,9,0.09,0.10112359550561797
additional_states,label_only,0.9999545100305701,100,100,0,90,10,0.9,0.9,0.1,9,0.09,0.1
additional_states,label_only,0.9996986644778745,100,100,0,91,9,0.91,0.8901098901098901,0.10989010989010989,10,0.1,0.10989010989010989
additional_states,label_only,0.9994703412904241,100,100,0,92,8,0.92,0.8804347826086957,0.11956521739130435,11,0.11,0.11956521739130435
additional_states,label_only,0.9987995393411512,100,100,0,93,7,0.93,0.8817204301075269,0.11827956989247312,11,0.11,0.11827956989247312
additional_states,label_only,0.9984987679933719,100,100,0,94,6,0.94,0.8723404255319149,0.1276595744680851,12,0.12,0.1276595744680851
additional_states,label_only,0.9975274032511579,100,100,0,95,5,0.95,0.8631578947368421,0.1368421052631579,13,0.13,0.1368421052631579
additional_states,label_only,0.9975182728864525,100,100,0,96,4,0.96,0.8645833333333334,0.13541666666666666,13,0.13,0.13541666666666666
additional_states,label_only,0.996768933183916,100,100,0,97,3,0.97,0.865979381443299,0.13402061855670103,13,0.13,0.13402061855670103
additional_states,label_only,0.9698038746272593,100,100,0,98,2,0.98,0.8673469387755102,0.1326530612244898,13,0.13,0.1326530612244898
additional_states,label_only,0.9525726998385136,100,100,0,99,1,0.99,0.8585858585858586,0.1414141414141414,14,0.14,0.1414141414141414
additional_states,label_only,0.6384734695161306,100,100,0,100,0,1.0,0.86,0.14,14,0.14,0.14
additional_states,label_then_evidence,1.0,100,100,0,68,32,0.68,0.9705882352941176,0.029411764705882353,2,0.02,0.029411764705882353
additional_states,label_then_evidence,0.9999998063873693,100,100,0,70,30,0.7,0.9714285714285714,0.02857142857142857,2,0.02,0.02857142857142857
additional_states,label_then_evidence,0.9999996871837232,100,100,0,73,27,0.73,0.958904109589041,0.0410958904109589,3,0.03,0.0410958904109589
additional_states,label_then_evidence,0.9999995679801056,100,100,0,74,26,0.74,0.9594594594594594,0.04054054054054054,3,0.03,0.04054054054054054
additional_states,label_then_evidence,0.999999448776502,100,100,0,75,25,0.75,0.9466666666666667,0.05333333333333334,4,0.04,0.05333333333333334
additional_states,label_then_evidence,0.9999988527586979,100,100,0,76,24,0.76,0.9473684210526315,0.05263157894736842,4,0.04,0.05263157894736842
additional_states,label_then_evidence,0.999998137537802,100,100,0,77,23,0.77,0.948051948051948,0.05194805194805195,4,0.04,0.05194805194805195
additional_states,label_then_evidence,0.9999980183344259,100,100,0,78,22,0.78,0.9487179487179487,0.05128205128205128,4,0.04,0.05128205128205128
additional_states,label_then_evidence,0.999997064707474,100,100,0,79,21,0.79,0.9493670886075949,0.05063291139240506,4,0.04,0.05063291139240506
additional_states,label_then_evidence,0.9999897933314713,100,100,0,80,20,0.8,0.95,0.05,4,0.04,0.05
additional_states,label_then_evidence,0.9999770387510999,100,100,0,81,19,0.81,0.9506172839506173,0.04938271604938271,4,0.04,0.04938271604938271
additional_states,label_then_evidence,0.9999038520641101,100,100,0,82,18,0.82,0.9390243902439024,0.06097560975609756,5,0.05,0.06097560975609756
additional_states,label_then_evidence,0.9998909793854133,100,100,0,83,17,0.83,0.9397590361445783,0.060240963855421686,5,0.05,0.060240963855421686
additional_states,label_then_evidence,0.9997795606600332,100,100,0,84,16,0.84,0.9404761904761905,0.05952380952380952,5,0.05,0.05952380952380952
additional_states,label_then_evidence,0.9996972344566767,100,100,0,85,15,0.85,0.9411764705882353,0.058823529411764705,5,0.05,0.058823529411764705
additional_states,label_then_evidence,0.99966459043674,100,100,0,86,14,0.86,0.9418604651162791,0.05813953488372093,5,0.05,0.05813953488372093
additional_states,label_then_evidence,0.9995647765505681,100,100,0,87,13,0.87,0.9310344827586207,0.06896551724137931,6,0.06,0.06896551724137931
additional_states,label_then_evidence,0.9975274032511579,100,100,0,88,12,0.88,0.9318181818181818,0.06818181818181818,6,0.06,0.06818181818181818
additional_states,label_then_evidence,0.9934685218541628,100,100,0,89,11,0.89,0.9213483146067416,0.07865168539325842,7,0.07,0.07865168539325842
additional_states,label_then_evidence,0.9839060437740345,100,100,0,90,10,0.9,0.9111111111111111,0.08888888888888889,8,0.08,0.08888888888888889
additional_states,label_then_evidence,0.9808074988666632,100,100,0,91,9,0.91,0.9010989010989011,0.0989010989010989,9,0.09,0.0989010989010989
additional_states,label_then_evidence,0.9731362031783409,100,100,0,92,8,0.92,0.9021739130434783,0.09782608695652174,9,0.09,0.09782608695652174
additional_states,label_then_evidence,0.9492250603272814,100,100,0,93,7,0.93,0.9032258064516129,0.0967741935483871,9,0.09,0.0967741935483871
additional_states,label_then_evidence,0.9399116796753325,100,100,0,94,6,0.94,0.8936170212765957,0.10638297872340426,10,0.1,0.10638297872340426
