condition,threshold,total_trials,score_available_trials,score_unavailable_trials,autonomous_decisions,deferred_decisions,autonomous_coverage,autonomous_accuracy,selective_risk,false_autonomous_acceptance_count,false_autonomous_acceptance_rate_all_trials,false_autonomous_acceptance_rate_autonomous
label_only,1.0,10,10,0,8,2,0.8,1.0,0.0,0,0.0,0.0
label_only,0.9379490679261255,10,10,0,9,1,0.9,1.0,0.0,0,0.0,0.0
label_only,0.8165516178270771,10,10,0,10,0,1.0,0.9,0.1,1,0.1,0.1
label_then_evidence,1.0,10,10,0,5,5,0.5,1.0,0.0,0,0.0,0.0
label_then_evidence,0.9999984951481292,10,10,0,6,4,0.6,1.0,0.0,0,0.0,0.0
label_then_evidence,0.9999962302845802,10,10,0,7,3,0.7,1.0,0.0,0,0.0,0.0
label_then_evidence,0.9997948118226208,10,10,0,8,2,0.8,1.0,0.0,0,0.0,0.0
label_then_evidence,0.9984987679933719,10,10,0,9,1,0.9,1.0,0.0,0,0.0,0.0
label_then_evidence,0.5615648059387539,10,10,0,10,0,1.0,0.9,0.1,1,0.1,0.1
evidence_then_label,1.0,10,10,0,10,0,1.0,0.7,0.3,3,0.3,0.3
