cohort,comparison,accepted_count,coverage,human_intervention_rate,old_threshold,new_threshold,old_accuracy,new_accuracy,old_false_accepts,new_false_accepts,old_false_accept_rate_all,new_false_accept_rate_all,old_false_accept_rate_accepted,new_false_accept_rate_accepted
additional_states,gpt-4.1-mini-2025-04-14: label-only -> explanation,14,0.7,0.30000000000000004,1.0,0.9999996871837232,0.9285714285714286,0.9285714285714286,1,1,0.05,0.05,0.07142857142857142,0.07142857142857142
additional_states,gpt-4.1-mini-2025-04-14: label-only -> explanation,15,0.75,0.25,0.9999998063873693,0.9999988527586979,0.9333333333333333,0.9333333333333333,1,1,0.05,0.05,0.06666666666666667,0.06666666666666667
additional_states,gpt-4.1-mini-2025-04-14: label-only -> explanation,17,0.85,0.15000000000000002,0.9999996871837232,0.9999038520641101,0.8823529411764706,0.8823529411764706,2,2,0.1,0.1,0.11764705882352941,0.11764705882352941
additional_states,gpt-4.1-mini-2025-04-14: label-only -> explanation,18,0.9,0.09999999999999998,0.9999987335551229,0.9975274032511579,0.8888888888888888,0.8888888888888888,2,2,0.1,0.1,0.1111111111111111,0.1111111111111111
additional_states,gpt-4.1-mini-2025-04-14: label-only -> explanation,19,0.95,0.050000000000000044,0.9987995393411512,0.9731362031783409,0.8947368421052632,0.8947368421052632,2,2,0.1,0.1,0.10526315789473684,0.10526315789473684
additional_states,gpt-4.1-mini-2025-04-14: label-only -> explanation,20,1.0,0.0,0.9984987679933719,0.4563314701779981,0.85,0.85,3,3,0.15,0.15,0.15,0.15
additional_states,gpt-5.2-2025-12-11: label-only -> explanation,1,0.05,0.95,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0.0,0.0
additional_states,gpt-5.2-2025-12-11: label-only -> explanation,4,0.2,0.8,0.9999580392104567,0.9999847413273523,1.0,1.0,0,0,0.0,0.0,0.0,0.0
additional_states,gpt-5.2-2025-12-11: label-only -> explanation,6,0.3,0.7,0.9997673305385353,0.9999656683139552,0.8333333333333334,1.0,1,0,0.05,0.0,0.16666666666666666,0.0
additional_states,gpt-5.2-2025-12-11: label-only -> explanation,7,0.35,0.65,0.999450834440385,0.9999580392104567,0.8571428571428571,1.0,1,0,0.05,0.0,0.14285714285714285,0.0
additional_states,gpt-5.2-2025-12-11: label-only -> explanation,9,0.45,0.55,0.9769058277839734,0.9999389667063573,0.7777777777777778,1.0,2,0,0.1,0.0,0.2222222222222222,0.0
additional_states,label_then_evidence: mini -> GPT-5.2,12,0.6,0.4,1.0,0.9927669166778835,0.9166666666666666,0.9166666666666666,1,1,0.05,0.05,0.08333333333333333,0.08333333333333333
additional_states,label_then_evidence: mini -> GPT-5.2,13,0.65,0.35,0.9999998063873693,0.9890021164487924,0.9230769230769231,0.9230769230769231,1,1,0.05,0.05,0.07692307692307693,0.07692307692307693
additional_states,label_then_evidence: mini -> GPT-5.2,14,0.7,0.30000000000000004,0.9999996871837232,0.9820508571431787,0.9285714285714286,0.9285714285714286,1,1,0.05,0.05,0.07142857142857142,0.07142857142857142
additional_states,label_then_evidence: mini -> GPT-5.2,15,0.75,0.25,0.9999988527586979,0.8927258005064531,0.9333333333333333,0.9333333333333333,1,1,0.05,0.05,0.06666666666666667,0.06666666666666667
additional_objects,gpt-4.1-mini-2025-04-14: label-only -> explanation,9,0.75,0.25,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0.0,0.0
additional_objects,gpt-4.1-mini-2025-04-14: label-only -> explanation,10,0.8333333333333334,0.16666666666666663,0.9999995679801056,0.9999998063873693,1.0,1.0,0,0,0.0,0.0,0.0,0.0
additional_objects,gpt-4.1-mini-2025-04-14: label-only -> explanation,11,0.9166666666666666,0.08333333333333337,0.9999920581810099,0.999999091165777,1.0,1.0,0,0,0.0,0.0,0.0,0.0
additional_objects,gpt-4.1-mini-2025-04-14: label-only -> explanation,12,1.0,0.0,0.9980728690648153,0.9992903233093213,1.0,1.0,0,0,0.0,0.0,0.0,0.0
additional_objects,gpt-5.2-2025-12-11: label-only -> explanation,1,0.08333333333333333,0.9166666666666666,1.0,0.9999961853100103,1.0,1.0,0,0,0.0,0.0,0.0,0.0
additional_objects,gpt-5.2-2025-12-11: label-only -> explanation,2,0.16666666666666666,0.8333333333333334,0.9999961853100103,0.9999885559736865,1.0,1.0,0,0,0.0,0.0,0.0,0.0
additional_objects,gpt-5.2-2025-12-11: label-only -> explanation,3,0.25,0.75,0.9999847413273523,0.9999809266955697,1.0,1.0,0,0,0.0,0.0,0.0,0.0
additional_objects,gpt-5.2-2025-12-11: label-only -> explanation,4,0.3333333333333333,0.6666666666666667,0.9999771120783387,0.9999771120783387,1.0,1.0,0,0,0.0,0.0,0.0,0.0
additional_objects,gpt-5.2-2025-12-11: label-only -> explanation,5,0.4166666666666667,0.5833333333333333,0.9999465956643435,0.9999389667063573,1.0,1.0,0,0,0.0,0.0,0.0,0.0
pooled,gpt-4.1-mini-2025-04-14: label-only -> explanation,23,0.71875,0.28125,1.0,0.9999998063873693,0.9565217391304348,0.9565217391304348,1,1,0.03125,0.03125,0.043478260869565216,0.043478260869565216
pooled,gpt-4.1-mini-2025-04-14: label-only -> explanation,24,0.75,0.25,0.9999998063873693,0.9999996871837232,0.9583333333333334,0.9583333333333334,1,1,0.03125,0.03125,0.041666666666666664,0.041666666666666664
pooled,gpt-4.1-mini-2025-04-14: label-only -> explanation,26,0.8125,0.1875,0.9999996871837232,0.9999988527586979,0.9230769230769231,0.9615384615384616,2,1,0.0625,0.03125,0.07692307692307693,0.038461538461538464
pooled,gpt-4.1-mini-2025-04-14: label-only -> explanation,27,0.84375,0.15625,0.9999995679801056,0.999997064707474,0.9259259259259259,0.9629629629629629,2,1,0.0625,0.03125,0.07407407407407407,0.037037037037037035
pooled,gpt-4.1-mini-2025-04-14: label-only -> explanation,28,0.875,0.125,0.9999987335551229,0.9999038520641101,0.9285714285714286,0.9285714285714286,2,2,0.0625,0.0625,0.07142857142857142,0.07142857142857142
pooled,gpt-4.1-mini-2025-04-14: label-only -> explanation,29,0.90625,0.09375,0.9999920581810099,0.9992903233093213,0.9310344827586207,0.9310344827586207,2,2,0.0625,0.0625,0.06896551724137931,0.06896551724137931
pooled,gpt-4.1-mini-2025-04-14: label-only -> explanation,30,0.9375,0.0625,0.9987995393411512,0.9975274032511579,0.9333333333333333,0.9333333333333333,2,2,0.0625,0.0625,0.06666666666666667,0.06666666666666667
pooled,gpt-4.1-mini-2025-04-14: label-only -> explanation,31,0.96875,0.03125,0.9984987679933719,0.9731362031783409,0.9032258064516129,0.9354838709677419,3,2,0.09375,0.0625,0.0967741935483871,0.06451612903225806
pooled,gpt-4.1-mini-2025-04-14: label-only -> explanation,32,1.0,0.0,0.9980728690648153,0.4563314701779981,0.90625,0.90625,3,3,0.09375,0.09375,0.09375,0.09375
pooled,gpt-5.2-2025-12-11: label-only -> explanation,6,0.1875,0.8125,0.9999847413273523,0.9999847413273523,1.0,1.0,0,0,0.0,0.0,0.0,0.0
pooled,gpt-5.2-2025-12-11: label-only -> explanation,7,0.21875,0.78125,0.9999771120783387,0.9999809266955697,1.0,1.0,0,0,0.0,0.0,0.0,0.0
pooled,gpt-5.2-2025-12-11: label-only -> explanation,8,0.25,0.75,0.9999580392104567,0.9999771120783387,1.0,1.0,0,0,0.0,0.0,0.0,0.0
pooled,gpt-5.2-2025-12-11: label-only -> explanation,11,0.34375,0.65625,0.9999389667063573,0.9999580392104567,1.0,1.0,0,0,0.0,0.0,0.0,0.0
pooled,gpt-5.2-2025-12-11: label-only -> explanation,14,0.4375,0.5625,0.999450834440385,0.9999389667063573,0.9285714285714286,1.0,1,0,0.03125,0.0,0.07142857142857142,0.0
