cohort,model,condition,threshold,total_trials,score_available_trials,score_unavailable_trials,autonomous_decisions,deferred_decisions,autonomous_coverage,autonomous_accuracy,selective_risk,false_autonomous_acceptance_count,false_autonomous_acceptance_rate_all_trials,false_autonomous_acceptance_rate_autonomous
additional_states,gpt-4.1-mini-2025-04-14,label_only,1.0,20,20,0,14,6,0.7,0.9285714285714286,0.07142857142857142,1,0.05,0.07142857142857142
additional_states,gpt-4.1-mini-2025-04-14,label_only,0.9999998063873693,20,20,0,15,5,0.75,0.9333333333333333,0.06666666666666667,1,0.05,0.06666666666666667
additional_states,gpt-4.1-mini-2025-04-14,label_only,0.9999996871837232,20,20,0,17,3,0.85,0.8823529411764706,0.11764705882352941,2,0.1,0.11764705882352941
additional_states,gpt-4.1-mini-2025-04-14,label_only,0.9999987335551229,20,20,0,18,2,0.9,0.8888888888888888,0.1111111111111111,2,0.1,0.1111111111111111
additional_states,gpt-4.1-mini-2025-04-14,label_only,0.9987995393411512,20,20,0,19,1,0.95,0.8947368421052632,0.10526315789473684,2,0.1,0.10526315789473684
additional_states,gpt-4.1-mini-2025-04-14,label_only,0.9984987679933719,20,20,0,20,0,1.0,0.85,0.15,3,0.15,0.15
additional_states,gpt-4.1-mini-2025-04-14,label_then_evidence,1.0,20,20,0,12,8,0.6,0.9166666666666666,0.08333333333333333,1,0.05,0.08333333333333333
additional_states,gpt-4.1-mini-2025-04-14,label_then_evidence,0.9999998063873693,20,20,0,13,7,0.65,0.9230769230769231,0.07692307692307693,1,0.05,0.07692307692307693
additional_states,gpt-4.1-mini-2025-04-14,label_then_evidence,0.9999996871837232,20,20,0,14,6,0.7,0.9285714285714286,0.07142857142857142,1,0.05,0.07142857142857142
additional_states,gpt-4.1-mini-2025-04-14,label_then_evidence,0.9999988527586979,20,20,0,15,5,0.75,0.9333333333333333,0.06666666666666667,1,0.05,0.06666666666666667
additional_states,gpt-4.1-mini-2025-04-14,label_then_evidence,0.999997064707474,20,20,0,16,4,0.8,0.9375,0.0625,1,0.05,0.0625
additional_states,gpt-4.1-mini-2025-04-14,label_then_evidence,0.9999038520641101,20,20,0,17,3,0.85,0.8823529411764706,0.11764705882352941,2,0.1,0.11764705882352941
additional_states,gpt-4.1-mini-2025-04-14,label_then_evidence,0.9975274032511579,20,20,0,18,2,0.9,0.8888888888888888,0.1111111111111111,2,0.1,0.1111111111111111
additional_states,gpt-4.1-mini-2025-04-14,label_then_evidence,0.9731362031783409,20,20,0,19,1,0.95,0.8947368421052632,0.10526315789473684,2,0.1,0.10526315789473684
additional_states,gpt-4.1-mini-2025-04-14,label_then_evidence,0.4563314701779981,20,20,0,20,0,1.0,0.85,0.15,3,0.15,0.15
additional_states,gpt-5.2-2025-12-11,label_only,1.0,20,9,11,1,19,0.05,1.0,0.0,0,0.0,0.0
additional_states,gpt-5.2-2025-12-11,label_only,0.9999961853100103,20,9,11,3,17,0.15,1.0,0.0,0,0.0,0.0
additional_states,gpt-5.2-2025-12-11,label_only,0.9999580392104567,20,9,11,4,16,0.2,1.0,0.0,0,0.0,0.0
additional_states,gpt-5.2-2025-12-11,label_only,0.9999084514564487,20,9,11,5,15,0.25,0.8,0.2,1,0.05,0.2
additional_states,gpt-5.2-2025-12-11,label_only,0.9997673305385353,20,9,11,6,14,0.3,0.8333333333333334,0.16666666666666666,1,0.05,0.16666666666666666
additional_states,gpt-5.2-2025-12-11,label_only,0.999450834440385,20,9,11,7,13,0.35,0.8571428571428571,0.14285714285714285,1,0.05,0.14285714285714285
additional_states,gpt-5.2-2025-12-11,label_only,0.9992983419803216,20,9,11,8,12,0.4,0.875,0.125,1,0.05,0.125
additional_states,gpt-5.2-2025-12-11,label_only,0.9769058277839734,20,9,11,9,11,0.45,0.7777777777777778,0.2222222222222222,2,0.1,0.2222222222222222
additional_states,gpt-5.2-2025-12-11,label_then_evidence,1.0,20,15,5,1,19,0.05,1.0,0.0,0,0.0,0.0
additional_states,gpt-5.2-2025-12-11,label_then_evidence,0.9999961853100103,20,15,5,2,18,0.1,1.0,0.0,0,0.0,0.0
additional_states,gpt-5.2-2025-12-11,label_then_evidence,0.9999847413273523,20,15,5,4,16,0.2,1.0,0.0,0,0.0,0.0
