model,temperature,target,n,correct,wrong_ge_099
gpt-4.1-mini-2025-04-14,0.0,alphabet soup,6,0,3
gpt-4.1-mini-2025-04-14,0.0,bbq sauce,6,6,0
gpt-4.1-mini-2025-04-14,0.0,butter,6,6,0
gpt-4.1-mini-2025-04-14,0.0,chocolate pudding,6,6,0
gpt-4.1-mini-2025-04-14,0.0,cream cheese,6,6,0
gpt-4.1-mini-2025-04-14,0.0,ketchup,6,6,0
gpt-4.1-mini-2025-04-14,0.0,milk,6,6,0
gpt-4.1-mini-2025-04-14,0.0,orange juice,6,6,0
gpt-4.1-mini-2025-04-14,0.0,salad dressing,6,6,0
gpt-4.1-mini-2025-04-14,0.0,tomato sauce,6,0,5
gpt-4.1-mini-2025-04-14,0.5,alphabet soup,6,0,3
gpt-4.1-mini-2025-04-14,0.5,bbq sauce,6,6,0
gpt-4.1-mini-2025-04-14,0.5,butter,6,6,0
gpt-4.1-mini-2025-04-14,0.5,chocolate pudding,6,6,0
gpt-4.1-mini-2025-04-14,0.5,cream cheese,6,6,0
gpt-4.1-mini-2025-04-14,0.5,ketchup,6,6,0
gpt-4.1-mini-2025-04-14,0.5,milk,6,6,0
gpt-4.1-mini-2025-04-14,0.5,orange juice,6,6,0
gpt-4.1-mini-2025-04-14,0.5,salad dressing,6,6,0
gpt-4.1-mini-2025-04-14,0.5,tomato sauce,6,0,5
gpt-4.1-mini-2025-04-14,1.0,alphabet soup,6,0,3
gpt-4.1-mini-2025-04-14,1.0,bbq sauce,6,6,0
gpt-4.1-mini-2025-04-14,1.0,butter,6,6,0
gpt-4.1-mini-2025-04-14,1.0,chocolate pudding,6,6,0
gpt-4.1-mini-2025-04-14,1.0,cream cheese,6,6,0
gpt-4.1-mini-2025-04-14,1.0,ketchup,6,6,0
gpt-4.1-mini-2025-04-14,1.0,milk,6,6,0
gpt-4.1-mini-2025-04-14,1.0,orange juice,6,6,0
gpt-4.1-mini-2025-04-14,1.0,salad dressing,6,6,0
gpt-4.1-mini-2025-04-14,1.0,tomato sauce,6,0,4
gpt-4o-2024-08-06,0.0,alphabet soup,6,0,0
gpt-4o-2024-08-06,0.0,bbq sauce,6,5,0
gpt-4o-2024-08-06,0.0,butter,6,5,0
gpt-4o-2024-08-06,0.0,chocolate pudding,6,0,6
gpt-4o-2024-08-06,0.0,cream cheese,6,2,3
gpt-4o-2024-08-06,0.0,ketchup,6,6,0
gpt-4o-2024-08-06,0.0,milk,6,6,0
gpt-4o-2024-08-06,0.0,orange juice,6,6,0
gpt-4o-2024-08-06,0.0,salad dressing,6,6,0
gpt-4o-2024-08-06,0.0,tomato sauce,6,6,0
gpt-4o-2024-08-06,0.5,alphabet soup,6,0,0
gpt-4o-2024-08-06,0.5,bbq sauce,6,4,0
gpt-4o-2024-08-06,0.5,butter,6,6,0
gpt-4o-2024-08-06,0.5,chocolate pudding,6,0,6
gpt-4o-2024-08-06,0.5,cream cheese,6,3,3
gpt-4o-2024-08-06,0.5,ketchup,6,6,0
gpt-4o-2024-08-06,0.5,milk,6,6,0
gpt-4o-2024-08-06,0.5,orange juice,6,6,0
gpt-4o-2024-08-06,0.5,salad dressing,6,6,0
gpt-4o-2024-08-06,0.5,tomato sauce,6,6,0
gpt-4o-2024-08-06,1.0,alphabet soup,6,2,0
gpt-4o-2024-08-06,1.0,bbq sauce,6,3,0
gpt-4o-2024-08-06,1.0,butter,6,4,0
gpt-4o-2024-08-06,1.0,chocolate pudding,6,0,6
gpt-4o-2024-08-06,1.0,cream cheese,6,1,3
gpt-4o-2024-08-06,1.0,ketchup,6,6,0
gpt-4o-2024-08-06,1.0,milk,6,5,0
gpt-4o-2024-08-06,1.0,orange juice,6,6,0
gpt-4o-2024-08-06,1.0,salad dressing,6,6,0
gpt-4o-2024-08-06,1.0,tomato sauce,6,6,0
