comparison,sample_id,model_a,model_b,temperature_a,temperature_b,repeat_a,repeat_b,token,logprob_a,logprob_b,logprob_delta_b_minus_a,probability_delta_b_minus_a
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0, G,-14.989972114562988,-14.860990524291992,0.1289815902709961,4.2537753645304756e-08
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,A,-7.5524725914001465,-7.923490047454834,-0.3710174560546875,-0.00016267463290101477
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,B,-4.0524725914001465,-4.173490047454834,-0.1210174560546875,-0.001980924438575664
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,C,-7.0524725914001465,-7.048490047454834,0.0039825439453125,3.452834257744084e-06
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,D,-6.1774725914001465,-5.923490047454834,0.2539825439453125,0.0006001777452368422
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,E,-4.5524725914001465,-4.798490047454834,-0.2460174560546875,-0.0022989253179847083
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,F,-3.9274723529815674,-3.923490047454834,0.0039823055267333984,7.858145021265653e-05
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,G,-0.05247241258621216,-0.04849015176296234,0.003982260823249817,0.0037862234936721917
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,N,-10.177472114562988,-11.298490524291992,-1.121018409729004,-2.562557567342996e-05
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1, G,-14.860990524291992,-14.904727935791016,-0.04373741149902344,-1.5043332467299684e-08
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,A,-7.923490047454834,-7.029727458953857,0.8937625885009766,0.0005230367479413759
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,B,-4.173490047454834,-4.404727458953857,-0.23123741149902344,-0.003178988741999584
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,C,-7.048490047454834,-7.279727458953857,-0.23123741149902344,-0.00017934627234958618
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,D,-5.923490047454834,-6.529727458953857,-0.6062374114990234,-0.0012164414923915142
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,E,-4.798490047454834,-5.404727458953857,-0.6062374114990234,-0.003746903580587338
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,F,-3.923490047454834,-4.654727458953857,-0.7312374114990234,-0.010255462551045362
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,G,-0.04849015176296234,-0.029727580025792122,0.01876257173717022,0.01804321696133515
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,N,-11.298490524291992,-10.654727935791016,0.6437625885009766,1.1197435026975551e-05
