sample_id,model,repeat,first_token,second_token,gap_t05,gap_t1,ratio,absolute_error_unchanged,absolute_error_temperature_scaled
task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,0,G,F,3.8749998956918716,3.750000026077032,1.0333332983321617,0.12499986961483955,3.6250001564621925
task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,1,G,F,4.624999878928065,3.8749999403953552,1.1935483742113786,0.7499999385327101,3.125000001862645
task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,2,G,F,3.8749999403953552,3.8749999403953552,1.0,0.0,3.8749999403953552
task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,0,G,F,14.374999687228637,15.500000283247005,0.9274193177122512,1.125000596018367,16.62500087926537
task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,1,G,B,15.750000283247005,15.999999567980012,0.9843750442822937,0.2499992847330077,16.24999885271302
task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,2,G,B,15.999999567980012,15.999999567980012,1.0,0.0,15.999999567980012
task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,0,F,C,11.499999568474777,12.625000402630576,0.9108910258789861,1.1250008341557987,13.750001236786375
task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,1,F,C,12.374999568205112,12.499999925816155,0.9899999713317693,0.125000357611043,12.625000283427198
task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,2,F,C,11.499999568474777,11.499999568474777,1.0,0.0,11.499999568474777
task_01_cream_cheese_state_01,gpt-4.1-mini-2025-04-14,0,F,C,19.875,20.75,0.9578313253012049,0.875,21.625
task_01_cream_cheese_state_01,gpt-4.1-mini-2025-04-14,1,F,C,20.75,19.875,1.0440251572327044,0.875,19.0
task_01_cream_cheese_state_01,gpt-4.1-mini-2025-04-14,2,F,C,20.875,20.0,1.04375,0.875,19.125
task_02_salad_dressing_state_00,gpt-4.1-mini-2025-04-14,0,C,D,24.0,24.0,1.0,0.0,24.0
task_02_salad_dressing_state_00,gpt-4.1-mini-2025-04-14,1,C,D,24.5,23.875,1.0261780104712042,0.625,23.25
task_02_salad_dressing_state_00,gpt-4.1-mini-2025-04-14,2,C,D,24.0,24.5,0.9795918367346939,0.5,25.0
task_02_salad_dressing_state_01,gpt-4.1-mini-2025-04-14,0,C,A,16.624999687183674,16.12499944877635,1.0310077677829173,0.5000002384073241,15.624999210369026
task_02_salad_dressing_state_01,gpt-4.1-mini-2025-04-14,1,C,A,19.875,17.87499980638735,1.1118881239315024,2.0000001936126495,15.874999612774701
task_02_salad_dressing_state_01,gpt-4.1-mini-2025-04-14,2,C,A,16.12499944877635,19.875,0.8113207269824578,3.75000055122365,23.62500055122365
task_03_bbq_sauce_state_00,gpt-4.1-mini-2025-04-14,0,E,F,24.0,24.0,1.0,0.0,24.0
task_03_bbq_sauce_state_00,gpt-4.1-mini-2025-04-14,1,E,F,21.0,19.75,1.0632911392405062,1.25,18.5
task_03_bbq_sauce_state_00,gpt-4.1-mini-2025-04-14,2,E,F,21.0,24.0,0.875,3.0,27.0
task_03_bbq_sauce_state_01,gpt-4.1-mini-2025-04-14,0,E,F,11.250000283832378,12.999999568070052,0.8653846659706101,1.7499992842376741,14.749998852307726
task_03_bbq_sauce_state_01,gpt-4.1-mini-2025-04-14,1,E,F,12.000000402720616,13.2500000448847,0.9056604046845524,1.2499996421640844,14.499999687048785
task_03_bbq_sauce_state_01,gpt-4.1-mini-2025-04-14,2,E,F,11.250000283832378,12.999999568070052,0.8653846659706101,1.7499992842376741,14.749998852307726
task_04_ketchup_state_00,gpt-4.1-mini-2025-04-14,0,C,D,23.375,24.625,0.949238578680203,1.25,25.875
task_04_ketchup_state_00,gpt-4.1-mini-2025-04-14,1,C,D,24.625,24.375,1.0102564102564102,0.25,24.125
task_04_ketchup_state_00,gpt-4.1-mini-2025-04-14,2,C,D,24.625,24.625,1.0,0.0,24.625
