model,temperature,threshold,total_trials,score_available_trials,score_unavailable_trials,autonomous_decisions,deferred_decisions,autonomous_coverage,autonomous_accuracy,selective_risk,false_autonomous_acceptance_count,false_autonomous_acceptance_rate_all_trials,false_autonomous_acceptance_rate_autonomous
gpt-4.1-mini-2025-04-14,0.0,1.0,60,60,0,33,27,0.55,1.0,0.0,0,0.0,0.0
gpt-4.1-mini-2025-04-14,0.0,0.9999998063873693,60,60,0,35,25,0.5833333333333334,1.0,0.0,0,0.0,0.0
gpt-4.1-mini-2025-04-14,0.0,0.9999996871837232,60,60,0,37,23,0.6166666666666667,1.0,0.0,0,0.0,0.0
gpt-4.1-mini-2025-04-14,0.0,0.9999995679801056,60,60,0,39,21,0.65,1.0,0.0,0,0.0,0.0
gpt-4.1-mini-2025-04-14,0.0,0.999999448776502,60,60,0,40,20,0.6666666666666666,1.0,0.0,0,0.0,0.0
gpt-4.1-mini-2025-04-14,0.0,0.9999993295729128,60,60,0,44,16,0.7333333333333333,0.9318181818181818,0.06818181818181818,3,0.05,0.06818181818181818
gpt-4.1-mini-2025-04-14,0.0,0.999998137537802,60,60,0,47,13,0.7833333333333333,0.9361702127659575,0.06382978723404255,3,0.05,0.06382978723404255
gpt-4.1-mini-2025-04-14,0.0,0.9999956342685238,60,60,0,48,12,0.8,0.9375,0.0625,3,0.05,0.0625
gpt-4.1-mini-2025-04-14,0.0,0.9999937270200764,60,60,0,49,11,0.8166666666666667,0.9387755102040817,0.061224489795918366,3,0.05,0.061224489795918366
gpt-4.1-mini-2025-04-14,0.0,0.999989078116941,60,60,0,50,10,0.8333333333333334,0.94,0.06,3,0.05,0.06
gpt-4.1-mini-2025-04-14,0.0,0.9999714363225806,60,60,0,52,8,0.8666666666666667,0.9038461538461539,0.09615384615384616,5,0.08333333333333333,0.09615384615384616
gpt-4.1-mini-2025-04-14,0.0,0.9999241149398151,60,60,0,54,6,0.9,0.8703703703703703,0.12962962962962962,7,0.11666666666666667,0.12962962962962962
gpt-4.1-mini-2025-04-14,0.0,0.9998974157004088,60,60,0,55,5,0.9166666666666666,0.8727272727272727,0.12727272727272726,7,0.11666666666666667,0.12727272727272726
gpt-4.1-mini-2025-04-14,0.0,0.9997614458648256,60,60,0,56,4,0.9333333333333333,0.8571428571428571,0.14285714285714285,8,0.13333333333333333,0.14285714285714285
gpt-4.1-mini-2025-04-14,0.0,0.9769947352582931,60,60,0,57,3,0.95,0.8421052631578947,0.15789473684210525,9,0.15,0.15789473684210525
gpt-4.1-mini-2025-04-14,0.0,0.9707099383086614,60,60,0,58,2,0.9666666666666667,0.8275862068965517,0.1724137931034483,10,0.16666666666666666,0.1724137931034483
gpt-4.1-mini-2025-04-14,0.0,0.9526667213473262,60,60,0,59,1,0.9833333333333333,0.8135593220338984,0.1864406779661017,11,0.18333333333333332,0.1864406779661017
gpt-4.1-mini-2025-04-14,0.0,0.948880497853654,60,60,0,60,0,1.0,0.8,0.2,12,0.2,0.2
gpt-4.1-mini-2025-04-14,0.5,1.0,60,60,0,34,26,0.5666666666666667,1.0,0.0,0,0.0,0.0
gpt-4.1-mini-2025-04-14,0.5,0.9999996871837232,60,60,0,35,25,0.5833333333333334,1.0,0.0,0,0.0,0.0
gpt-4.1-mini-2025-04-14,0.5,0.9999995679801056,60,60,0,39,21,0.65,0.9743589743589743,0.02564102564102564,1,0.016666666666666666,0.02564102564102564
gpt-4.1-mini-2025-04-14,0.5,0.999999448776502,60,60,0,40,20,0.6666666666666666,0.975,0.025,1,0.016666666666666666,0.025
gpt-4.1-mini-2025-04-14,0.5,0.9999993295729128,60,60,0,41,19,0.6833333333333333,0.9512195121951219,0.04878048780487805,2,0.03333333333333333,0.04878048780487805
gpt-4.1-mini-2025-04-14,0.5,0.9999987335551229,60,60,0,42,18,0.7,0.9285714285714286,0.07142857142857142,3,0.05,0.07142857142857142
gpt-4.1-mini-2025-04-14,0.5,0.999998137537802,60,60,0,45,15,0.75,0.9333333333333333,0.06666666666666667,3,0.05,0.06666666666666667
gpt-4.1-mini-2025-04-14,0.5,0.999994799847051,60,60,0,46,14,0.7666666666666667,0.9347826086956522,0.06521739130434782,3,0.05,0.06521739130434782
gpt-4.1-mini-2025-04-14,0.5,0.9999937270200764,60,60,0,47,13,0.7833333333333333,0.9361702127659575,0.06382978723404255,3,0.05,0.06382978723404255
gpt-4.1-mini-2025-04-14,0.5,0.999989078116941,60,60,0,49,11,0.8166666666666667,0.9387755102040817,0.061224489795918366,3,0.05,0.061224489795918366
gpt-4.1-mini-2025-04-14,0.5,0.9999869324773292,60,60,0,51,9,0.85,0.9411764705882353,0.058823529411764705,3,0.05,0.058823529411764705
gpt-4.1-mini-2025-04-14,0.5,0.9999714363225806,60,60,0,53,7,0.8833333333333333,0.9056603773584906,0.09433962264150944,5,0.08333333333333333,0.09433962264150944
gpt-4.1-mini-2025-04-14,0.5,0.9999243533330548,60,60,0,54,6,0.9,0.8888888888888888,0.1111111111111111,6,0.1,0.1111111111111111
gpt-4.1-mini-2025-04-14,0.5,0.9999241149398151,60,60,0,55,5,0.9166666666666666,0.8727272727272727,0.12727272727272726,7,0.11666666666666667,0.12727272727272726
gpt-4.1-mini-2025-04-14,0.5,0.9995396468428095,60,60,0,56,4,0.9333333333333333,0.8571428571428571,0.14285714285714285,8,0.13333333333333333,0.14285714285714285
gpt-4.1-mini-2025-04-14,0.5,0.9769947352582931,60,60,0,57,3,0.95,0.8421052631578947,0.15789473684210525,9,0.15,0.15789473684210525
gpt-4.1-mini-2025-04-14,0.5,0.9707099383086614,60,60,0,58,2,0.9666666666666667,0.8275862068965517,0.1724137931034483,10,0.16666666666666666,0.1724137931034483
gpt-4.1-mini-2025-04-14,0.5,0.9526667213473262,60,60,0,59,1,0.9833333333333333,0.8135593220338984,0.1864406779661017,11,0.18333333333333332,0.1864406779661017
gpt-4.1-mini-2025-04-14,0.5,0.948880497853654,60,60,0,60,0,1.0,0.8,0.2,12,0.2,0.2
gpt-4.1-mini-2025-04-14,1.0,1.0,60,60,0,34,26,0.5666666666666667,1.0,0.0,0,0.0,0.0
gpt-4.1-mini-2025-04-14,1.0,0.9999998063873693,60,60,0,37,23,0.6166666666666667,1.0,0.0,0,0.0,0.0
gpt-4.1-mini-2025-04-14,1.0,0.9999995679801056,60,60,0,40,20,0.6666666666666666,0.95,0.05,2,0.03333333333333333,0.05
gpt-4.1-mini-2025-04-14,1.0,0.999999448776502,60,60,0,41,19,0.6833333333333333,0.9512195121951219,0.04878048780487805,2,0.03333333333333333,0.04878048780487805
gpt-4.1-mini-2025-04-14,1.0,0.9999993295729128,60,60,0,43,17,0.7166666666666667,0.9302325581395349,0.06976744186046512,3,0.05,0.06976744186046512
gpt-4.1-mini-2025-04-14,1.0,0.999999091165777,60,60,0,44,16,0.7333333333333333,0.9318181818181818,0.06818181818181818,3,0.05,0.06818181818181818
gpt-4.1-mini-2025-04-14,1.0,0.999998137537802,60,60,0,45,15,0.75,0.9333333333333333,0.06666666666666667,3,0.05,0.06666666666666667
gpt-4.1-mini-2025-04-14,1.0,0.9999976607241555,60,60,0,48,12,0.8,0.9375,0.0625,3,0.05,0.0625
gpt-4.1-mini-2025-04-14,1.0,0.9999956342685238,60,60,0,49,11,0.8166666666666667,0.9387755102040817,0.061224489795918366,3,0.05,0.061224489795918366
gpt-4.1-mini-2025-04-14,1.0,0.9999951574562983,60,60,0,50,10,0.8333333333333334,0.94,0.06,3,0.05,0.06
gpt-4.1-mini-2025-04-14,1.0,0.999989078116941,60,60,0,51,9,0.85,0.9411764705882353,0.058823529411764705,3,0.05,0.058823529411764705
