split,threshold,total_trials,score_available_trials,score_unavailable_trials,autonomous_decisions,deferred_decisions,autonomous_coverage,autonomous_accuracy,selective_risk,false_autonomous_acceptance_count,false_autonomous_acceptance_rate_all_trials,false_autonomous_acceptance_rate_autonomous
calibration,0.5,300,300,0,299,1,0.9966666666666667,0.7959866220735786,0.2040133779264214,61,0.20333333333333334,0.2040133779264214
calibration,0.75,300,300,0,289,11,0.9633333333333334,0.8200692041522492,0.17993079584775087,52,0.17333333333333334,0.17993079584775087
calibration,0.9,300,300,0,279,21,0.93,0.8458781362007168,0.15412186379928317,43,0.14333333333333334,0.15412186379928317
calibration,0.95,300,300,0,276,24,0.92,0.855072463768116,0.14492753623188406,40,0.13333333333333333,0.14492753623188406
calibration,0.99,300,300,0,267,33,0.89,0.8764044943820225,0.12359550561797752,33,0.11,0.12359550561797752
calibration,0.999,300,300,0,252,48,0.84,0.8968253968253969,0.10317460317460317,26,0.08666666666666667,0.10317460317460317
calibration,0.9999,300,300,0,237,63,0.79,0.9409282700421941,0.05907172995780591,14,0.04666666666666667,0.05907172995780591
calibration,0.99995,300,300,0,234,66,0.78,0.9444444444444444,0.05555555555555555,13,0.043333333333333335,0.05555555555555555
calibration,0.99998,300,300,0,231,69,0.77,0.948051948051948,0.05194805194805195,12,0.04,0.05194805194805195
calibration,0.9999832372181827,300,300,0,230,70,0.7666666666666667,0.9521739130434783,0.04782608695652174,11,0.03666666666666667,0.04782608695652174
calibration,0.99999,300,300,0,225,75,0.75,0.9555555555555556,0.044444444444444446,10,0.03333333333333333,0.044444444444444446
calibration,0.999995,300,300,0,219,81,0.73,0.9634703196347032,0.0365296803652968,8,0.02666666666666667,0.0365296803652968
calibration,0.999999,300,300,0,213,87,0.71,0.971830985915493,0.028169014084507043,6,0.02,0.028169014084507043
validation,0.5,100,100,0,100,0,1.0,0.81,0.19,19,0.19,0.19
validation,0.75,100,100,0,96,4,0.96,0.8229166666666666,0.17708333333333334,17,0.17,0.17708333333333334
validation,0.9,100,100,0,92,8,0.92,0.8586956521739131,0.14130434782608695,13,0.13,0.14130434782608695
validation,0.95,100,100,0,92,8,0.92,0.8586956521739131,0.14130434782608695,13,0.13,0.14130434782608695
validation,0.99,100,100,0,91,9,0.91,0.8571428571428571,0.14285714285714285,13,0.13,0.14285714285714285
validation,0.999,100,100,0,86,14,0.86,0.8953488372093024,0.10465116279069768,9,0.09,0.10465116279069768
validation,0.9999,100,100,0,77,23,0.77,0.948051948051948,0.05194805194805195,4,0.04,0.05194805194805195
validation,0.99995,100,100,0,74,26,0.74,0.9594594594594594,0.04054054054054054,3,0.03,0.04054054054054054
validation,0.99998,100,100,0,73,27,0.73,0.9726027397260274,0.0273972602739726,2,0.02,0.0273972602739726
validation,0.9999832372181827,100,100,0,73,27,0.73,0.9726027397260274,0.0273972602739726,2,0.02,0.0273972602739726
validation,0.99999,100,100,0,73,27,0.73,0.9726027397260274,0.0273972602739726,2,0.02,0.0273972602739726
validation,0.999995,100,100,0,72,28,0.72,0.9722222222222222,0.027777777777777776,2,0.02,0.027777777777777776
validation,0.999999,100,100,0,71,29,0.71,0.971830985915493,0.028169014084507043,2,0.02,0.028169014084507043
test,0.5,100,100,0,100,0,1.0,0.82,0.18,18,0.18,0.18
test,0.75,100,100,0,97,3,0.97,0.8247422680412371,0.17525773195876287,17,0.17,0.17525773195876287
test,0.9,100,100,0,95,5,0.95,0.8315789473684211,0.16842105263157894,16,0.16,0.16842105263157894
test,0.95,100,100,0,95,5,0.95,0.8315789473684211,0.16842105263157894,16,0.16,0.16842105263157894
test,0.99,100,100,0,89,11,0.89,0.8876404494382022,0.11235955056179775,10,0.1,0.11235955056179775
test,0.999,100,100,0,83,17,0.83,0.9036144578313253,0.0963855421686747,8,0.08,0.0963855421686747
test,0.9999,100,100,0,81,19,0.81,0.9135802469135802,0.08641975308641975,7,0.07,0.08641975308641975
test,0.99995,100,100,0,79,21,0.79,0.9367088607594937,0.06329113924050633,5,0.05,0.06329113924050633
test,0.99998,100,100,0,77,23,0.77,0.935064935064935,0.06493506493506493,5,0.05,0.06493506493506493
test,0.9999832372181827,100,100,0,76,24,0.76,0.9473684210526315,0.05263157894736842,4,0.04,0.05263157894736842
test,0.99999,100,100,0,76,24,0.76,0.9473684210526315,0.05263157894736842,4,0.04,0.05263157894736842
test,0.999995,100,100,0,76,24,0.76,0.9473684210526315,0.05263157894736842,4,0.04,0.05263157894736842
test,0.999999,100,100,0,73,27,0.73,0.9452054794520548,0.0547945205479452,4,0.04,0.0547945205479452
