split,score_source,bin,count,minimum_score,maximum_score,mean_score,empirical_accuracy
calibration,raw,0,30,0.49944446478098875,0.9753297588367545,0.7883759542269154,0.16666666666666666
calibration,raw,1,29,0.9769947352582931,0.9997614458648256,0.9958298941402477,0.3103448275862069
calibration,raw,2,31,0.9997962419688495,0.9999992103693378,0.9999628533670766,0.6451612903225806
calibration,raw,3,210,0.9999993295729128,1.0,0.99999996020383,0.9761904761904762
validation,raw,0,10,0.6216771477290204,0.9937978534947751,0.798065336438546,0.3
validation,raw,1,10,0.9958067109214287,0.999841289108504,0.9987500505242088,0.4
validation,raw,2,10,0.9998579714472587,0.9999993295729128,0.9999308531358991,0.6
validation,raw,3,70,0.999999448776502,1.0,0.999999970421283,0.9714285714285714
test,raw,0,10,0.6221314207540862,0.9827979573292684,0.8481496231275104,0.3
test,raw,1,10,0.9858255541160836,0.9999020641783191,0.9962422595002218,0.5
test,raw,2,10,0.9999037328662894,0.999999448776502,0.9999785768838472,0.8
test,raw,3,70,0.9999996871837232,1.0,0.9999999755300093,0.9428571428571428
validation,isotonic,0,9,0.1111111111111111,0.2857142857142857,0.13051146384479717,0.3333333333333333
validation,isotonic,1,11,0.35714285714285715,0.3957009163620133,0.36064813525368955,0.36363636363636365
validation,isotonic,2,9,0.5,0.631578947368421,0.5686128958961663,0.5555555555555556
validation,isotonic,3,71,0.7727272727272727,0.9948717948717949,0.9823566105256251,0.971830985915493
validation,platt,0,10,0.028233515092285978,0.8339102570136623,0.35621396149230977,0.3
validation,platt,1,10,0.8369593327120659,0.8429288591484166,0.8413255665337533,0.4
validation,platt,2,10,0.8429531195439046,0.8431585518901414,0.8430590493692247,0.6
validation,platt,3,70,0.8431587250212448,0.8431595256150849,0.843159482655162,0.9714285714285714
test,isotonic,0,6,0.1111111111111111,0.18748190376138546,0.12383957655282352,0.5
test,isotonic,1,13,0.2857142857142857,0.35714285714285715,0.32967032967032966,0.38461538461538464
test,isotonic,2,8,0.5,0.631578947368421,0.5986842105263157,0.625
test,isotonic,3,73,0.7727272727272727,0.9948717948717949,0.9766133409969027,0.9452054794520548
