model,scope,state,cutoff,intended_retained_min,intended_retained_max,intended_total,intended_gate_unknown,family_retained_min,family_retained_max,family_total,family_gate_unknown,unrelated_retained_min,unrelated_retained_max,unrelated_total,unrelated_gate_unknown
qwen3.5:4b,all_crops,all,0.6,39,39,44,0,88,88,100,0,14,14,384,0
qwen3.5:4b,all_crops,all,0.65,35,35,44,0,79,79,100,0,12,12,384,0
qwen3.5:4b,all_crops,all,0.7,29,29,44,0,64,64,100,0,8,8,384,0
qwen3.5:4b,all_crops,all,0.8,15,15,44,0,34,34,100,0,2,2,384,0
qwen3.5:4b,all_crops,all,0.9,2,2,44,0,3,3,100,0,0,0,384,0
qwen3.5:4b,all_crops,all,0.95,0,0,44,0,0,0,100,0,0,0,384,0
qwen3.5:4b,all_crops,all,0.98,0,0,44,0,0,0,100,0,0,0,384,0
qwen3.5:4b,all_crops,all,0.99,0,0,44,0,0,0,100,0,0,0,384,0
qwen3.5:4b,all_crops,all,0.995,0,0,44,0,0,0,100,0,0,0,384,0
qwen3.5:4b,all_crops,all,0.999,0,0,44,0,0,0,100,0,0,0,384,0
qwen3.5:4b,all_crops,all,0.9999,0,0,44,0,0,0,100,0,0,0,384,0
qwen3.5:4b,all_crops,all,0.99999,0,0,44,0,0,0,100,0,0,0,384,0
qwen3.5:4b,all_crops,all,0.999999,0,0,44,0,0,0,100,0,0,0,384,0
qwen3.5:9b,all_crops,all,0.6,44,44,44,0,100,100,100,0,122,122,384,0
qwen3.5:9b,all_crops,all,0.65,44,44,44,0,100,100,100,0,116,116,384,0
qwen3.5:9b,all_crops,all,0.7,44,44,44,0,100,100,100,0,107,107,384,0
qwen3.5:9b,all_crops,all,0.8,44,44,44,0,100,100,100,0,87,87,384,0
qwen3.5:9b,all_crops,all,0.9,44,44,44,0,99,99,100,0,53,53,384,0
qwen3.5:9b,all_crops,all,0.95,40,40,44,0,94,94,100,0,31,31,384,0
qwen3.5:9b,all_crops,all,0.98,28,28,44,0,64,64,100,0,5,5,384,0
qwen3.5:9b,all_crops,all,0.99,5,5,44,0,14,14,100,0,0,0,384,0
qwen3.5:9b,all_crops,all,0.995,0,0,44,0,1,1,100,0,0,0,384,0
qwen3.5:9b,all_crops,all,0.999,0,0,44,0,0,0,100,0,0,0,384,0
qwen3.5:9b,all_crops,all,0.9999,0,0,44,0,0,0,100,0,0,0,384,0
qwen3.5:9b,all_crops,all,0.99999,0,0,44,0,0,0,100,0,0,0,384,0
qwen3.5:9b,all_crops,all,0.999999,0,0,44,0,0,0,100,0,0,0,384,0
gpt-6-sol,all_crops,all,0.6,33,33,44,0,81,81,100,0,14,14,384,0
gpt-6-sol,all_crops,all,0.65,33,33,44,0,81,81,100,0,14,14,384,0
gpt-6-sol,all_crops,all,0.7,33,33,44,0,81,81,100,0,12,12,384,0
gpt-6-sol,all_crops,all,0.8,31,31,44,0,78,78,100,0,8,8,384,0
gpt-6-sol,all_crops,all,0.9,28,28,44,0,69,69,100,0,7,7,384,0
gpt-6-sol,all_crops,all,0.95,27,27,44,0,67,67,100,0,2,2,384,0
gpt-6-sol,all_crops,all,0.98,22,22,44,0,55,55,100,0,2,2,384,0
gpt-6-sol,all_crops,all,0.99,20,20,44,0,48,48,100,0,2,2,384,0
gpt-6-sol,all_crops,all,0.995,17,17,44,0,44,44,100,0,0,0,384,0
gpt-6-sol,all_crops,all,0.999,16,16,44,0,41,41,100,0,0,0,384,0
gpt-6-sol,all_crops,all,0.9999,8,8,44,0,24,24,100,0,0,0,384,0
gpt-6-sol,all_crops,all,0.99999,1,1,44,0,2,2,100,0,0,0,384,0
gpt-6-sol,all_crops,all,0.999999,0,0,44,0,1,1,100,0,0,0,384,0
gemma4:12b,all_crops,all,0.6,44,44,44,0,100,100,100,0,79,79,384,0
gemma4:12b,all_crops,all,0.65,44,44,44,0,100,100,100,0,78,78,384,0
gemma4:12b,all_crops,all,0.7,44,44,44,0,100,100,100,0,78,78,384,0
gemma4:12b,all_crops,all,0.8,44,44,44,0,100,100,100,0,75,75,384,0
gemma4:12b,all_crops,all,0.9,44,44,44,0,100,100,100,0,72,72,384,0
gemma4:12b,all_crops,all,0.95,43,43,44,0,98,98,100,0,68,68,384,0
gemma4:12b,all_crops,all,0.98,43,43,44,0,98,98,100,0,65,65,384,0
gemma4:12b,all_crops,all,0.99,43,43,44,0,98,98,100,0,61,61,384,0
gemma4:12b,all_crops,all,0.995,43,43,44,0,98,98,100,0,55,55,384,0
gemma4:12b,all_crops,all,0.999,40,40,44,0,94,94,100,0,46,46,384,0
gemma4:12b,all_crops,all,0.9999,37,37,44,0,83,83,100,0,27,27,384,0
gemma4:12b,all_crops,all,0.99999,23,23,44,0,56,56,100,0,3,3,384,0
gemma4:12b,all_crops,all,0.999999,0,0,44,0,0,0,100,0,0,0,384,0
