model,state,target,target_name,posthoc_identity,own_object_match,same_family,assisted_fallback,crop_file,crop_sha256,response_file,elapsed_seconds,answer,logp_A,p_A,p_A_lower,p_A_upper,logp_B,p_B,p_B_lower,p_B_upper,logp_C,p_C,p_C_lower,p_C_upper
gemma4:12b,original,Gear_Large,Large gear,Gear_Large,True,True,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/gemma4-12b/original/Gear_Large/Gear_Large.json,45.50528959999792,A,-1.8716033082455397e-05,0.9999812841420614,0.9999812841420614,0.9999812841420614,-10.91783332824707,1.813197999386215e-05,1.813197999386215e-05,1.813197999386215e-05,-17.868648529052734,1.7367789419794183e-08,1.7367789419794183e-08,1.7367789419794183e-08
gemma4:12b,original,Gear_Medium,Medium gear,Gear_Large,False,True,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/gemma4-12b/original/Gear_Medium/Gear_Large.json,1.3527894000289962,A,-4.506212644628249e-05,0.9999549388888361,0.9999549388888361,0.9999549388888361,-10.026500701904297,4.421260175644052e-05,4.421260175644052e-05,4.421260175644052e-05,-17.144014358520508,3.5846698774987785e-08,3.5846698774987785e-08,3.5846698774987785e-08
gemma4:12b,original,Gear_Small,Small gear,Gear_Large,False,True,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/gemma4-12b/original/Gear_Small/Gear_Large.json,1.311079500010237,A,-4.08896230510436e-05,0.9999591112129183,0.9999591112129183,0.9999591112129183,-10.11134147644043,4.061628447053556e-05,4.061628447053556e-05,4.061628447053556e-05,-17.464672088623047,2.601293068221675e-08,2.601293068221675e-08,2.601293068221675e-08
gemma4:12b,original,Waterproof_Male,Waterproof connector,Gear_Large,False,False,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/gemma4-12b/original/Waterproof_Male/Gear_Large.json,6.076636799960397,B,-8.319380760192871,0.0002437467551956252,0.0002437467551956252,0.0002437467551956252,-0.0002873952907975763,0.999712646003273,0.999712646003273,0.999712646003273,-12.134696960449219,5.369923150449193e-06,5.369923150449193e-06,5.369923150449193e-06
gemma4:12b,original,M12_Hex_Nut,M12 hex nut,Gear_Large,False,False,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/gemma4-12b/original/M12_Hex_Nut/Gear_Large.json,8.702050900028553,B,-10.55313777923584,2.611142031864372e-05,2.611142031864372e-05,2.611142031864372e-05,-3.0160405003698543e-05,0.9999698400498167,0.9999698400498167,0.9999698400498167,-14.113578796386719,7.422506880035887e-07,7.422506880035887e-07,7.422506880035887e-07
gemma4:12b,original,M16_Hex_Nut,M16 hex nut,Gear_Large,False,False,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/gemma4-12b/original/M16_Hex_Nut/Gear_Large.json,0.8787165000103414,B,-11.821124076843262,7.347693695952618e-06,7.347693695952618e-06,7.347693695952618e-06,-9.775209946383256e-06,0.9999902248378308,0.9999902248378308,0.9999902248378308,-15.327409744262695,2.2049082690500954e-07,2.2049082690500954e-07,2.2049082690500954e-07
gemma4:12b,original,RGOCG16-50_16mm,16 mm round pin,Gear_Large,False,False,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/gemma4-12b/original/RGOCG16-50_16mm/Gear_Large.json,5.104103500023484,A,-0.10312032699584961,0.9020184297834221,0.9020184297834221,0.9020184297834221,-2.326962947845459,0.09759168851515834,0.09759168851515834,0.09759168851515834,-7.994990825653076,0.000337147234413927,0.000337147234413927,0.000337147234413927
gemma4:12b,original,RGOCG12-50_12mm,12 mm round pin,Gear_Large,False,False,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/gemma4-12b/original/RGOCG12-50_12mm/Gear_Large.json,0.8952866999898106,A,-0.030520811676979065,0.9699402457740719,0.9699402457740719,0.9699402457740719,-3.510634660720825,0.029877946059538054,0.029877946059538054,0.029877946059538054,-8.874185562133789,0.00013995556730340226,0.00013995556730340226,0.00013995556730340226
gemma4:12b,original,RGOCG8-50_8mm,8 mm round pin,Gear_Large,False,False,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/gemma4-12b/original/RGOCG8-50_8mm/Gear_Large.json,0.8497373000136577,A,-0.051539160311222076,0.9497664560839338,0.9497664560839338,0.9497664560839338,-2.998528242111206,0.04986039682612651,0.04986039682612651,0.04986039682612651,-8.277139663696289,0.00025426343984222846,0.00025426343984222846,0.00025426343984222846
gemma4:12b,original,USB_Male,USB connector + cable,Gear_Large,False,False,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/gemma4-12b/original/USB_Male/Gear_Large.json,1.045925399987027,B,-13.079198837280273,2.0882193573072277e-06,2.0882193573072277e-06,2.0882193573072277e-06,-3.4570753086882178e-06,0.999996542930667,0.999996542930667,0.999996542930667,,,0.0,0.0001
gemma4:12b,original,DSUB_Male,DSUB connector,Gear_Large,False,False,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/gemma4-12b/original/DSUB_Male/Gear_Large.json,0.8926776999724098,B,-11.205408096313477,1.3600444304416992e-05,1.3600444304416992e-05,1.3600444304416992e-05,-2.0384995877975598e-05,0.9999796152118946,0.9999796152118946,0.9999796152118946,-15.396634101867676,2.0574380609679276e-07,2.0574380609679276e-07,2.0574380609679276e-07
gemma4:12b,original,Gear_Large,Large gear,Gear_Medium,False,True,False,input_crops/original/Gear_Medium.png,32184c8966576de2b036c51d8d5e7cd940e019617b393dc6403bb6f08a234392,raw/gemma4-12b/original/Gear_Large/Gear_Medium.json,1.2488480000174604,A,-3.886298509314656e-05,0.9999611377700629,0.9999611377700629,0.9999611377700629,-10.1798734664917,3.792600753795854e-05,3.792600753795854e-05,3.792600753795854e-05,-16.841894149780273,4.8490683522227505e-08,4.8490683522227505e-08,4.8490683522227505e-08
