target,target_name,mean_intended_lower,mean_intended_upper,max_unrelated_upper,intended_retained_min_0.6,intended_retained_min_0.65,intended_retained_min_0.7,intended_retained_min_0.8,intended_retained_min_0.9,intended_retained_min_0.95,intended_retained_min_0.98,intended_retained_min_0.99,intended_retained_min_0.995,intended_retained_min_0.999,intended_retained_min_0.9999,intended_retained_min_0.99999,intended_retained_min_0.999999,intended_retained_max_0.6,intended_retained_max_0.65,intended_retained_max_0.7,intended_retained_max_0.8,intended_retained_max_0.9,intended_retained_max_0.95,intended_retained_max_0.98,intended_retained_max_0.99,intended_retained_max_0.995,intended_retained_max_0.999,intended_retained_max_0.9999,intended_retained_max_0.99999,intended_retained_max_0.999999
Gear_Large,Large gear,0.9994840621853869,0.9994840621853869,0.9999791383736566,4,4,4,4,4,4,4,4,4,3,3,0,0,4,4,4,4,4,4,4,4,4,3,3,0,0
Gear_Medium,Medium gear,0.9999665617936708,0.9999665617936708,0.9999592304246162,4,4,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,4,0,0
Gear_Small,Small gear,0.9993710220027828,0.9993710220027828,0.9999718666068776,4,4,4,4,4,4,4,4,4,3,3,2,0,4,4,4,4,4,4,4,4,4,3,3,2,0
Waterproof_Male,Waterproof connector,0.9999941289425237,0.9999941289425237,0.9999980926513672,4,4,4,4,4,4,4,4,4,4,4,3,0,4,4,4,4,4,4,4,4,4,4,4,3,0
M12_Hex_Nut,M12 hex nut,0.999465048298375,0.999465048298375,0.010091019689991699,4,4,4,4,4,4,4,4,4,3,2,0,0,4,4,4,4,4,4,4,4,4,3,2,0,0
M16_Hex_Nut,M16 hex nut,0.9760890602146334,0.9760890602146334,0.003761136756020114,4,4,4,4,4,3,3,3,3,3,1,0,0,4,4,4,4,4,3,3,3,3,3,1,0,0
RGOCG16-50_16mm,16 mm round pin,0.999995350837704,0.999995350837704,0.9999636411655733,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,0
RGOCG12-50_12mm,12 mm round pin,0.9999967515468722,0.9999967515468722,0.9998849630389968,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,0
RGOCG8-50_8mm,8 mm round pin,0.999996364116658,0.999996364116658,0.9999718666068776,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,0
USB_Male,USB connector + cable,0.999993175267976,0.999993175267976,0.992103815097187,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,0
DSUB_Male,DSUB connector,0.9999828636650956,0.9999828636650956,0.999241471282173,4,4,4,4,4,4,4,4,4,4,4,2,0,4,4,4,4,4,4,4,4,4,4,4,2,0
