target,Gear_Large,Gear_Medium,Gear_Small,Waterproof_Male,M12_Hex_Nut,M16_Hex_Nut,RGOCG16-50_16mm,RGOCG12-50_12mm,RGOCG8-50_8mm,USB_Male,DSUB_Male
Gear_Large,1.000,1.000,1.000,0.999,1.000,1.000,0.000,0.000,0.000,0.000,0.000
Gear_Medium,1.000,1.000,1.000,0.991,1.000,1.000,0.000,0.000,0.000,0.000,0.000
Gear_Small,1.000,1.000,1.000,0.978,1.000,1.000,0.000,0.000,0.000,0.000,0.000
Waterproof_Male,0.000,0.000,0.001,1.000,0.062,0.059,0.001,0.000,0.000,1.000,1.000
M12_Hex_Nut,0.000,0.000,0.000,0.003,1.000,1.000,0.000,0.000,0.000,0.000,0.000
M16_Hex_Nut,0.000,0.000,0.000,0.001,1.000,0.999,0.000,0.000,0.000,0.000,0.000
RGOCG16-50_16mm,0.902,0.005,0.001,0.992,0.000,0.000,1.000,1.000,1.000,0.010,0.999
RGOCG12-50_12mm,0.970,0.012,0.001,0.997,0.000,0.000,1.000,1.000,1.000,0.045,0.999
RGOCG8-50_8mm,0.950,0.035,0.006,1.000,0.000,0.000,1.000,1.000,1.000,0.054,0.999
USB_Male,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.992
DSUB_Male,0.000,0.000,0.000,0.045,0.000,0.000,0.000,0.000,0.000,0.767,1.000
