target,Gear_Large,Gear_Medium,Gear_Small,Waterproof_Male,M12_Hex_Nut,M16_Hex_Nut,RGOCG16-50_16mm,RGOCG12-50_12mm,RGOCG8-50_8mm,USB_Male,DSUB_Male
Gear_Large,0.998,1.000,1.000,0.983,1.000,1.000,0.000,0.000,0.000,0.000,0.000
Gear_Medium,0.999,1.000,1.000,0.985,1.000,1.000,0.000,0.000,0.000,0.000,0.000
Gear_Small,0.999,1.000,1.000,0.047,1.000,1.000,0.000,0.000,0.000,0.000,0.000
Waterproof_Male,0.000,0.000,0.000,1.000,1.000,0.942,0.001,0.000,0.000,1.000,1.000
M12_Hex_Nut,0.000,0.000,0.000,0.010,1.000,1.000,0.000,0.000,0.000,0.000,0.000
M16_Hex_Nut,0.000,0.000,0.000,0.004,1.000,1.000,0.000,0.000,0.000,0.000,0.000
RGOCG16-50_16mm,0.000,0.002,0.000,0.985,0.001,0.001,1.000,1.000,1.000,0.113,1.000
RGOCG12-50_12mm,0.001,0.003,0.000,0.997,0.000,0.000,1.000,1.000,1.000,0.062,1.000
RGOCG8-50_8mm,0.000,0.004,0.000,0.992,0.000,0.000,1.000,1.000,1.000,0.241,1.000
USB_Male,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000
DSUB_Male,0.000,0.000,0.000,0.524,0.003,0.000,0.000,0.000,0.000,0.002,1.000
