model,scope,state,cutoff,intended_retained_min,intended_retained_max,intended_total,intended_gate_unknown,family_retained_min,family_retained_max,family_total,family_gate_unknown,unrelated_retained_min,unrelated_retained_max,unrelated_total,unrelated_gate_unknown
gemma4:12b,all_crops,original,0.6,11,11,11,0,25,25,25,0,22,22,96,0
gemma4:12b,all_crops,original,0.65,11,11,11,0,25,25,25,0,22,22,96,0
gemma4:12b,all_crops,original,0.7,11,11,11,0,25,25,25,0,22,22,96,0
gemma4:12b,all_crops,original,0.8,11,11,11,0,25,25,25,0,21,21,96,0
gemma4:12b,all_crops,original,0.9,11,11,11,0,25,25,25,0,21,21,96,0
gemma4:12b,all_crops,original,0.95,11,11,11,0,25,25,25,0,19,19,96,0
gemma4:12b,all_crops,original,0.98,11,11,11,0,25,25,25,0,17,17,96,0
gemma4:12b,all_crops,original,0.99,11,11,11,0,25,25,25,0,17,17,96,0
gemma4:12b,all_crops,original,0.995,11,11,11,0,25,25,25,0,14,14,96,0
gemma4:12b,all_crops,original,0.999,11,11,11,0,25,25,25,0,11,11,96,0
gemma4:12b,all_crops,original,0.9999,10,10,11,0,23,23,25,0,6,6,96,0
gemma4:12b,all_crops,original,0.99999,6,6,11,0,14,14,25,0,1,1,96,0
gemma4:12b,all_crops,original,0.999999,0,0,11,0,0,0,25,0,0,0,96,0
gemma4:12b,all_crops,state_101,0.6,11,11,11,0,25,25,25,0,20,20,96,0
gemma4:12b,all_crops,state_101,0.65,11,11,11,0,25,25,25,0,19,19,96,0
gemma4:12b,all_crops,state_101,0.7,11,11,11,0,25,25,25,0,19,19,96,0
gemma4:12b,all_crops,state_101,0.8,11,11,11,0,25,25,25,0,19,19,96,0
gemma4:12b,all_crops,state_101,0.9,11,11,11,0,25,25,25,0,17,17,96,0
gemma4:12b,all_crops,state_101,0.95,10,10,11,0,23,23,25,0,17,17,96,0
gemma4:12b,all_crops,state_101,0.98,10,10,11,0,23,23,25,0,17,17,96,0
gemma4:12b,all_crops,state_101,0.99,10,10,11,0,23,23,25,0,17,17,96,0
gemma4:12b,all_crops,state_101,0.995,10,10,11,0,23,23,25,0,16,16,96,0
gemma4:12b,all_crops,state_101,0.999,9,9,11,0,22,22,25,0,13,13,96,0
gemma4:12b,all_crops,state_101,0.9999,9,9,11,0,20,20,25,0,8,8,96,0
gemma4:12b,all_crops,state_101,0.99999,6,6,11,0,14,14,25,0,0,0,96,0
gemma4:12b,all_crops,state_101,0.999999,0,0,11,0,0,0,25,0,0,0,96,0
gemma4:12b,all_crops,state_202,0.6,11,11,11,0,25,25,25,0,19,19,96,0
gemma4:12b,all_crops,state_202,0.65,11,11,11,0,25,25,25,0,19,19,96,0
gemma4:12b,all_crops,state_202,0.7,11,11,11,0,25,25,25,0,19,19,96,0
gemma4:12b,all_crops,state_202,0.8,11,11,11,0,25,25,25,0,17,17,96,0
gemma4:12b,all_crops,state_202,0.9,11,11,11,0,25,25,25,0,16,16,96,0
gemma4:12b,all_crops,state_202,0.95,11,11,11,0,25,25,25,0,15,15,96,0
gemma4:12b,all_crops,state_202,0.98,11,11,11,0,25,25,25,0,14,14,96,0
gemma4:12b,all_crops,state_202,0.99,11,11,11,0,25,25,25,0,13,13,96,0
gemma4:12b,all_crops,state_202,0.995,11,11,11,0,25,25,25,0,12,12,96,0
gemma4:12b,all_crops,state_202,0.999,10,10,11,0,23,23,25,0,10,10,96,0
gemma4:12b,all_crops,state_202,0.9999,10,10,11,0,22,22,25,0,3,3,96,0
gemma4:12b,all_crops,state_202,0.99999,5,5,11,0,14,14,25,0,1,1,96,0
gemma4:12b,all_crops,state_202,0.999999,0,0,11,0,0,0,25,0,0,0,96,0
gemma4:12b,all_crops,state_303,0.6,11,11,11,0,25,25,25,0,18,18,96,0
gemma4:12b,all_crops,state_303,0.65,11,11,11,0,25,25,25,0,18,18,96,0
gemma4:12b,all_crops,state_303,0.7,11,11,11,0,25,25,25,0,18,18,96,0
gemma4:12b,all_crops,state_303,0.8,11,11,11,0,25,25,25,0,18,18,96,0
gemma4:12b,all_crops,state_303,0.9,11,11,11,0,25,25,25,0,18,18,96,0
gemma4:12b,all_crops,state_303,0.95,11,11,11,0,25,25,25,0,17,17,96,0
gemma4:12b,all_crops,state_303,0.98,11,11,11,0,25,25,25,0,17,17,96,0
gemma4:12b,all_crops,state_303,0.99,11,11,11,0,25,25,25,0,14,14,96,0
gemma4:12b,all_crops,state_303,0.995,11,11,11,0,25,25,25,0,13,13,96,0
gemma4:12b,all_crops,state_303,0.999,10,10,11,0,24,24,25,0,12,12,96,0
gemma4:12b,all_crops,state_303,0.9999,8,8,11,0,18,18,25,0,10,10,96,0
gemma4:12b,all_crops,state_303,0.99999,6,6,11,0,14,14,25,0,1,1,96,0
gemma4:12b,all_crops,state_303,0.999999,0,0,11,0,0,0,25,0,0,0,96,0
gemma4:12b,all_crops,all,0.6,44,44,44,0,100,100,100,0,79,79,384,0
gemma4:12b,all_crops,all,0.65,44,44,44,0,100,100,100,0,78,78,384,0
gemma4:12b,all_crops,all,0.7,44,44,44,0,100,100,100,0,78,78,384,0
gemma4:12b,all_crops,all,0.8,44,44,44,0,100,100,100,0,75,75,384,0
