model,scope,state,cutoff,intended_retained_min,intended_retained_max,intended_total,intended_gate_unknown,family_retained_min,family_retained_max,family_total,family_gate_unknown,unrelated_retained_min,unrelated_retained_max,unrelated_total,unrelated_gate_unknown
gemma4:12b,all_crops,original,0.0,11,11,11,0,25,25,25,0,96,96,96,0
gemma4:12b,all_crops,original,0.01,11,11,11,0,25,25,25,0,29,29,96,0
gemma4:12b,all_crops,original,0.02,11,11,11,0,25,25,25,0,28,28,96,0
gemma4:12b,all_crops,original,0.03,11,11,11,0,25,25,25,0,28,28,96,0
gemma4:12b,all_crops,original,0.04,11,11,11,0,25,25,25,0,27,27,96,0
gemma4:12b,all_crops,original,0.05,11,11,11,0,25,25,25,0,25,25,96,0
gemma4:12b,all_crops,original,0.06,11,11,11,0,25,25,25,0,23,23,96,0
gemma4:12b,all_crops,original,0.07,11,11,11,0,25,25,25,0,22,22,96,0
gemma4:12b,all_crops,original,0.08,11,11,11,0,25,25,25,0,22,22,96,0
gemma4:12b,all_crops,original,0.09,11,11,11,0,25,25,25,0,22,22,96,0
gemma4:12b,all_crops,original,0.1,11,11,11,0,25,25,25,0,22,22,96,0
gemma4:12b,all_crops,original,0.11,11,11,11,0,25,25,25,0,22,22,96,0
gemma4:12b,all_crops,original,0.12,11,11,11,0,25,25,25,0,22,22,96,0
gemma4:12b,all_crops,original,0.13,11,11,11,0,25,25,25,0,22,22,96,0
gemma4:12b,all_crops,original,0.14,11,11,11,0,25,25,25,0,22,22,96,0
gemma4:12b,all_crops,original,0.15,11,11,11,0,25,25,25,0,22,22,96,0
gemma4:12b,all_crops,original,0.16,11,11,11,0,25,25,25,0,22,22,96,0
gemma4:12b,all_crops,original,0.17,11,11,11,0,25,25,25,0,22,22,96,0
gemma4:12b,all_crops,original,0.18,11,11,11,0,25,25,25,0,22,22,96,0
gemma4:12b,all_crops,original,0.19,11,11,11,0,25,25,25,0,22,22,96,0
gemma4:12b,all_crops,original,0.2,11,11,11,0,25,25,25,0,22,22,96,0
gemma4:12b,all_crops,original,0.21,11,11,11,0,25,25,25,0,22,22,96,0
gemma4:12b,all_crops,original,0.22,11,11,11,0,25,25,25,0,22,22,96,0
gemma4:12b,all_crops,original,0.23,11,11,11,0,25,25,25,0,22,22,96,0
gemma4:12b,all_crops,original,0.24,11,11,11,0,25,25,25,0,22,22,96,0
gemma4:12b,all_crops,original,0.25,11,11,11,0,25,25,25,0,22,22,96,0
gemma4:12b,all_crops,original,0.26,11,11,11,0,25,25,25,0,22,22,96,0
gemma4:12b,all_crops,original,0.27,11,11,11,0,25,25,25,0,22,22,96,0
gemma4:12b,all_crops,original,0.28,11,11,11,0,25,25,25,0,22,22,96,0
gemma4:12b,all_crops,original,0.29,11,11,11,0,25,25,25,0,22,22,96,0
gemma4:12b,all_crops,original,0.3,11,11,11,0,25,25,25,0,22,22,96,0
gemma4:12b,all_crops,original,0.31,11,11,11,0,25,25,25,0,22,22,96,0
gemma4:12b,all_crops,original,0.32,11,11,11,0,25,25,25,0,22,22,96,0
gemma4:12b,all_crops,original,0.33,11,11,11,0,25,25,25,0,22,22,96,0
gemma4:12b,all_crops,original,0.34,11,11,11,0,25,25,25,0,22,22,96,0
gemma4:12b,all_crops,original,0.35,11,11,11,0,25,25,25,0,22,22,96,0
gemma4:12b,all_crops,original,0.36,11,11,11,0,25,25,25,0,22,22,96,0
gemma4:12b,all_crops,original,0.37,11,11,11,0,25,25,25,0,22,22,96,0
