model,state,target,target_name,posthoc_identity,own_object_match,same_family,assisted_fallback,crop_file,crop_sha256,response_file,elapsed_seconds,answer,logp_A,p_A,p_A_lower,p_A_upper,logp_B,p_B,p_B_lower,p_B_upper,logp_C,p_C,p_C_lower,p_C_upper
gemma4:12b,state_303,Waterproof_Male,Waterproof connector,DSUB_Male,False,False,False,input_crops/state_303/DSUB_Male.png,951cf97dc3898e2a3029bf7b3818dace43fcdf8abc4c737bf166e9942e4e2383,raw/gemma4-12b/state_303/Waterproof_Male/DSUB_Male.json,1.2485618999926373,A,-1.9073504518019035e-06,0.9999980926513672,0.9999980926513672,0.9999980926513672,-13.993927955627441,8.365931585732488e-07,8.365931585732488e-07,8.365931585732488e-07,-18.386138916015625,1.0351453254637849e-08,1.0351453254637849e-08,1.0351453254637849e-08
gemma4:12b,state_202,Waterproof_Male,Waterproof connector,DSUB_Male,False,False,False,input_crops/state_202/DSUB_Male.png,7cc2d3860523df277d6407a141d1e6f5ac1825291a509806faae51c8b11dadd5,raw/gemma4-12b/state_202/Waterproof_Male/DSUB_Male.json,1.25915299996268,A,-2.98023678624304e-06,0.9999970197676546,0.9999970197676546,0.9999970197676546,-13.920014381408691,9.007713533510968e-07,9.007713533510968e-07,9.007713533510968e-07,-18.297597885131836,1.1309781285789626e-08,1.1309781285789626e-08,1.1309781285789626e-08
gemma4:12b,original,Waterproof_Male,Waterproof connector,DSUB_Male,False,False,False,input_crops/original/DSUB_Male.png,c494876a69ee4e893be510f226d6b6c3e9653d4b052ec114fbb8385c85d6a131,raw/gemma4-12b/original/Waterproof_Male/DSUB_Male.json,1.2685233000083826,A,-6.198902156029362e-06,0.9999938011170572,0.9999938011170572,0.9999938011170572,-12.125082015991211,5.4218036777956545e-06,5.4218036777956545e-06,5.4218036777956545e-06,-18.03251838684082,1.4742691229348902e-08,1.4742691229348902e-08,1.4742691229348902e-08
gemma4:12b,state_101,Waterproof_Male,Waterproof connector,DSUB_Male,False,False,False,input_crops/state_101/DSUB_Male.png,4b33b962ebb9c6ee75c0ce865988e91fcba2f1bdbb964dd35e709db436634a24,raw/gemma4-12b/state_101/Waterproof_Male/DSUB_Male.json,1.320412100001704,A,-1.025205165205989e-05,0.9999897480009,0.9999897480009,0.9999897480009,-11.555633544921875,9.581910644256275e-06,9.581910644256275e-06,9.581910644256275e-06,-17.56382179260254,2.3557495364946848e-08,2.3557495364946848e-08,2.3557495364946848e-08
gemma4:12b,state_303,Gear_Large,Large gear,M16_Hex_Nut,False,False,False,input_crops/state_303/M16_Hex_Nut.png,833d5826b6258166aa076165f38a3b094d64d204a81c4b806c996e3191b00983,raw/gemma4-12b/state_303/Gear_Large/M16_Hex_Nut.json,1.1781639999826439,A,-2.0861843950115144e-05,0.9999791383736566,0.9999791383736566,0.9999791383736566,-10.818852424621582,2.0018525770583656e-05,2.0018525770583656e-05,2.0018525770583656e-05,-17.26517105102539,3.1756416071684415e-08,3.1756416071684415e-08,3.1756416071684415e-08
gemma4:12b,original,Gear_Large,Large gear,M12_Hex_Nut,False,False,False,input_crops/original/M12_Hex_Nut.png,38c0f98390b534a6792efcbe2e21a4c07ceeeea957ea1c15c814989186114245,raw/gemma4-12b/original/Gear_Large/M12_Hex_Nut.json,1.2513189999735914,A,-2.7180087272427045e-05,0.9999728202821028,0.9999728202821028,0.9999728202821028,-10.521023750305176,2.696357301948611e-05,2.696357301948611e-05,2.696357301948611e-05,-17.21928596496582,3.3247509830469635e-08,3.3247509830469635e-08,3.3247509830469635e-08
gemma4:12b,original,Gear_Small,Small gear,M12_Hex_Nut,False,False,False,input_crops/original/M12_Hex_Nut.png,38c0f98390b534a6792efcbe2e21a4c07ceeeea957ea1c15c814989186114245,raw/gemma4-12b/original/Gear_Small/M12_Hex_Nut.json,1.235007699986454,A,-2.8133788873674348e-05,0.9999718666068776,0.9999718666068776,0.9999718666068776,-10.489511489868164,2.7826785613544136e-05,2.7826785613544136e-05,2.7826785613544136e-05,-16.82884979248047,4.9127356792866164e-08,4.9127356792866164e-08,4.9127356792866164e-08
gemma4:12b,state_303,RGOCG8-50_8mm,8 mm round pin,DSUB_Male,False,False,False,input_crops/state_303/DSUB_Male.png,951cf97dc3898e2a3029bf7b3818dace43fcdf8abc4c737bf166e9942e4e2383,raw/gemma4-12b/state_303/RGOCG8-50_8mm/DSUB_Male.json,0.8199353000381961,A,-2.8133788873674348e-05,0.9999718666068776,0.9999718666068776,0.9999718666068776,-10.52901840209961,2.674886803143206e-05,2.674886803143206e-05,2.674886803143206e-05,-15.90396785736084,1.2387809529529587e-07,1.2387809529529587e-07,1.2387809529529587e-07
gemma4:12b,original,Gear_Large,Large gear,M16_Hex_Nut,False,False,False,input_crops/original/M16_Hex_Nut.png,4ba340c5f9b0438cf39ee0b2a365c9fca0767eaad2c4a4642c4a0ade665bff5c,raw/gemma4-12b/original/Gear_Large/M16_Hex_Nut.json,1.2017522000242025,A,-2.837221290974412e-05,0.9999716281895776,0.9999716281895776,0.9999716281895776,-10.476922035217285,2.8179324146775267e-05,2.8179324146775267e-05,2.8179324146775267e-05,-17.22158432006836,3.31711829932912e-08,3.31711829932912e-08,3.31711829932912e-08
gemma4:12b,state_303,Gear_Large,Large gear,M12_Hex_Nut,False,False,False,input_crops/state_303/M12_Hex_Nut.png,baedfe7904344e7e4677127433e020ed849aa2b1eb60d26e01f65855ed1d0aca,raw/gemma4-12b/state_303/Gear_Large/M12_Hex_Nut.json,1.1887671000440605,A,-3.039883085875772e-05,0.999969601631181,0.999969601631181,0.999969601631181,-10.409056663513184,3.0158110574735496e-05,3.0158110574735496e-05,3.0158110574735496e-05,-17.87396240234375,1.7275743963011973e-08,1.7275743963011973e-08,1.7275743963011973e-08
