model,state,target,target_name,posthoc_identity,own_object_match,same_family,assisted_fallback,crop_file,crop_sha256,response_file,elapsed_seconds,answer,logp_A,p_A,p_A_lower,p_A_upper,logp_B,p_B,p_B_lower,p_B_upper,logp_C,p_C,p_C_lower,p_C_upper
gpt-6-sol,original,Gear_Large,Large gear,Gear_Large,True,True,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/gpt6-sol/original/Gear_Large/Gear_Large.json,2.6098190000047907,A,-0.000305,0.9996950465077716,0.9996950465077716,0.9996950465077716,,,0.0,0.00040495349222836587,,,0.0,0.00040495349222836587
gpt-6-sol,original,Gear_Medium,Medium gear,Gear_Large,False,True,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/gpt6-sol/original/Gear_Medium/Gear_Large.json,3.9810299999662675,A,-0.000553,0.9994471528763185,0.9994471528763185,0.9994471528763185,,,0.0,0.0006528471236815325,,,0.0,0.0006528471236815325
gpt-6-sol,original,Gear_Small,Small gear,Gear_Large,False,True,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/gpt6-sol/original/Gear_Small/Gear_Large.json,2.7907552999677137,A,-0.015091,0.985022298495291,0.985022298495291,0.985022298495291,,,0.0,0.015077701504709006,,,0.0,0.015077701504709006
gpt-6-sol,original,Waterproof_Male,Waterproof connector,Gear_Large,False,False,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/gpt6-sol/original/Waterproof_Male/Gear_Large.json,1.9686394999735057,B,,,0.0,0.00861950159961412,-0.008556,0.9914804984003859,0.9914804984003859,0.9914804984003859,,,0.0,0.00861950159961412
gpt-6-sol,original,M12_Hex_Nut,M12 hex nut,Gear_Large,False,False,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/gpt6-sol/original/M12_Hex_Nut/Gear_Large.json,1.8956719000125304,B,,,0.0,0.000137999278009182,-3.8e-05,0.9999620007219908,0.9999620007219908,0.9999620007219908,,,0.0,0.000137999278009182
gpt-6-sol,original,M16_Hex_Nut,M16 hex nut,Gear_Large,False,False,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/gpt6-sol/original/M16_Hex_Nut/Gear_Large.json,2.1741422000341117,B,,,0.0,0.00022999155036619302,-0.00013,0.9998700084496338,0.9998700084496338,0.9998700084496338,,,0.0,0.00022999155036619302
gpt-6-sol,original,RGOCG16-50_16mm,16 mm round pin,Gear_Large,False,False,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/gpt6-sol/original/RGOCG16-50_16mm/Gear_Large.json,1.4915360999875702,B,,,0.0,0.000137999278009182,-3.8e-05,0.9999620007219908,0.9999620007219908,0.9999620007219908,,,0.0,0.000137999278009182
gpt-6-sol,original,RGOCG12-50_12mm,12 mm round pin,Gear_Large,False,False,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/gpt6-sol/original/RGOCG12-50_12mm/Gear_Large.json,2.795968900027219,B,,,0.0,0.0028432304479431123,-0.002747,0.9972567695520569,0.9972567695520569,0.9972567695520569,,,0.0,0.0028432304479431123
gpt-6-sol,original,RGOCG8-50_8mm,8 mm round pin,Gear_Large,False,False,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/gpt6-sol/original/RGOCG8-50_8mm/Gear_Large.json,1.361460399988573,B,,,0.0,0.0001,0.0,1.0,1.0,1.0,,,0.0,0.0001
gpt-6-sol,original,USB_Male,USB connector + cable,Gear_Large,False,False,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/gpt6-sol/original/USB_Male/Gear_Large.json,1.4625735000008717,B,,,0.0,0.001236353860410111,-0.001137,0.9988636461395899,0.9988636461395899,0.9988636461395899,,,0.0,0.001236353860410111
gpt-6-sol,original,DSUB_Male,DSUB connector,Gear_Large,False,False,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/gpt6-sol/original/DSUB_Male/Gear_Large.json,1.463176499994006,B,,,0.0,0.00926276368195179,-0.009205,0.9908372363180482,0.9908372363180482,0.9908372363180482,,,0.0,0.00926276368195179
gpt-6-sol,original,Gear_Large,Large gear,Gear_Medium,False,True,False,input_crops/original/Gear_Medium.png,32184c8966576de2b036c51d8d5e7cd940e019617b393dc6403bb6f08a234392,raw/gpt6-sol/original/Gear_Large/Gear_Medium.json,1.1021718999836594,A,-0.160767,0.8514904452694115,0.8514904452694115,0.8514904452694115,-2.515011,0.0808620227195616,0.0808620227195616,0.0808620227195616,-2.693615,0.06763599278364192,0.06763599278364192,0.06763599278364192
gpt-6-sol,original,Gear_Medium,Medium gear,Gear_Medium,True,True,False,input_crops/original/Gear_Medium.png,32184c8966576de2b036c51d8d5e7cd940e019617b393dc6403bb6f08a234392,raw/gpt6-sol/original/Gear_Medium/Gear_Medium.json,1.2971686000237241,A,-0.109436,0.8963395282562532,0.8963395282562532,0.8963395282562532,-3.690964,0.024947940631770606,0.024947940631770606,0.024947940631770606,-2.541817,0.07872322965171609,0.07872322965171609,0.07872322965171609
gpt-6-sol,original,Gear_Small,Small gear,Gear_Medium,False,True,False,input_crops/original/Gear_Medium.png,32184c8966576de2b036c51d8d5e7cd940e019617b393dc6403bb6f08a234392,raw/gpt6-sol/original/Gear_Small/Gear_Medium.json,1.4853320999536663,A,-0.16964,0.8439685906063994,0.8439685906063994,0.8439685906063994,,,0.0,0.018815348993969427,-1.98547,0.13731606039963118,0.13731606039963118,0.13731606039963118
gpt-6-sol,original,Waterproof_Male,Waterproof connector,Gear_Medium,False,False,False,input_crops/original/Gear_Medium.png,32184c8966576de2b036c51d8d5e7cd940e019617b393dc6403bb6f08a234392,raw/gpt6-sol/original/Waterproof_Male/Gear_Medium.json,1.319294999993872,B,,,0.0,0.011463937083418096,-0.011429,0.9886360629165819,0.9886360629165819,0.9886360629165819,,,0.0,0.011463937083418096
gpt-6-sol,original,M12_Hex_Nut,M12 hex nut,Gear_Medium,False,False,False,input_crops/original/Gear_Medium.png,32184c8966576de2b036c51d8d5e7cd940e019617b393dc6403bb6f08a234392,raw/gpt6-sol/original/M12_Hex_Nut/Gear_Medium.json,1.3658618000335991,B,,,0.0,0.0008507180700808691,-0.000751,0.9992492819299191,0.9992492819299191,0.9992492819299191,,,0.0,0.0008507180700808691
gpt-6-sol,original,M16_Hex_Nut,M16 hex nut,Gear_Medium,False,False,False,input_crops/original/Gear_Medium.png,32184c8966576de2b036c51d8d5e7cd940e019617b393dc6403bb6f08a234392,raw/gpt6-sol/original/M16_Hex_Nut/Gear_Medium.json,1.4183443000074476,B,,,0.0,0.0018684344737967095,-0.00177,0.9982315655262033,0.9982315655262033,0.9982315655262033,,,0.0,0.0018684344737967095
gpt-6-sol,original,RGOCG16-50_16mm,16 mm round pin,Gear_Medium,False,False,False,input_crops/original/Gear_Medium.png,32184c8966576de2b036c51d8d5e7cd940e019617b393dc6403bb6f08a234392,raw/gpt6-sol/original/RGOCG16-50_16mm/Gear_Medium.json,1.3771553999977186,B,,,0.0,0.002107981302753703,-0.00201,0.9979920186972463,0.9979920186972463,0.9979920186972463,,,0.0,0.002107981302753703
gpt-6-sol,original,RGOCG12-50_12mm,12 mm round pin,Gear_Medium,False,False,False,input_crops/original/Gear_Medium.png,32184c8966576de2b036c51d8d5e7cd940e019617b393dc6403bb6f08a234392,raw/gpt6-sol/original/RGOCG12-50_12mm/Gear_Medium.json,1.490574800001923,B,,,0.0,0.000519911812346685,-0.00042,0.9995800881876533,0.9995800881876533,0.9995800881876533,,,0.0,0.000519911812346685
gpt-6-sol,original,RGOCG8-50_8mm,8 mm round pin,Gear_Medium,False,False,False,input_crops/original/Gear_Medium.png,32184c8966576de2b036c51d8d5e7cd940e019617b393dc6403bb6f08a234392,raw/gpt6-sol/original/RGOCG8-50_8mm/Gear_Medium.json,1.4238585000275634,B,,,0.0,0.0041169105444922695,-0.004025,0.9959830894555077,0.9959830894555077,0.9959830894555077,,,0.0,0.0041169105444922695
gpt-6-sol,original,USB_Male,USB connector + cable,Gear_Medium,False,False,False,input_crops/original/Gear_Medium.png,32184c8966576de2b036c51d8d5e7cd940e019617b393dc6403bb6f08a234392,raw/gpt6-sol/original/USB_Male/Gear_Medium.json,1.2462805000250228,B,,,0.0,0.014547616928153217,-0.014553,0.9855523830718468,0.9855523830718468,0.9855523830718468,,,0.0,0.014547616928153217
gpt-6-sol,original,DSUB_Male,DSUB connector,Gear_Medium,False,False,False,input_crops/original/Gear_Medium.png,32184c8966576de2b036c51d8d5e7cd940e019617b393dc6403bb6f08a234392,raw/gpt6-sol/original/DSUB_Male/Gear_Medium.json,1.6723979000234976,B,,,0.0,0.00031397710363335597,-0.000214,0.9997860228963666,0.9997860228963666,0.9997860228963666,,,0.0,0.00031397710363335597
gpt-6-sol,original,Gear_Large,Large gear,Gear_Small,False,True,False,input_crops/original/Gear_Small.png,12582ccd34fdba48126c0e1e0d71701e3ab31413538cfcbedfd42b8adf7e792c,raw/gpt6-sol/original/Gear_Large/Gear_Small.json,1.8349965999950655,A,-0.136372,0.8725179954156729,0.8725179954156729,0.8725179954156729,-2.864906,0.05698848779811982,0.05698848779811982,0.05698848779811982,-2.652275,0.07049066424424057,0.07049066424424057,0.07049066424424057
gpt-6-sol,original,Gear_Medium,Medium gear,Gear_Small,False,True,False,input_crops/original/Gear_Small.png,12582ccd34fdba48126c0e1e0d71701e3ab31413538cfcbedfd42b8adf7e792c,raw/gpt6-sol/original/Gear_Medium/Gear_Small.json,1.157340599980671,A,-0.012573,0.9875057099457824,0.9875057099457824,0.9875057099457824,,,0.0,0.012594290054217649,,,0.0,0.012594290054217649
