state,target,identity,input_tokens,cached_tokens,cache_write_tokens,output_tokens,reasoning_tokens,estimated_standard_cost_usd,response_file
original,Gear_Large,Gear_Large,667,0,0,5,0,0.001384,raw/gpt6-sol/original/Gear_Large/Gear_Large.json
original,Gear_Medium,Gear_Large,667,0,0,5,0,0.001384,raw/gpt6-sol/original/Gear_Medium/Gear_Large.json
original,Gear_Small,Gear_Large,667,0,0,5,0,0.001384,raw/gpt6-sol/original/Gear_Small/Gear_Large.json
original,Waterproof_Male,Gear_Large,674,0,0,5,0,0.001398,raw/gpt6-sol/original/Waterproof_Male/Gear_Large.json
original,M12_Hex_Nut,Gear_Large,671,0,0,5,0,0.001392,raw/gpt6-sol/original/M12_Hex_Nut/Gear_Large.json
original,M16_Hex_Nut,Gear_Large,671,0,0,5,0,0.001392,raw/gpt6-sol/original/M16_Hex_Nut/Gear_Large.json
original,RGOCG16-50_16mm,Gear_Large,683,0,0,5,0,0.001416,raw/gpt6-sol/original/RGOCG16-50_16mm/Gear_Large.json
original,RGOCG12-50_12mm,Gear_Large,683,0,0,5,0,0.001416,raw/gpt6-sol/original/RGOCG12-50_12mm/Gear_Large.json
original,RGOCG8-50_8mm,Gear_Large,683,0,0,5,0,0.001416,raw/gpt6-sol/original/RGOCG8-50_8mm/Gear_Large.json
original,USB_Male,Gear_Large,732,0,0,5,0,0.001514,raw/gpt6-sol/original/USB_Male/Gear_Large.json
original,DSUB_Male,Gear_Large,657,0,0,5,0,0.001364,raw/gpt6-sol/original/DSUB_Male/Gear_Large.json
original,Gear_Large,Gear_Medium,613,0,0,5,0,0.001276,raw/gpt6-sol/original/Gear_Large/Gear_Medium.json
original,Gear_Medium,Gear_Medium,613,0,0,5,0,0.001276,raw/gpt6-sol/original/Gear_Medium/Gear_Medium.json
original,Gear_Small,Gear_Medium,613,0,0,5,0,0.001276,raw/gpt6-sol/original/Gear_Small/Gear_Medium.json
original,Waterproof_Male,Gear_Medium,620,0,0,5,0,0.00129,raw/gpt6-sol/original/Waterproof_Male/Gear_Medium.json
