target,target_name,mean_intended_lower,mean_intended_upper,max_unrelated_upper,intended_retained_min_0.6,intended_retained_min_0.65,intended_retained_min_0.7,intended_retained_min_0.8,intended_retained_min_0.9,intended_retained_min_0.95,intended_retained_min_0.98,intended_retained_min_0.99,intended_retained_min_0.995,intended_retained_min_0.999,intended_retained_min_0.9999,intended_retained_min_0.99999,intended_retained_min_0.999999,intended_retained_max_0.6,intended_retained_max_0.65,intended_retained_max_0.7,intended_retained_max_0.8,intended_retained_max_0.9,intended_retained_max_0.95,intended_retained_max_0.98,intended_retained_max_0.99,intended_retained_max_0.995,intended_retained_max_0.999,intended_retained_max_0.9999,intended_retained_max_0.99999,intended_retained_max_0.999999
Gear_Large,Large gear,0.9964837342444361,0.9964837342444361,0.946881808325021,4,4,4,4,4,4,4,4,3,2,0,0,0,4,4,4,4,4,4,4,4,3,2,0,0,0
Gear_Medium,Medium gear,0.9173946576416373,0.9173946576416373,0.9303373655127258,4,4,4,4,2,2,0,0,0,0,0,0,0,4,4,4,4,2,2,0,0,0,0,0,0,0
Gear_Small,Small gear,0.46596298338380726,0.46596298338380726,0.9007919122906248,2,2,2,1,1,1,0,0,0,0,0,0,0,2,2,2,1,1,1,0,0,0,0,0,0,0
Waterproof_Male,Waterproof connector,0.5851692426608405,0.5851692426608405,0.9927097040735702,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,0
M12_Hex_Nut,M12 hex nut,0.609239734512333,0.609239734512333,0.9394309118312344,2,2,2,1,1,1,1,0,0,0,0,0,0,2,2,2,1,1,1,1,0,0,0,0,0,0
M16_Hex_Nut,M16 hex nut,0.5915352101598008,0.5915352101598008,0.9940974886720019,2,2,2,2,2,1,1,1,0,0,0,0,0,2,2,2,2,2,1,1,1,0,0,0,0,0
RGOCG16-50_16mm,16 mm round pin,0.9998560112208793,0.9998560112208793,0.08786365860474789,4,4,4,4,4,4,4,4,4,4,1,0,0,4,4,4,4,4,4,4,4,4,4,1,0,0
RGOCG12-50_12mm,12 mm round pin,0.9999465020024453,0.9999465020024453,0.7813125633889445,4,4,4,4,4,4,4,4,4,4,4,1,0,4,4,4,4,4,4,4,4,4,4,4,1,0
RGOCG8-50_8mm,8 mm round pin,0.9998397741159859,0.9998397741159859,0.11938007117934737,4,4,4,4,4,4,4,4,4,4,3,0,0,4,4,4,4,4,4,4,4,4,4,3,0,0
USB_Male,USB connector + cable,0.7643861989097481,0.7643861989097481,0.01703299758184652,3,3,3,3,3,3,3,3,2,2,0,0,0,3,3,3,3,3,3,3,3,2,2,0,0,0
DSUB_Male,DSUB connector,0.5745687810978624,0.5745687810978624,0.2679743532175409,2,2,2,2,1,1,1,0,0,0,0,0,0,2,2,2,2,1,1,1,0,0,0,0,0,0
