target,Gear_Large,Gear_Medium,Gear_Small,Waterproof_Male,M12_Hex_Nut,M16_Hex_Nut,RGOCG16-50_16mm,RGOCG12-50_12mm,RGOCG8-50_8mm,USB_Male,DSUB_Male
Gear_Large,1.000,0.851,0.873,0.654,<=0.012,<=0.009,<=0.001,<=0.001,<=0.001,<=0.001,<=0.001
Gear_Medium,0.999,0.896,0.988,0.131,<=0.011,0.019,<=0.001,<=0.007,<=0.001,<=0.001,<=0.001
Gear_Small,0.985,0.844,0.961,0.715,<=0.010,<=0.010,<=0.001,<=0.001,<=0.002,<=0.001,<=0.001
Waterproof_Male,<=0.009,<=0.012,<=0.001,0.181,<=0.002,<=0.010,<=0.001,<=0.001,<=0.001,<=0.001,0.540
M12_Hex_Nut,<=0.001,<=0.001,0.939,<=0.008,0.171,0.544,<=0.001,<=0.001,<=0.001,<=0.001,<=0.001
M16_Hex_Nut,<=0.001,<=0.002,0.868,0.016,0.183,0.198,<=0.001,<=0.001,<=0.001,<=0.001,<=0.001
RGOCG16-50_16mm,<=0.001,<=0.003,<=0.005,<=0.003,<=0.001,0.020,1.000,1.000,1.000,<=0.001,<=0.001
RGOCG12-50_12mm,<=0.003,<=0.001,<=0.002,<=0.006,<=0.002,0.022,0.999,1.000,1.000,<=0.001,<=0.001
RGOCG8-50_8mm,<=0.001,<=0.005,<=0.006,<=0.014,<=0.003,0.024,1.000,1.000,1.000,<=0.001,<=0.001
USB_Male,<=0.002,<=0.015,<=0.001,<=0.005,<=0.001,<=0.002,<=0.015,<=0.001,<=0.004,1.000,<=0.001
DSUB_Male,<=0.010,<=0.001,<=0.020,<=0.001,<=0.001,<=0.001,<=0.001,<=0.003,<=0.001,<=0.001,0.152
