model,target,target_name,state,intended_p_A,intended_p_A_lower,intended_p_A_upper,intended_answer,assisted_intended_crop,highest_unrelated_lower,highest_unrelated_upper,highest_unrelated_upper_object,intended_response
gpt-6-sol,Gear_Large,Large gear,original,0.9996950465077716,0.9996950465077716,0.9996950465077716,A,False,0.6543067505175691,0.6543067505175691,Waterproof_Male,raw/gpt6-sol/original/Gear_Large/Gear_Large.json
gpt-6-sol,Gear_Large,Large gear,state_101,0.9990844193999334,0.9990844193999334,0.9990844193999334,A,False,0.5995835188736266,0.5995835188736266,M12_Hex_Nut,raw/gpt6-sol/state_101/Gear_Large/Gear_Large.json
gpt-6-sol,Gear_Large,Large gear,state_202,0.9955768112414015,0.9955768112414015,0.9955768112414015,A,False,0.7554187860524273,0.7554187860524273,M12_Hex_Nut,raw/gpt6-sol/state_202/Gear_Large/Gear_Large.json
gpt-6-sol,Gear_Large,Large gear,state_303,0.991578659828638,0.991578659828638,0.991578659828638,A,False,0.946881808325021,0.946881808325021,M12_Hex_Nut,raw/gpt6-sol/state_303/Gear_Large/Gear_Large.json
gpt-6-sol,Gear_Medium,Medium gear,original,0.8963395282562532,0.8963395282562532,0.8963395282562532,A,False,0.13064363580358787,0.13064363580358787,Waterproof_Male,raw/gpt6-sol/original/Gear_Medium/Gear_Medium.json
gpt-6-sol,Gear_Medium,Medium gear,state_101,0.9572506591862527,0.9572506591862527,0.9572506591862527,A,False,0.5073110259857568,0.5073110259857568,M12_Hex_Nut,raw/gpt6-sol/state_101/Gear_Medium/Gear_Medium.json
gpt-6-sol,Gear_Medium,Medium gear,state_202,0.8452895902345428,0.8452895902345428,0.8452895902345428,A,False,0.3831590890257096,0.3831590890257096,M16_Hex_Nut,raw/gpt6-sol/state_202/Gear_Medium/Gear_Medium.json
gpt-6-sol,Gear_Medium,Medium gear,state_303,0.9706988528895003,0.9706988528895003,0.9706988528895003,A,False,0.9303373655127258,0.9303373655127258,M12_Hex_Nut,raw/gpt6-sol/state_303/Gear_Medium/Gear_Medium.json
gpt-6-sol,Gear_Small,Small gear,original,0.9609278027935042,0.9609278027935042,0.9609278027935042,A,False,0.7150355623303744,0.7150355623303744,Waterproof_Male,raw/gpt6-sol/original/Gear_Small/Gear_Small.json
gpt-6-sol,Gear_Small,Small gear,state_101,0.795592626415215,0.795592626415215,0.795592626415215,A,False,0.34125850831587895,0.34125850831587895,M12_Hex_Nut,raw/gpt6-sol/state_101/Gear_Small/Gear_Small.json
gpt-6-sol,Gear_Small,Small gear,state_202,0.030456769325290012,0.030456769325290012,0.030456769325290012,C,False,0.6700251700928483,0.6700251700928483,M12_Hex_Nut,raw/gpt6-sol/state_202/Gear_Small/Gear_Small.json
gpt-6-sol,Gear_Small,Small gear,state_303,0.07687473500121986,0.07687473500121986,0.07687473500121986,C,False,0.9007919122906248,0.9007919122906248,M12_Hex_Nut,raw/gpt6-sol/state_303/Gear_Small/Gear_Small.json
gpt-6-sol,Waterproof_Male,Waterproof connector,original,0.1812057777217463,0.1812057777217463,0.1812057777217463,C,False,0.5398013918211604,0.5398013918211604,DSUB_Male,raw/gpt6-sol/original/Waterproof_Male/Waterproof_Male.json
gpt-6-sol,Waterproof_Male,Waterproof connector,state_101,0.953118537058912,0.953118537058912,0.953118537058912,A,False,0.3314713163326129,0.3314713163326129,DSUB_Male,raw/gpt6-sol/state_101/Waterproof_Male/Waterproof_Male.json
gpt-6-sol,Waterproof_Male,Waterproof connector,state_202,0.23377854514541838,0.23377854514541838,0.23377854514541838,C,False,0.9927097040735702,0.9927097040735702,DSUB_Male,raw/gpt6-sol/state_202/Waterproof_Male/Waterproof_Male.json
gpt-6-sol,Waterproof_Male,Waterproof connector,state_303,0.9725741107172853,0.9725741107172853,0.9725741107172853,A,False,0.9432197411552541,0.9432197411552541,DSUB_Male,raw/gpt6-sol/state_303/Waterproof_Male/Waterproof_Male.json
gpt-6-sol,M12_Hex_Nut,M12 hex nut,original,0.17095789172936368,0.17095789172936368,0.17095789172936368,C,False,0.9394309118312344,0.9394309118312344,Gear_Small,raw/gpt6-sol/original/M12_Hex_Nut/M12_Hex_Nut.json
gpt-6-sol,M12_Hex_Nut,M12 hex nut,state_101,0.533252091213659,0.533252091213659,0.533252091213659,A,False,0.021328522873969726,0.021328522873969726,Gear_Medium,raw/gpt6-sol/state_101/M12_Hex_Nut/M12_Hex_Nut.json
gpt-6-sol,M12_Hex_Nut,M12 hex nut,state_202,0.7431168342433653,0.7431168342433653,0.7431168342433653,A,False,0.17962965855987068,0.17962965855987068,Waterproof_Male,raw/gpt6-sol/state_202/M12_Hex_Nut/M12_Hex_Nut.json
gpt-6-sol,M12_Hex_Nut,M12 hex nut,state_303,0.9896321208629439,0.9896321208629439,0.9896321208629439,A,False,0.22071566269003226,0.22071566269003226,Gear_Small,raw/gpt6-sol/state_303/M12_Hex_Nut/M12_Hex_Nut.json
gpt-6-sol,M16_Hex_Nut,M16 hex nut,original,0.19815494575607023,0.19815494575607023,0.19815494575607023,C,False,0.8677158323571623,0.8677158323571623,Gear_Small,raw/gpt6-sol/original/M16_Hex_Nut/M16_Hex_Nut.json
gpt-6-sol,M16_Hex_Nut,M16 hex nut,state_101,0.9442418014806946,0.9442418014806946,0.9442418014806946,A,False,0.9940974886720019,0.9940974886720019,Gear_Medium,raw/gpt6-sol/state_101/M16_Hex_Nut/M16_Hex_Nut.json
gpt-6-sol,M16_Hex_Nut,M16 hex nut,state_202,0.9902587563046437,0.9902587563046437,0.9902587563046437,A,False,0.10079696831875443,0.10079696831875443,Waterproof_Male,raw/gpt6-sol/state_202/M16_Hex_Nut/M16_Hex_Nut.json
gpt-6-sol,M16_Hex_Nut,M16 hex nut,state_303,0.23348533709779493,0.23348533709779493,0.23348533709779493,C,False,0.49130164085018174,0.49130164085018174,Gear_Small,raw/gpt6-sol/state_303/M16_Hex_Nut/M16_Hex_Nut.json
gpt-6-sol,RGOCG16-50_16mm,16 mm round pin,original,0.9998930057242958,0.9998930057242958,0.9998930057242958,A,False,0.020249604833804936,0.020249604833804936,M16_Hex_Nut,raw/gpt6-sol/original/RGOCG16-50_16mm/RGOCG16-50_16mm.json
gpt-6-sol,RGOCG16-50_16mm,16 mm round pin,state_101,0.9999010049003383,0.9999010049003383,0.9999010049003383,A,False,0.0,0.0029475302881542095,M12_Hex_Nut,raw/gpt6-sol/state_101/RGOCG16-50_16mm/RGOCG16-50_16mm.json
gpt-6-sol,RGOCG16-50_16mm,16 mm round pin,state_202,0.9998210160195442,0.9998210160195442,0.9998210160195442,A,False,0.08786365860474789,0.08786365860474789,M16_Hex_Nut,raw/gpt6-sol/state_202/RGOCG16-50_16mm/RGOCG16-50_16mm.json
gpt-6-sol,RGOCG16-50_16mm,16 mm round pin,state_303,0.9998090182393388,0.9998090182393388,0.9998090182393388,A,False,0.08231260696340481,0.08231260696340481,M12_Hex_Nut,raw/gpt6-sol/state_303/RGOCG16-50_16mm/RGOCG16-50_16mm.json
gpt-6-sol,RGOCG12-50_12mm,12 mm round pin,original,0.9999660005779935,0.9999660005779935,0.9999660005779935,A,False,0.022317860540133058,0.022317860540133058,M16_Hex_Nut,raw/gpt6-sol/original/RGOCG12-50_12mm/RGOCG12-50_12mm.json
gpt-6-sol,RGOCG12-50_12mm,12 mm round pin,state_101,0.999992000032,0.999992000032,0.999992000032,A,False,0.0,0.018962827562683093,M12_Hex_Nut,raw/gpt6-sol/state_101/RGOCG12-50_12mm/RGOCG12-50_12mm.json
gpt-6-sol,RGOCG12-50_12mm,12 mm round pin,state_202,0.9999160035279012,0.9999160035279012,0.9999160035279012,A,False,0.7813125633889445,0.7813125633889445,Gear_Medium,raw/gpt6-sol/state_202/RGOCG12-50_12mm/RGOCG12-50_12mm.json
gpt-6-sol,RGOCG12-50_12mm,12 mm round pin,state_303,0.9999120038718864,0.9999120038718864,0.9999120038718864,A,False,0.046864913336557665,0.046864913336557665,M16_Hex_Nut,raw/gpt6-sol/state_303/RGOCG12-50_12mm/RGOCG12-50_12mm.json
gpt-6-sol,RGOCG8-50_8mm,8 mm round pin,original,0.9995800881876533,0.9995800881876533,0.9995800881876533,A,False,0.024457190899084786,0.024457190899084786,M16_Hex_Nut,raw/gpt6-sol/original/RGOCG8-50_8mm/RGOCG8-50_8mm.json
