target,Gear_Large,Gear_Medium,Gear_Small,Waterproof_Male,M12_Hex_Nut,M16_Hex_Nut,RGOCG16-50_16mm,RGOCG12-50_12mm,RGOCG8-50_8mm,USB_Male,DSUB_Male
Gear_Large,0.992,0.833,<=0.016,0.031,0.947,<=0.017,<=0.001,<=0.002,<=0.001,<=0.001,<=0.001
Gear_Medium,0.972,0.971,0.056,<=0.010,0.930,0.020,<=0.001,<=0.001,<=0.001,<=0.001,<=0.001
Gear_Small,0.968,0.981,0.077,0.769,0.901,<=0.008,<=0.003,<=0.001,<=0.001,<=0.001,<=0.001
Waterproof_Male,<=0.001,<=0.001,<=0.011,0.973,0.066,<=0.008,<=0.001,<=0.002,<=0.001,<=0.001,0.943
M12_Hex_Nut,<=0.002,<=0.001,0.221,<=0.003,0.990,0.437,<=0.001,<=0.001,<=0.001,<=0.001,<=0.001
M16_Hex_Nut,<=0.001,<=0.001,0.491,<=0.002,0.966,0.233,<=0.001,<=0.001,<=0.001,<=0.001,<=0.001
RGOCG16-50_16mm,<=0.001,<=0.001,<=0.003,<=0.001,0.082,0.056,1.000,1.000,1.000,<=0.001,<=0.001
RGOCG12-50_12mm,<=0.002,<=0.001,0.020,<=0.001,0.027,0.047,1.000,1.000,1.000,<=0.001,<=0.001
RGOCG8-50_8mm,<=0.001,<=0.001,<=0.004,<=0.001,0.056,<=0.009,1.000,1.000,1.000,<=0.001,<=0.001
USB_Male,<=0.001,<=0.001,<=0.013,<=0.012,<=0.001,<=0.003,<=0.003,<=0.002,<=0.018,0.064,<=0.001
DSUB_Male,<=0.003,<=0.001,<=0.008,0.268,<=0.004,<=0.001,<=0.001,<=0.001,<=0.004,<=0.001,0.350
