model,scope,state,cutoff,intended_retained_min,intended_retained_max,intended_total,intended_gate_unknown,family_retained_min,family_retained_max,family_total,family_gate_unknown,unrelated_retained_min,unrelated_retained_max,unrelated_total,unrelated_gate_unknown
gpt-6-sol,all_crops,original,0.6,7,7,11,0,19,19,25,0,4,4,96,0
gpt-6-sol,all_crops,original,0.65,7,7,11,0,19,19,25,0,4,4,96,0
gpt-6-sol,all_crops,original,0.7,7,7,11,0,19,19,25,0,3,3,96,0
gpt-6-sol,all_crops,original,0.8,7,7,11,0,19,19,25,0,2,2,96,0
gpt-6-sol,all_crops,original,0.9,6,6,11,0,15,15,25,0,1,1,96,0
gpt-6-sol,all_crops,original,0.95,6,6,11,0,15,15,25,0,0,0,96,0
gpt-6-sol,all_crops,original,0.98,5,5,11,0,14,14,25,0,0,0,96,0
gpt-6-sol,all_crops,original,0.99,5,5,11,0,12,12,25,0,0,0,96,0
gpt-6-sol,all_crops,original,0.995,5,5,11,0,12,12,25,0,0,0,96,0
gpt-6-sol,all_crops,original,0.999,5,5,11,0,12,12,25,0,0,0,96,0
gpt-6-sol,all_crops,original,0.9999,1,1,11,0,5,5,25,0,0,0,96,0
gpt-6-sol,all_crops,original,0.99999,0,0,11,0,1,1,25,0,0,0,96,0
gpt-6-sol,all_crops,original,0.999999,0,0,11,0,1,1,25,0,0,0,96,0
gpt-6-sol,all_crops,state_101,0.6,10,10,11,0,23,23,25,0,1,1,96,0
gpt-6-sol,all_crops,state_101,0.65,10,10,11,0,23,23,25,0,1,1,96,0
gpt-6-sol,all_crops,state_101,0.7,10,10,11,0,23,23,25,0,1,1,96,0
gpt-6-sol,all_crops,state_101,0.8,9,9,11,0,21,21,25,0,1,1,96,0
gpt-6-sol,all_crops,state_101,0.9,9,9,11,0,21,21,25,0,1,1,96,0
gpt-6-sol,all_crops,state_101,0.95,8,8,11,0,20,20,25,0,1,1,96,0
gpt-6-sol,all_crops,state_101,0.98,6,6,11,0,15,15,25,0,1,1,96,0
gpt-6-sol,all_crops,state_101,0.99,5,5,11,0,12,12,25,0,1,1,96,0
gpt-6-sol,all_crops,state_101,0.995,5,5,11,0,12,12,25,0,0,0,96,0
gpt-6-sol,all_crops,state_101,0.999,5,5,11,0,11,11,25,0,0,0,96,0
gpt-6-sol,all_crops,state_101,0.9999,3,3,11,0,7,7,25,0,0,0,96,0
gpt-6-sol,all_crops,state_101,0.99999,1,1,11,0,1,1,25,0,0,0,96,0
gpt-6-sol,all_crops,state_101,0.999999,0,0,11,0,0,0,25,0,0,0,96,0
gpt-6-sol,all_crops,state_202,0.6,9,9,11,0,21,21,25,0,4,4,96,0
gpt-6-sol,all_crops,state_202,0.65,9,9,11,0,21,21,25,0,4,4,96,0
gpt-6-sol,all_crops,state_202,0.7,9,9,11,0,21,21,25,0,3,3,96,0
gpt-6-sol,all_crops,state_202,0.8,8,8,11,0,20,20,25,0,1,1,96,0
gpt-6-sol,all_crops,state_202,0.9,6,6,11,0,16,16,25,0,1,1,96,0
gpt-6-sol,all_crops,state_202,0.95,6,6,11,0,15,15,25,0,1,1,96,0
gpt-6-sol,all_crops,state_202,0.98,6,6,11,0,14,14,25,0,1,1,96,0
gpt-6-sol,all_crops,state_202,0.99,6,6,11,0,14,14,25,0,1,1,96,0
gpt-6-sol,all_crops,state_202,0.995,4,4,11,0,11,11,25,0,0,0,96,0
gpt-6-sol,all_crops,state_202,0.999,3,3,11,0,9,9,25,0,0,0,96,0
gpt-6-sol,all_crops,state_202,0.9999,2,2,11,0,6,6,25,0,0,0,96,0
gpt-6-sol,all_crops,state_202,0.99999,0,0,11,0,0,0,25,0,0,0,96,0
gpt-6-sol,all_crops,state_202,0.999999,0,0,11,0,0,0,25,0,0,0,96,0
gpt-6-sol,all_crops,state_303,0.6,7,7,11,0,18,18,25,0,5,5,96,0
gpt-6-sol,all_crops,state_303,0.65,7,7,11,0,18,18,25,0,5,5,96,0
gpt-6-sol,all_crops,state_303,0.7,7,7,11,0,18,18,25,0,5,5,96,0
