model,scope,state,cutoff,intended_retained_min,intended_retained_max,intended_total,intended_gate_unknown,family_retained_min,family_retained_max,family_total,family_gate_unknown,unrelated_retained_min,unrelated_retained_max,unrelated_total,unrelated_gate_unknown
gpt-6-sol,all_crops,original,0.0,11,11,11,0,25,25,25,0,96,96,96,0
gpt-6-sol,all_crops,original,0.01,11,11,11,0,25,25,25,0,11,18,96,7
gpt-6-sol,all_crops,original,0.02,11,11,11,0,25,25,25,0,9,9,96,0
gpt-6-sol,all_crops,original,0.03,11,11,11,0,25,25,25,0,6,6,96,0
gpt-6-sol,all_crops,original,0.04,11,11,11,0,25,25,25,0,6,6,96,0
gpt-6-sol,all_crops,original,0.05,11,11,11,0,25,25,25,0,6,6,96,0
gpt-6-sol,all_crops,original,0.06,11,11,11,0,25,25,25,0,6,6,96,0
gpt-6-sol,all_crops,original,0.07,11,11,11,0,25,25,25,0,6,6,96,0
gpt-6-sol,all_crops,original,0.08,11,11,11,0,25,25,25,0,6,6,96,0
gpt-6-sol,all_crops,original,0.09,11,11,11,0,25,25,25,0,6,6,96,0
gpt-6-sol,all_crops,original,0.1,11,11,11,0,25,25,25,0,6,6,96,0
gpt-6-sol,all_crops,original,0.11,11,11,11,0,25,25,25,0,6,6,96,0
gpt-6-sol,all_crops,original,0.12,11,11,11,0,25,25,25,0,6,6,96,0
gpt-6-sol,all_crops,original,0.13,11,11,11,0,25,25,25,0,6,6,96,0
gpt-6-sol,all_crops,original,0.14,11,11,11,0,25,25,25,0,5,5,96,0
gpt-6-sol,all_crops,original,0.15,11,11,11,0,25,25,25,0,5,5,96,0
gpt-6-sol,all_crops,original,0.16,10,10,11,0,24,24,25,0,5,5,96,0
gpt-6-sol,all_crops,original,0.17,10,10,11,0,24,24,25,0,5,5,96,0
gpt-6-sol,all_crops,original,0.18,9,9,11,0,23,23,25,0,5,5,96,0
gpt-6-sol,all_crops,original,0.19,8,8,11,0,21,21,25,0,5,5,96,0
gpt-6-sol,all_crops,original,0.2,7,7,11,0,20,20,25,0,5,5,96,0
gpt-6-sol,all_crops,original,0.21,7,7,11,0,20,20,25,0,5,5,96,0
gpt-6-sol,all_crops,original,0.22,7,7,11,0,20,20,25,0,5,5,96,0
gpt-6-sol,all_crops,original,0.23,7,7,11,0,20,20,25,0,5,5,96,0
gpt-6-sol,all_crops,original,0.24,7,7,11,0,20,20,25,0,5,5,96,0
gpt-6-sol,all_crops,original,0.25,7,7,11,0,20,20,25,0,5,5,96,0
gpt-6-sol,all_crops,original,0.26,7,7,11,0,20,20,25,0,5,5,96,0
gpt-6-sol,all_crops,original,0.27,7,7,11,0,20,20,25,0,5,5,96,0
gpt-6-sol,all_crops,original,0.28,7,7,11,0,20,20,25,0,5,5,96,0
gpt-6-sol,all_crops,original,0.29,7,7,11,0,20,20,25,0,5,5,96,0
gpt-6-sol,all_crops,original,0.3,7,7,11,0,20,20,25,0,5,5,96,0
gpt-6-sol,all_crops,original,0.31,7,7,11,0,20,20,25,0,5,5,96,0
gpt-6-sol,all_crops,original,0.32,7,7,11,0,20,20,25,0,5,5,96,0
gpt-6-sol,all_crops,original,0.33,7,7,11,0,20,20,25,0,5,5,96,0
gpt-6-sol,all_crops,original,0.34,7,7,11,0,20,20,25,0,5,5,96,0
