model,state,target,target_name,posthoc_identity,own_object_match,same_family,assisted_fallback,crop_file,crop_sha256,response_file,elapsed_seconds,answer,logp_A,p_A,p_A_lower,p_A_upper,logp_B,p_B,p_B_lower,p_B_upper,logp_C,p_C,p_C_lower,p_C_upper
gpt-6-sol,state_101,M16_Hex_Nut,M16 hex nut,Gear_Medium,False,False,False,input_crops/state_101/Gear_Medium.png,e7ecdd04abe922e5d362f2904407adcbef08b8607f7d1cce909e4ade3e9c65a5,raw/gpt6-sol/state_101/M16_Hex_Nut/Gear_Medium.json,1.4938226999947801,A,-0.00592,0.9940974886720019,0.9940974886720019,0.9940974886720019,,,0.0,0.006002511327998128,,,0.0,0.006002511327998128
gpt-6-sol,state_202,Waterproof_Male,Waterproof connector,DSUB_Male,False,False,False,input_crops/state_202/DSUB_Male.png,7cc2d3860523df277d6407a141d1e6f5ac1825291a509806faae51c8b11dadd5,raw/gpt6-sol/state_202/Waterproof_Male/DSUB_Male.json,1.6475612999638543,A,-0.007317,0.9927097040735702,0.9927097040735702,0.9927097040735702,,,0.0,0.007390295926429824,,,0.0,0.007390295926429824
gpt-6-sol,state_303,Gear_Large,Large gear,M12_Hex_Nut,False,False,False,input_crops/state_303/M12_Hex_Nut.png,baedfe7904344e7e4677127433e020ed849aa2b1eb60d26e01f65855ed1d0aca,raw/gpt6-sol/state_303/Gear_Large/M12_Hex_Nut.json,1.3916752000222914,A,-0.054581,0.946881808325021,0.946881808325021,0.946881808325021,,,0.0,0.003389533743801698,-2.999165,0.04982865793117735,0.04982865793117735,0.04982865793117735
gpt-6-sol,state_303,Waterproof_Male,Waterproof connector,DSUB_Male,False,False,False,input_crops/state_303/DSUB_Male.png,951cf97dc3898e2a3029bf7b3818dace43fcdf8abc4c737bf166e9942e4e2383,raw/gpt6-sol/state_303/Waterproof_Male/DSUB_Male.json,1.61366629996337,A,-0.058456,0.9432197411552541,0.9432197411552541,0.9432197411552541,,,0.0,0.01463942926056595,-3.164368,0.04224082958418001,0.04224082958418001,0.04224082958418001
gpt-6-sol,original,M12_Hex_Nut,M12 hex nut,Gear_Small,False,False,False,input_crops/original/Gear_Small.png,12582ccd34fdba48126c0e1e0d71701e3ab31413538cfcbedfd42b8adf7e792c,raw/gpt6-sol/original/M12_Hex_Nut/Gear_Small.json,1.4986828000401147,A,-0.062481,0.9394309118312344,0.9394309118312344,0.9394309118312344,,,0.0,0.0018644178475397788,-2.833534,0.05880467032122579,0.05880467032122579,0.05880467032122579
gpt-6-sol,state_303,Gear_Medium,Medium gear,M12_Hex_Nut,False,False,False,input_crops/state_303/M12_Hex_Nut.png,baedfe7904344e7e4677127433e020ed849aa2b1eb60d26e01f65855ed1d0aca,raw/gpt6-sol/state_303/Gear_Medium/M12_Hex_Nut.json,2.1062257000012323,A,-0.072208,0.9303373655127258,0.9303373655127258,0.9303373655127258,,,0.0,0.011057494951196022,-2.835228,0.0587051395360781,0.0587051395360781,0.0587051395360781
gpt-6-sol,state_303,Gear_Small,Small gear,M12_Hex_Nut,False,False,False,input_crops/state_303/M12_Hex_Nut.png,baedfe7904344e7e4677127433e020ed849aa2b1eb60d26e01f65855ed1d0aca,raw/gpt6-sol/state_303/Gear_Small/M12_Hex_Nut.json,1.2203450999804772,A,-0.104481,0.9007919122906248,0.9007919122906248,0.9007919122906248,,,0.0,0.016201973225701837,-2.487637,0.08310611448367335,0.08310611448367335,0.08310611448367335
gpt-6-sol,original,M16_Hex_Nut,M16 hex nut,Gear_Small,False,False,False,input_crops/original/Gear_Small.png,12582ccd34fdba48126c0e1e0d71701e3ab31413538cfcbedfd42b8adf7e792c,raw/gpt6-sol/original/M16_Hex_Nut/Gear_Small.json,1.2864232999854721,A,-0.141891,0.8677158323571623,0.8677158323571623,0.8677158323571623,,,0.0,0.0032246412597984994,-2.046707,0.12915952638303915,0.12915952638303915,0.12915952638303915
gpt-6-sol,state_202,RGOCG12-50_12mm,12 mm round pin,Gear_Medium,False,False,False,input_crops/state_202/Gear_Medium.png,108195e8929e844a87a358e143fc8be89d43ee37e14f292c33dbb8ab3199825e,raw/gpt6-sol/state_202/RGOCG12-50_12mm/Gear_Medium.json,1.4238735000253655,A,-0.24678,0.7813125633889445,0.7813125633889445,0.7813125633889445,,,0.0,0.011706590284043871,-1.574646,0.20708084632701168,0.20708084632701168,0.20708084632701168
gpt-6-sol,state_303,Gear_Small,Small gear,Waterproof_Male,False,False,False,input_crops/state_303/Waterproof_Male.png,501944f5a366194deaf0627005d87557bb79cd97c1413a8f7396ce4a6b8a3e7f,raw/gpt6-sol/state_303/Gear_Small/Waterproof_Male.json,1.2293686000048183,A,-0.26284,0.7688649058551512,0.7688649058551512,0.7688649058551512,-1.585793,0.20478533394043263,0.20478533394043263,0.20478533394043263,-3.636513,0.026344045678113902,0.026344045678113902,0.026344045678113902
gpt-6-sol,state_202,Gear_Large,Large gear,M12_Hex_Nut,False,False,False,input_crops/state_202/M12_Hex_Nut.png,3718dec057ac940d14b25b665ed81c8e846d2ffe0ea118f40903b6a5da604056,raw/gpt6-sol/state_202/Gear_Large/M12_Hex_Nut.json,1.7221676000044681,A,-0.280483,0.7554187860524273,0.7554187860524273,0.7554187860524273,,,0.0,0.004828683268701795,-1.427731,0.23985253067887088,0.23985253067887088,0.23985253067887088
gpt-6-sol,original,Gear_Small,Small gear,Waterproof_Male,False,False,False,input_crops/original/Waterproof_Male.png,41b585482c19ce36d3222b4ce188fedb570a2c64e3d131c84b65485afb23e2f0,raw/gpt6-sol/original/Gear_Small/Waterproof_Male.json,1.9061061999527737,A,-0.335423,0.7150355623303744,0.7150355623303744,0.7150355623303744,-1.715225,0.17992323343094177,0.17992323343094177,0.17992323343094177,-2.253437,0.10503758925332177,0.10503758925332177,0.10503758925332177
