model,state,target,target_name,posthoc_identity,own_object_match,same_family,assisted_fallback,crop_file,crop_sha256,response_file,elapsed_seconds,answer,p_A,p_B,p_C,logp_A,logp_B,logp_C,other_token_probability
qwen3.5:4b,original,Gear_Large,Large gear,Gear_Large,True,True,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/qwen3.5-4b/original/Gear_Large/Gear_Large.json,4.261548799986485,A,0.6104155105475253,0.14207664727122066,0.246117946932092,-0.49361538887023926,-1.9513885974884033,-1.4019443988800049,0.0013898952491619987
qwen3.5:4b,original,Gear_Medium,Medium gear,Gear_Large,False,True,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/qwen3.5-4b/original/Gear_Medium/Gear_Large.json,0.26677639997797087,A,0.49734177923198464,0.16163362153672473,0.33961077348227164,-0.6984778046607971,-1.8224231004714966,-1.0799551010131836,0.0014138257490189376
qwen3.5:4b,original,Gear_Small,Small gear,Gear_Large,False,True,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/qwen3.5-4b/original/Gear_Small/Gear_Large.json,0.25633170001674443,A,0.46311089382856313,0.16795686635278773,0.36795801516119186,-0.7697887420654297,-1.784048080444336,-0.9997864365577698,0.0009742246574573343
qwen3.5:4b,original,Waterproof_Male,Waterproof connector,Gear_Large,False,False,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/qwen3.5-4b/original/Waterproof_Male/Gear_Large.json,0.27619160001631826,C,0.0803495727985102,0.3068795954237572,0.6118881638988691,-2.5213685035705566,-1.1812998056411743,-0.49120575189590454,0.0008826678788634856
qwen3.5:4b,original,M12_Hex_Nut,M12 hex nut,Gear_Large,False,False,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/qwen3.5-4b/original/M12_Hex_Nut/Gear_Large.json,0.26835819997359067,C,0.11518332082603552,0.2659233494755795,0.6174135752584132,-2.1612303256988525,-1.3245471715927124,-0.4822161793708801,0.0014797544399717255
qwen3.5:4b,original,M16_Hex_Nut,M16 hex nut,Gear_Large,False,False,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/qwen3.5-4b/original/M16_Hex_Nut/Gear_Large.json,0.26944669999647886,C,0.12733949853467721,0.23367460408700524,0.6376357603881855,-2.060898542404175,-1.4538257122039795,-0.44998806715011597,0.0013501369901320892
qwen3.5:4b,original,RGOCG16-50_16mm,16 mm round pin,Gear_Large,False,False,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/qwen3.5-4b/original/RGOCG16-50_16mm/Gear_Large.json,0.2688741000019945,C,0.18821797024990736,0.2103707840176357,0.5998005779439446,-1.6701545715332031,-1.5588836669921875,-0.5111580491065979,0.0016106677885123766
qwen3.5:4b,original,RGOCG12-50_12mm,12 mm round pin,Gear_Large,False,False,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/qwen3.5-4b/original/RGOCG12-50_12mm/Gear_Large.json,0.2781812999746762,C,0.20766234992109728,0.2012594312300857,0.5895553253615066,-1.571841835975647,-1.6031605005264282,-0.5283867120742798,0.001522893487310495
qwen3.5:4b,original,RGOCG8-50_8mm,8 mm round pin,Gear_Large,False,False,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/qwen3.5-4b/original/RGOCG8-50_8mm/Gear_Large.json,0.27735450002364814,C,0.15487183643690802,0.2052093955322569,0.6382973707101339,-1.8651573657989502,-1.5837243795394897,-0.44895100593566895,0.0016213973207011012
qwen3.5:4b,original,USB_Male,USB connector + cable,Gear_Large,False,False,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/qwen3.5-4b/original/USB_Male/Gear_Large.json,0.2834069000091404,C,0.04035512038637085,0.13923718233774493,0.8185350853985431,-3.2100369930267334,-1.971576452255249,-0.20023901760578156,0.0018726118773411127
qwen3.5:4b,original,DSUB_Male,DSUB connector,Gear_Large,False,False,False,input_crops/original/Gear_Large.png,8643de8c1b1dcf74dc92d04cdefcfdc0735be5d7df1bdc7bdc7e077aadca78b3,raw/qwen3.5-4b/original/DSUB_Male/Gear_Large.json,0.3391208000248298,C,0.07201893309958247,0.11082175258105956,0.8155263657455778,-2.630826234817505,-2.1998322010040283,-0.20392152667045593,0.0016329485737801575
