target,target_name,mean_intended_lower,mean_intended_upper,max_unrelated_upper,intended_retained_min_0.6,intended_retained_min_0.65,intended_retained_min_0.7,intended_retained_min_0.8,intended_retained_min_0.9,intended_retained_min_0.95,intended_retained_min_0.98,intended_retained_min_0.99,intended_retained_min_0.995,intended_retained_min_0.999,intended_retained_min_0.9999,intended_retained_min_0.99999,intended_retained_min_0.999999,intended_retained_max_0.6,intended_retained_max_0.65,intended_retained_max_0.7,intended_retained_max_0.8,intended_retained_max_0.9,intended_retained_max_0.95,intended_retained_max_0.98,intended_retained_max_0.99,intended_retained_max_0.995,intended_retained_max_0.999,intended_retained_max_0.9999,intended_retained_max_0.99999,intended_retained_max_0.999999
Gear_Large,Large gear,0.6788598550941418,0.6788598550941418,0.6411496412026078,4,3,1,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0
Gear_Medium,Medium gear,0.8458136010001678,0.8458136010001678,0.6523000693260603,4,4,4,4,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0
Gear_Small,Small gear,0.7376845819811544,0.7376845819811544,0.6611332230303729,4,3,3,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0
Waterproof_Male,Waterproof connector,0.7699761392748281,0.7699761392748281,0.8831476579092841,4,4,3,1,0,0,0,0,0,0,0,0,0,4,4,3,1,0,0,0,0,0,0,0,0,0
M12_Hex_Nut,M12 hex nut,0.51920161958312,0.51920161958312,0.25808203920892336,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
M16_Hex_Nut,M16 hex nut,0.5331056790302374,0.5331056790302374,0.37006720705585733,2,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
RGOCG16-50_16mm,16 mm round pin,0.7904082692396575,0.7904082692396575,0.5963614430827863,4,4,4,3,0,0,0,0,0,0,0,0,0,4,4,4,3,0,0,0,0,0,0,0,0,0
RGOCG12-50_12mm,12 mm round pin,0.7375193698766127,0.7375193698766127,0.4886385795013504,4,4,3,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0
RGOCG8-50_8mm,8 mm round pin,0.7225092462736336,0.7225092462736336,0.5044933078976562,4,4,2,1,0,0,0,0,0,0,0,0,0,4,4,2,1,0,0,0,0,0,0,0,0,0
USB_Male,USB connector + cable,0.8999407572865529,0.8999407572865529,0.44191169363498023,4,4,4,4,2,0,0,0,0,0,0,0,0,4,4,4,4,2,0,0,0,0,0,0,0,0
DSUB_Male,DSUB connector,0.8031818910990696,0.8031818910990696,0.7925171886722632,4,4,4,2,0,0,0,0,0,0,0,0,0,4,4,4,2,0,0,0,0,0,0,0,0,0
