model,target,target_name,state,intended_p_A,intended_p_A_lower,intended_p_A_upper,intended_answer,assisted_intended_crop,highest_unrelated_lower,highest_unrelated_upper,highest_unrelated_upper_object,intended_response
qwen3.5:4b,Gear_Large,Large gear,original,0.6104155105475253,0.6104155105475253,0.6104155105475253,A,False,0.5587233286099362,0.5587233286099362,M12_Hex_Nut,raw/qwen3.5-4b/original/Gear_Large/Gear_Large.json
qwen3.5:4b,Gear_Large,Large gear,state_101,0.753693156351122,0.753693156351122,0.753693156351122,A,False,0.5468911492711814,0.5468911492711814,M16_Hex_Nut,raw/qwen3.5-4b/state_101/Gear_Large/Gear_Large.json
qwen3.5:4b,Gear_Large,Large gear,state_202,0.6775711105383179,0.6775711105383179,0.6775711105383179,A,False,0.6411496412026078,0.6411496412026078,M12_Hex_Nut,raw/qwen3.5-4b/state_202/Gear_Large/Gear_Large.json
qwen3.5:4b,Gear_Large,Large gear,state_303,0.6737596429396018,0.6737596429396018,0.6737596429396018,A,False,0.5054016114729819,0.5054016114729819,M12_Hex_Nut,raw/qwen3.5-4b/state_303/Gear_Large/Gear_Large.json
qwen3.5:4b,Gear_Medium,Medium gear,original,0.8425060462755548,0.8425060462755548,0.8425060462755548,A,False,0.44042806117806327,0.44042806117806327,M12_Hex_Nut,raw/qwen3.5-4b/original/Gear_Medium/Gear_Medium.json
qwen3.5:4b,Gear_Medium,Medium gear,state_101,0.8524430967284703,0.8524430967284703,0.8524430967284703,A,False,0.4799308651456833,0.4799308651456833,M16_Hex_Nut,raw/qwen3.5-4b/state_101/Gear_Medium/Gear_Medium.json
qwen3.5:4b,Gear_Medium,Medium gear,state_202,0.8012583872519058,0.8012583872519058,0.8012583872519058,A,False,0.6523000693260603,0.6523000693260603,M12_Hex_Nut,raw/qwen3.5-4b/state_202/Gear_Medium/Gear_Medium.json
qwen3.5:4b,Gear_Medium,Medium gear,state_303,0.8870468737447404,0.8870468737447404,0.8870468737447404,A,False,0.3981844157142091,0.3981844157142091,M12_Hex_Nut,raw/qwen3.5-4b/state_303/Gear_Medium/Gear_Medium.json
qwen3.5:4b,Gear_Small,Small gear,original,0.7839611796920684,0.7839611796920684,0.7839611796920684,A,False,0.5019451856974617,0.5019451856974617,M12_Hex_Nut,raw/qwen3.5-4b/original/Gear_Small/Gear_Small.json
qwen3.5:4b,Gear_Small,Small gear,state_101,0.7844674628007785,0.7844674628007785,0.7844674628007785,A,False,0.5769595356401199,0.5769595356401199,M16_Hex_Nut,raw/qwen3.5-4b/state_101/Gear_Small/Gear_Small.json
qwen3.5:4b,Gear_Small,Small gear,state_202,0.7646126243912581,0.7646126243912581,0.7646126243912581,A,False,0.6611332230303729,0.6611332230303729,M12_Hex_Nut,raw/qwen3.5-4b/state_202/Gear_Small/Gear_Small.json
