model,scope,state,cutoff,intended_retained_min,intended_retained_max,intended_total,intended_gate_unknown,family_retained_min,family_retained_max,family_total,family_gate_unknown,unrelated_retained_min,unrelated_retained_max,unrelated_total,unrelated_gate_unknown
qwen3.5:4b,all_crops,original,0.6,9,9,11,0,19,19,25,0,2,2,96,0
qwen3.5:4b,all_crops,original,0.65,8,8,11,0,18,18,25,0,2,2,96,0
qwen3.5:4b,all_crops,original,0.7,7,7,11,0,17,17,25,0,1,1,96,0
qwen3.5:4b,all_crops,original,0.8,4,4,11,0,11,11,25,0,0,0,96,0
qwen3.5:4b,all_crops,original,0.9,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,all_crops,original,0.95,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,all_crops,original,0.98,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,all_crops,original,0.99,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,all_crops,original,0.995,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,all_crops,original,0.999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,all_crops,original,0.9999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,all_crops,original,0.99999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,all_crops,original,0.999999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,all_crops,state_101,0.6,11,11,11,0,24,24,25,0,3,3,96,0
qwen3.5:4b,all_crops,state_101,0.65,9,9,11,0,19,19,25,0,3,3,96,0
qwen3.5:4b,all_crops,state_101,0.7,7,7,11,0,15,15,25,0,3,3,96,0
qwen3.5:4b,all_crops,state_101,0.8,3,3,11,0,6,6,25,0,0,0,96,0
qwen3.5:4b,all_crops,state_101,0.9,1,1,11,0,1,1,25,0,0,0,96,0
qwen3.5:4b,all_crops,state_101,0.95,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,all_crops,state_101,0.98,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,all_crops,state_101,0.99,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,all_crops,state_101,0.995,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,all_crops,state_101,0.999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,all_crops,state_101,0.9999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,all_crops,state_101,0.99999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,all_crops,state_101,0.999999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,all_crops,state_202,0.6,10,10,11,0,24,24,25,0,6,6,96,0
qwen3.5:4b,all_crops,state_202,0.65,10,10,11,0,24,24,25,0,4,4,96,0
qwen3.5:4b,all_crops,state_202,0.7,8,8,11,0,17,17,25,0,1,1,96,0
qwen3.5:4b,all_crops,state_202,0.8,4,4,11,0,9,9,25,0,1,1,96,0
qwen3.5:4b,all_crops,state_202,0.9,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,all_crops,state_202,0.95,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,all_crops,state_202,0.98,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,all_crops,state_202,0.99,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,all_crops,state_202,0.995,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,all_crops,state_202,0.999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,all_crops,state_202,0.9999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,all_crops,state_202,0.99999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,all_crops,state_202,0.999999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,all_crops,state_303,0.6,9,9,11,0,21,21,25,0,3,3,96,0
qwen3.5:4b,all_crops,state_303,0.65,8,8,11,0,18,18,25,0,3,3,96,0
qwen3.5:4b,all_crops,state_303,0.7,7,7,11,0,15,15,25,0,3,3,96,0
qwen3.5:4b,all_crops,state_303,0.8,4,4,11,0,8,8,25,0,1,1,96,0
qwen3.5:4b,all_crops,state_303,0.9,1,1,11,0,2,2,25,0,0,0,96,0
qwen3.5:4b,all_crops,state_303,0.95,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,all_crops,state_303,0.98,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,all_crops,state_303,0.99,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,all_crops,state_303,0.995,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,all_crops,state_303,0.999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,all_crops,state_303,0.9999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,all_crops,state_303,0.99999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,all_crops,state_303,0.999999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,all_crops,all,0.6,39,39,44,0,88,88,100,0,14,14,384,0
qwen3.5:4b,all_crops,all,0.65,35,35,44,0,79,79,100,0,12,12,384,0
qwen3.5:4b,all_crops,all,0.7,29,29,44,0,64,64,100,0,8,8,384,0
qwen3.5:4b,all_crops,all,0.8,15,15,44,0,34,34,100,0,2,2,384,0
qwen3.5:4b,all_crops,all,0.9,2,2,44,0,3,3,100,0,0,0,384,0
qwen3.5:4b,all_crops,all,0.95,0,0,44,0,0,0,100,0,0,0,384,0
qwen3.5:4b,all_crops,all,0.98,0,0,44,0,0,0,100,0,0,0,384,0
qwen3.5:4b,all_crops,all,0.99,0,0,44,0,0,0,100,0,0,0,384,0
qwen3.5:4b,all_crops,all,0.995,0,0,44,0,0,0,100,0,0,0,384,0
qwen3.5:4b,all_crops,all,0.999,0,0,44,0,0,0,100,0,0,0,384,0
qwen3.5:4b,all_crops,all,0.9999,0,0,44,0,0,0,100,0,0,0,384,0
qwen3.5:4b,all_crops,all,0.99999,0,0,44,0,0,0,100,0,0,0,384,0
qwen3.5:4b,all_crops,all,0.999999,0,0,44,0,0,0,100,0,0,0,384,0
qwen3.5:4b,autonomous_depth_only,original,0.6,9,9,11,0,19,19,25,0,2,2,96,0
qwen3.5:4b,autonomous_depth_only,original,0.65,8,8,11,0,18,18,25,0,2,2,96,0
qwen3.5:4b,autonomous_depth_only,original,0.7,7,7,11,0,17,17,25,0,1,1,96,0
qwen3.5:4b,autonomous_depth_only,original,0.8,4,4,11,0,11,11,25,0,0,0,96,0
qwen3.5:4b,autonomous_depth_only,original,0.9,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,autonomous_depth_only,original,0.95,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,autonomous_depth_only,original,0.98,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,autonomous_depth_only,original,0.99,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,autonomous_depth_only,original,0.995,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,autonomous_depth_only,original,0.999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,autonomous_depth_only,original,0.9999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,autonomous_depth_only,original,0.99999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,autonomous_depth_only,original,0.999999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,autonomous_depth_only,state_101,0.6,10,10,10,0,23,23,24,0,1,1,86,0
qwen3.5:4b,autonomous_depth_only,state_101,0.65,8,8,10,0,18,18,24,0,1,1,86,0
qwen3.5:4b,autonomous_depth_only,state_101,0.7,6,6,10,0,14,14,24,0,1,1,86,0
qwen3.5:4b,autonomous_depth_only,state_101,0.8,2,2,10,0,5,5,24,0,0,0,86,0
qwen3.5:4b,autonomous_depth_only,state_101,0.9,0,0,10,0,0,0,24,0,0,0,86,0
qwen3.5:4b,autonomous_depth_only,state_101,0.95,0,0,10,0,0,0,24,0,0,0,86,0
qwen3.5:4b,autonomous_depth_only,state_101,0.98,0,0,10,0,0,0,24,0,0,0,86,0
qwen3.5:4b,autonomous_depth_only,state_101,0.99,0,0,10,0,0,0,24,0,0,0,86,0
qwen3.5:4b,autonomous_depth_only,state_101,0.995,0,0,10,0,0,0,24,0,0,0,86,0
qwen3.5:4b,autonomous_depth_only,state_101,0.999,0,0,10,0,0,0,24,0,0,0,86,0
qwen3.5:4b,autonomous_depth_only,state_101,0.9999,0,0,10,0,0,0,24,0,0,0,86,0
qwen3.5:4b,autonomous_depth_only,state_101,0.99999,0,0,10,0,0,0,24,0,0,0,86,0
qwen3.5:4b,autonomous_depth_only,state_101,0.999999,0,0,10,0,0,0,24,0,0,0,86,0
qwen3.5:4b,autonomous_depth_only,state_202,0.6,10,10,11,0,24,24,25,0,6,6,96,0
qwen3.5:4b,autonomous_depth_only,state_202,0.65,10,10,11,0,24,24,25,0,4,4,96,0
qwen3.5:4b,autonomous_depth_only,state_202,0.7,8,8,11,0,17,17,25,0,1,1,96,0
qwen3.5:4b,autonomous_depth_only,state_202,0.8,4,4,11,0,9,9,25,0,1,1,96,0
qwen3.5:4b,autonomous_depth_only,state_202,0.9,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,autonomous_depth_only,state_202,0.95,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,autonomous_depth_only,state_202,0.98,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,autonomous_depth_only,state_202,0.99,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,autonomous_depth_only,state_202,0.995,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,autonomous_depth_only,state_202,0.999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,autonomous_depth_only,state_202,0.9999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,autonomous_depth_only,state_202,0.99999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,autonomous_depth_only,state_202,0.999999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:4b,autonomous_depth_only,state_303,0.6,8,8,10,0,20,20,24,0,1,1,86,0
qwen3.5:4b,autonomous_depth_only,state_303,0.65,7,7,10,0,17,17,24,0,1,1,86,0
qwen3.5:4b,autonomous_depth_only,state_303,0.7,6,6,10,0,14,14,24,0,1,1,86,0
qwen3.5:4b,autonomous_depth_only,state_303,0.8,3,3,10,0,7,7,24,0,1,1,86,0
qwen3.5:4b,autonomous_depth_only,state_303,0.9,0,0,10,0,1,1,24,0,0,0,86,0
qwen3.5:4b,autonomous_depth_only,state_303,0.95,0,0,10,0,0,0,24,0,0,0,86,0
qwen3.5:4b,autonomous_depth_only,state_303,0.98,0,0,10,0,0,0,24,0,0,0,86,0
qwen3.5:4b,autonomous_depth_only,state_303,0.99,0,0,10,0,0,0,24,0,0,0,86,0
qwen3.5:4b,autonomous_depth_only,state_303,0.995,0,0,10,0,0,0,24,0,0,0,86,0
qwen3.5:4b,autonomous_depth_only,state_303,0.999,0,0,10,0,0,0,24,0,0,0,86,0
qwen3.5:4b,autonomous_depth_only,state_303,0.9999,0,0,10,0,0,0,24,0,0,0,86,0
qwen3.5:4b,autonomous_depth_only,state_303,0.99999,0,0,10,0,0,0,24,0,0,0,86,0
qwen3.5:4b,autonomous_depth_only,state_303,0.999999,0,0,10,0,0,0,24,0,0,0,86,0
qwen3.5:4b,autonomous_depth_only,all,0.6,37,37,42,0,86,86,98,0,10,10,364,0
qwen3.5:4b,autonomous_depth_only,all,0.65,33,33,42,0,77,77,98,0,8,8,364,0
qwen3.5:4b,autonomous_depth_only,all,0.7,27,27,42,0,62,62,98,0,4,4,364,0
qwen3.5:4b,autonomous_depth_only,all,0.8,13,13,42,0,32,32,98,0,2,2,364,0
qwen3.5:4b,autonomous_depth_only,all,0.9,0,0,42,0,1,1,98,0,0,0,364,0
qwen3.5:4b,autonomous_depth_only,all,0.95,0,0,42,0,0,0,98,0,0,0,364,0
qwen3.5:4b,autonomous_depth_only,all,0.98,0,0,42,0,0,0,98,0,0,0,364,0
qwen3.5:4b,autonomous_depth_only,all,0.99,0,0,42,0,0,0,98,0,0,0,364,0
qwen3.5:4b,autonomous_depth_only,all,0.995,0,0,42,0,0,0,98,0,0,0,364,0
qwen3.5:4b,autonomous_depth_only,all,0.999,0,0,42,0,0,0,98,0,0,0,364,0
qwen3.5:4b,autonomous_depth_only,all,0.9999,0,0,42,0,0,0,98,0,0,0,364,0
qwen3.5:4b,autonomous_depth_only,all,0.99999,0,0,42,0,0,0,98,0,0,0,364,0
qwen3.5:4b,autonomous_depth_only,all,0.999999,0,0,42,0,0,0,98,0,0,0,364,0
