model,scope,state,cutoff,intended_retained_min,intended_retained_max,intended_total,intended_gate_unknown,family_retained_min,family_retained_max,family_total,family_gate_unknown,unrelated_retained_min,unrelated_retained_max,unrelated_total,unrelated_gate_unknown
qwen3.5:4b,all_crops,original,0.0,11,11,11,0,25,25,25,0,96,96,96,0
qwen3.5:4b,all_crops,original,0.01,11,11,11,0,25,25,25,0,96,96,96,0
qwen3.5:4b,all_crops,original,0.02,11,11,11,0,25,25,25,0,94,94,96,0
qwen3.5:4b,all_crops,original,0.03,11,11,11,0,25,25,25,0,93,93,96,0
qwen3.5:4b,all_crops,original,0.04,11,11,11,0,25,25,25,0,92,92,96,0
qwen3.5:4b,all_crops,original,0.05,11,11,11,0,25,25,25,0,84,84,96,0
qwen3.5:4b,all_crops,original,0.06,11,11,11,0,25,25,25,0,79,79,96,0
qwen3.5:4b,all_crops,original,0.07,11,11,11,0,25,25,25,0,71,71,96,0
qwen3.5:4b,all_crops,original,0.08,11,11,11,0,25,25,25,0,65,65,96,0
qwen3.5:4b,all_crops,original,0.09,11,11,11,0,25,25,25,0,61,61,96,0
qwen3.5:4b,all_crops,original,0.1,11,11,11,0,25,25,25,0,57,57,96,0
qwen3.5:4b,all_crops,original,0.11,11,11,11,0,25,25,25,0,56,56,96,0
qwen3.5:4b,all_crops,original,0.12,11,11,11,0,25,25,25,0,53,53,96,0
qwen3.5:4b,all_crops,original,0.13,11,11,11,0,25,25,25,0,50,50,96,0
qwen3.5:4b,all_crops,original,0.14,11,11,11,0,25,25,25,0,43,43,96,0
qwen3.5:4b,all_crops,original,0.15,11,11,11,0,25,25,25,0,41,41,96,0
qwen3.5:4b,all_crops,original,0.16,11,11,11,0,25,25,25,0,39,39,96,0
qwen3.5:4b,all_crops,original,0.17,11,11,11,0,25,25,25,0,37,37,96,0
qwen3.5:4b,all_crops,original,0.18,11,11,11,0,25,25,25,0,35,35,96,0
qwen3.5:4b,all_crops,original,0.19,11,11,11,0,25,25,25,0,33,33,96,0
qwen3.5:4b,all_crops,original,0.2,11,11,11,0,25,25,25,0,32,32,96,0
qwen3.5:4b,all_crops,original,0.21,11,11,11,0,25,25,25,0,31,31,96,0
qwen3.5:4b,all_crops,original,0.22,11,11,11,0,25,25,25,0,30,30,96,0
qwen3.5:4b,all_crops,original,0.23,11,11,11,0,25,25,25,0,30,30,96,0
qwen3.5:4b,all_crops,original,0.24,11,11,11,0,25,25,25,0,28,28,96,0
qwen3.5:4b,all_crops,original,0.25,11,11,11,0,25,25,25,0,28,28,96,0
qwen3.5:4b,all_crops,original,0.26,11,11,11,0,25,25,25,0,25,25,96,0
qwen3.5:4b,all_crops,original,0.27,11,11,11,0,25,25,25,0,25,25,96,0
qwen3.5:4b,all_crops,original,0.28,11,11,11,0,25,25,25,0,25,25,96,0
qwen3.5:4b,all_crops,original,0.29,11,11,11,0,25,25,25,0,25,25,96,0
qwen3.5:4b,all_crops,original,0.3,11,11,11,0,25,25,25,0,23,23,96,0
qwen3.5:4b,all_crops,original,0.31,11,11,11,0,25,25,25,0,22,22,96,0
qwen3.5:4b,all_crops,original,0.32,11,11,11,0,25,25,25,0,20,20,96,0
qwen3.5:4b,all_crops,original,0.33,11,11,11,0,25,25,25,0,17,17,96,0
qwen3.5:4b,all_crops,original,0.34,11,11,11,0,25,25,25,0,16,16,96,0
qwen3.5:4b,all_crops,original,0.35,11,11,11,0,25,25,25,0,15,15,96,0
qwen3.5:4b,all_crops,original,0.36,11,11,11,0,24,24,25,0,14,14,96,0
qwen3.5:4b,all_crops,original,0.37,11,11,11,0,24,24,25,0,14,14,96,0
qwen3.5:4b,all_crops,original,0.38,11,11,11,0,24,24,25,0,12,12,96,0
qwen3.5:4b,all_crops,original,0.39,11,11,11,0,24,24,25,0,10,10,96,0
qwen3.5:4b,all_crops,original,0.4,11,11,11,0,24,24,25,0,10,10,96,0
qwen3.5:4b,all_crops,original,0.41,10,10,11,0,23,23,25,0,8,8,96,0
qwen3.5:4b,all_crops,original,0.42,10,10,11,0,23,23,25,0,8,8,96,0
qwen3.5:4b,all_crops,original,0.43,10,10,11,0,23,23,25,0,8,8,96,0
qwen3.5:4b,all_crops,original,0.44,10,10,11,0,23,23,25,0,8,8,96,0
qwen3.5:4b,all_crops,original,0.45,10,10,11,0,23,23,25,0,6,6,96,0
qwen3.5:4b,all_crops,original,0.46,10,10,11,0,23,23,25,0,5,5,96,0
qwen3.5:4b,all_crops,original,0.47,10,10,11,0,22,22,25,0,5,5,96,0
qwen3.5:4b,all_crops,original,0.48,10,10,11,0,22,22,25,0,5,5,96,0
qwen3.5:4b,all_crops,original,0.49,10,10,11,0,22,22,25,0,5,5,96,0
qwen3.5:4b,all_crops,original,0.5,9,9,11,0,20,20,25,0,5,5,96,0
qwen3.5:4b,all_crops,original,0.51,9,9,11,0,20,20,25,0,4,4,96,0
qwen3.5:4b,all_crops,original,0.52,9,9,11,0,19,19,25,0,4,4,96,0
qwen3.5:4b,all_crops,original,0.53,9,9,11,0,19,19,25,0,4,4,96,0
qwen3.5:4b,all_crops,original,0.54,9,9,11,0,19,19,25,0,4,4,96,0
qwen3.5:4b,all_crops,original,0.55,9,9,11,0,19,19,25,0,4,4,96,0
qwen3.5:4b,all_crops,original,0.56,9,9,11,0,19,19,25,0,3,3,96,0
qwen3.5:4b,all_crops,original,0.57,9,9,11,0,19,19,25,0,3,3,96,0
qwen3.5:4b,all_crops,original,0.58,9,9,11,0,19,19,25,0,2,2,96,0
qwen3.5:4b,all_crops,original,0.59,9,9,11,0,19,19,25,0,2,2,96,0
qwen3.5:4b,all_crops,original,0.6,9,9,11,0,19,19,25,0,2,2,96,0
qwen3.5:4b,all_crops,original,0.61,9,9,11,0,19,19,25,0,2,2,96,0
qwen3.5:4b,all_crops,original,0.62,8,8,11,0,18,18,25,0,2,2,96,0
qwen3.5:4b,all_crops,original,0.63,8,8,11,0,18,18,25,0,2,2,96,0
