model,state,target,target_name,posthoc_identity,own_object_match,same_family,assisted_fallback,crop_file,crop_sha256,response_file,elapsed_seconds,answer,p_A,p_B,p_C,logp_A,logp_B,logp_C,other_token_probability
qwen3.5:9b,state_303,Waterproof_Male,Waterproof connector,DSUB_Male,False,False,False,input_crops/state_303/DSUB_Male.png,951cf97dc3898e2a3029bf7b3818dace43fcdf8abc4c737bf166e9942e4e2383,raw/qwen3.5-9b/state_303/Waterproof_Male/DSUB_Male.json,0.40109399997163564,A,0.9892656799175347,0.001396201587038528,0.008863247920827162,-0.01079234853386879,-6.573999881744385,-4.725841999053955,0.00047487057459960624
qwen3.5:9b,original,Waterproof_Male,Waterproof connector,DSUB_Male,False,False,False,input_crops/original/DSUB_Male.png,c494876a69ee4e893be510f226d6b6c3e9653d4b052ec114fbb8385c85d6a131,raw/qwen3.5-9b/original/Waterproof_Male/DSUB_Male.json,0.39080019999528304,A,0.9868854282735027,0.002358285461998431,0.00938460702420268,-0.013201327063143253,-6.049820423126221,-4.668684482574463,0.0013716792402962419
qwen3.5:9b,state_202,Waterproof_Male,Waterproof connector,DSUB_Male,False,False,False,input_crops/state_202/DSUB_Male.png,7cc2d3860523df277d6407a141d1e6f5ac1825291a509806faae51c8b11dadd5,raw/qwen3.5-9b/state_202/Waterproof_Male/DSUB_Male.json,0.43325100000947714,A,0.9859501722088905,0.0017018903703650342,0.011560361668378457,-0.014149460941553116,-6.376015663146973,-4.4601731300354,0.0007875757523659876
qwen3.5:9b,state_303,Gear_Small,Small gear,M16_Hex_Nut,False,False,False,input_crops/state_303/M16_Hex_Nut.png,833d5826b6258166aa076165f38a3b094d64d204a81c4b806c996e3191b00983,raw/qwen3.5-9b/state_303/Gear_Small/M16_Hex_Nut.json,0.35873919998994097,A,0.9823566667238991,0.0054702719214770185,0.01161675844386453,-0.0178008321672678,-5.2084269523620605,-4.455306529998779,0.0005563029107593653
qwen3.5:9b,state_101,DSUB_Male,DSUB connector,USB_Male,False,False,True,input_crops/state_101/USB_Male.png,7543f2ca9e48d4553584300362014c6f331ab16c9b5e3b3c0e4184e22a6d517c,raw/qwen3.5-9b/state_101/DSUB_Male/USB_Male.json,0.40815390000352636,A,0.9800379267304664,0.003515936794099758,0.013940721568846844,-0.0201640073210001,-5.650449275970459,-4.2729411125183105,0.0025054149065869558
qwen3.5:9b,original,DSUB_Male,DSUB connector,USB_Male,False,False,False,input_crops/original/USB_Male.png,9655c4c73f92054fa731c1091211eb73e90cf928b613414b530d06f1a9f4647c,raw/qwen3.5-9b/original/DSUB_Male/USB_Male.json,0.32771099999081343,A,0.9787433737781875,0.006622287439482703,0.012032538666878633,-0.02148580178618431,-5.017314434051514,-4.420140743255615,0.0026018001154511916
qwen3.5:9b,state_101,Waterproof_Male,Waterproof connector,DSUB_Male,False,False,False,input_crops/state_101/DSUB_Male.png,4b33b962ebb9c6ee75c0ce865988e91fcba2f1bdbb964dd35e709db436634a24,raw/qwen3.5-9b/state_101/Waterproof_Male/DSUB_Male.json,0.38560849998611957,A,0.9784728283900588,0.0038783970003666364,0.01623986162860237,-0.021762261167168617,-5.552333354949951,-4.120286464691162,0.0014089129809722323
qwen3.5:9b,state_101,Gear_Medium,Medium gear,M16_Hex_Nut,False,False,False,input_crops/state_101/M16_Hex_Nut.png,1c1870e789ce383e3b64a161e64f0093e715e0263666f4e81c66af34b957e0f0,raw/qwen3.5-9b/state_101/Gear_Medium/M16_Hex_Nut.json,0.3444665999850258,A,0.9781398764312801,0.003399471036335932,0.017845994726042067,-0.0221025962382555,-5.684135437011719,-4.025976181030273,0.0006146578063418451
qwen3.5:9b,state_303,Gear_Large,Large gear,M12_Hex_Nut,False,False,False,input_crops/state_303/M12_Hex_Nut.png,baedfe7904344e7e4677127433e020ed849aa2b1eb60d26e01f65855ed1d0aca,raw/qwen3.5-9b/state_303/Gear_Large/M12_Hex_Nut.json,0.48866410000482574,A,0.9775283937483789,0.004910481082580905,0.016947082109046177,-0.02272794023156166,-5.316383361816406,-4.077659606933594,0.0006140430599941293
qwen3.5:9b,original,Gear_Large,Large gear,M12_Hex_Nut,False,False,False,input_crops/original/M12_Hex_Nut.png,38c0f98390b534a6792efcbe2e21a4c07ceeeea957ea1c15c814989186114245,raw/qwen3.5-9b/original/Gear_Large/M12_Hex_Nut.json,0.4744317999575287,A,0.9770920881955736,0.004159934559721203,0.018081481719264776,-0.023174375295639038,-5.482255935668945,-4.012866973876953,0.0006664955254404026
